"","EXPSAMPLE_ACCESSION","TREATMENT_ACCESSION"
"477","ES718136","TRT41"
"478","ES718137","TRT41"
"479","ES718138","TRT41"
"480","ES718139","TRT41"
"481","ES718140","TRT41"
"482","ES718141","TRT41"
"483","ES718142","TRT41"
"484","ES718143","TRT41"
"485","ES718144","TRT41"
"486","ES718145","TRT41"
"487","ES718146","TRT41"
"488","ES718147","TRT41"
"489","ES718148","TRT41"
"490","ES718149","TRT41"
"491","ES718150","TRT41"
"492","ES718151","TRT41"
"493","ES718152","TRT41"
"494","ES718153","TRT41"
"495","ES718154","TRT41"
"496","ES718155","TRT41"
"497","ES718156","TRT41"
"498","ES718157","TRT41"
"499","ES718158","TRT41"
"500","ES718159","TRT41"
"501","ES718160","TRT41"
"502","ES718161","TRT41"
"503","ES718162","TRT41"
"504","ES718163","TRT41"
"505","ES718164","TRT41"
"506","ES718165","TRT41"
"507","ES718166","TRT41"
"508","ES718167","TRT41"
"509","ES718168","TRT41"
"510","ES718169","TRT41"
"511","ES718170","TRT41"
"512","ES718171","TRT41"
"513","ES718172","TRT41"
"514","ES718173","TRT41"
"515","ES718174","TRT41"
"516","ES718175","TRT41"
"517","ES718176","TRT41"
"518","ES718177","TRT41"
"519","ES718178","TRT41"
"520","ES718179","TRT41"
"521","ES718180","TRT41"
"522","ES718181","TRT41"
"523","ES718182","TRT41"
"524","ES718183","TRT41"
"525","ES718184","TRT41"
"526","ES718185","TRT41"
"527","ES718186","TRT41"
"528","ES718187","TRT41"
"529","ES718188","TRT41"
"530","ES718189","TRT41"
"531","ES718190","TRT41"
"532","ES718191","TRT41"
"533","ES718192","TRT41"
"534","ES718193","TRT41"
"535","ES718194","TRT41"
"536","ES718195","TRT41"
"537","ES718196","TRT41"
"538","ES718197","TRT41"
"539","ES718198","TRT41"
"540","ES718199","TRT41"
"541","ES718200","TRT41"
"542","ES718201","TRT41"
"543","ES718202","TRT41"
"544","ES718203","TRT41"
"545","ES718204","TRT41"
"546","ES718205","TRT41"
"547","ES718206","TRT41"
"548","ES718207","TRT41"
"549","ES718208","TRT41"
"550","ES718209","TRT41"
"551","ES718210","TRT41"
"552","ES718211","TRT41"
"553","ES718212","TRT41"
"554","ES718213","TRT41"
"555","ES718214","TRT41"
"556","ES718215","TRT41"
"557","ES718216","TRT41"
"558","ES718217","TRT41"
"559","ES718218","TRT41"
"560","ES718219","TRT41"
"561","ES718220","TRT41"
"562","ES718221","TRT41"
"563","ES718222","TRT41"
"564","ES718223","TRT41"
"565","ES718224","TRT41"
"566","ES718225","TRT41"
"567","ES718226","TRT41"
"568","ES718227","TRT41"
"569","ES718228","TRT41"
"570","ES718229","TRT41"
"571","ES718230","TRT41"
"572","ES718231","TRT41"
"573","ES718232","TRT41"
"574","ES718233","TRT41"
"575","ES718234","TRT41"
"576","ES718235","TRT41"
"577","ES718236","TRT41"
"578","ES718237","TRT41"
"579","ES718238","TRT41"
"580","ES718239","TRT41"
"581","ES718240","TRT41"
"582","ES718241","TRT41"
"583","ES718242","TRT41"
"584","ES718243","TRT41"
"585","ES718244","TRT41"
"586","ES718245","TRT41"
"587","ES718246","TRT41"
"588","ES718247","TRT41"
"589","ES718248","TRT41"
"590","ES718249","TRT41"
"591","ES718250","TRT41"
"592","ES718251","TRT41"
"593","ES718252","TRT41"
"594","ES718253","TRT41"
"595","ES718254","TRT41"
"596","ES718255","TRT41"
"597","ES718256","TRT41"
"598","ES718257","TRT41"
"599","ES718258","TRT41"
"600","ES718259","TRT41"
"601","ES718260","TRT41"
"602","ES718261","TRT41"
"603","ES718262","TRT41"
"604","ES718263","TRT41"
"605","ES718264","TRT41"
"606","ES718265","TRT41"
"607","ES718266","TRT41"
"608","ES718267","TRT41"
"609","ES718268","TRT41"
"610","ES718269","TRT41"
"611","ES718270","TRT41"
"612","ES718271","TRT41"
"613","ES718272","TRT41"
"614","ES718273","TRT41"
"615","ES718274","TRT41"
"616","ES718275","TRT41"
"617","ES718276","TRT41"
"618","ES718277","TRT41"
"619","ES718278","TRT41"
"620","ES718279","TRT41"
"621","ES718280","TRT41"
"622","ES718281","TRT41"
"623","ES718282","TRT41"
"624","ES718283","TRT41"
"625","ES718284","TRT41"
"626","ES718285","TRT41"
"627","ES718286","TRT41"
"628","ES718287","TRT41"
"629","ES718288","TRT41"
"630","ES718289","TRT41"
"631","ES718290","TRT41"
"632","ES718291","TRT41"
"633","ES718292","TRT41"
"634","ES718293","TRT41"
"635","ES718294","TRT41"
"636","ES718295","TRT41"
"637","ES718296","TRT41"
"638","ES718297","TRT41"
"639","ES718298","TRT41"
"640","ES718299","TRT41"
"641","ES718300","TRT41"
"642","ES718301","TRT41"
"643","ES718302","TRT41"
"644","ES718303","TRT41"
"645","ES718304","TRT41"
"646","ES718305","TRT41"
"647","ES718306","TRT41"
"648","ES718307","TRT41"
"649","ES718308","TRT41"
"650","ES718309","TRT41"
"651","ES718310","TRT41"
"652","ES718311","TRT41"
"653","ES718312","TRT41"
"654","ES718313","TRT41"
"655","ES718314","TRT41"
"656","ES718315","TRT41"
"657","ES718316","TRT41"
"658","ES718317","TRT41"
"659","ES735932","TRT107"
"660","ES735933","TRT107"
"661","ES735934","TRT107"
"662","ES735935","TRT107"
"663","ES735936","TRT107"
"664","ES735937","TRT107"
"665","ES735938","TRT107"
"666","ES735939","TRT107"
"667","ES735940","TRT107"
"668","ES735941","TRT107"
"669","ES735942","TRT107"
"670","ES735943","TRT107"
"671","ES735944","TRT107"
"672","ES735945","TRT107"
"673","ES735946","TRT107"
"674","ES735947","TRT107"
"675","ES735948","TRT107"
"676","ES735949","TRT107"
"677","ES735950","TRT107"
"678","ES735951","TRT107"
"679","ES735952","TRT107"
"680","ES735953","TRT107"
"681","ES735954","TRT107"
"682","ES735955","TRT107"
"683","ES735956","TRT107"
"684","ES735957","TRT107"
"685","ES735958","TRT107"
"686","ES735959","TRT107"
"687","ES735960","TRT107"
"688","ES735961","TRT107"
"689","ES735962","TRT107"
"690","ES735963","TRT107"
"691","ES735964","TRT107"
"692","ES735965","TRT107"
"693","ES735966","TRT107"
"694","ES735967","TRT107"
"695","ES735968","TRT107"
"696","ES735969","TRT107"
"697","ES735970","TRT107"
"698","ES735971","TRT107"
"699","ES735972","TRT107"
"700","ES735973","TRT107"
"701","ES735974","TRT107"
"702","ES735975","TRT107"
"703","ES735976","TRT107"
"704","ES735977","TRT107"
"705","ES735978","TRT107"
"706","ES735979","TRT107"
"707","ES735980","TRT107"
"708","ES735981","TRT107"
"709","ES735982","TRT107"
"710","ES735983","TRT107"
"711","ES735984","TRT107"
"712","ES735985","TRT107"
"713","ES735986","TRT107"
"714","ES735987","TRT107"
"715","ES735988","TRT107"
"716","ES735989","TRT107"
"717","ES735990","TRT107"
"718","ES735991","TRT107"
"719","ES735992","TRT107"
"720","ES735993","TRT107"
"721","ES735994","TRT107"
"722","ES735995","TRT107"
"723","ES735996","TRT107"
"724","ES735997","TRT107"
"725","ES735998","TRT107"
"726","ES735999","TRT107"
"727","ES736000","TRT107"
"728","ES736001","TRT107"
"729","ES736002","TRT107"
"730","ES736003","TRT107"
"731","ES736004","TRT107"
"732","ES736005","TRT107"
"733","ES736006","TRT107"
"734","ES736007","TRT107"
"735","ES736008","TRT107"
"736","ES736009","TRT107"
"737","ES736010","TRT107"
"738","ES736011","TRT107"
"739","ES736012","TRT107"
"740","ES736013","TRT107"
"741","ES736014","TRT107"
"742","ES736015","TRT107"
"743","ES736016","TRT107"
"744","ES736017","TRT107"
"745","ES736018","TRT107"
"746","ES736019","TRT107"
"747","ES736020","TRT107"
"748","ES736021","TRT107"
"749","ES736022","TRT107"
"750","ES736023","TRT107"
"751","ES736024","TRT107"
"752","ES736025","TRT107"
"753","ES736026","TRT107"
"754","ES736027","TRT107"
"755","ES736028","TRT107"
"756","ES736029","TRT107"
"757","ES736030","TRT107"
"758","ES736031","TRT107"
"759","ES736032","TRT107"
"760","ES736033","TRT107"
"761","ES736034","TRT107"
"762","ES736035","TRT107"
"763","ES736036","TRT107"
"764","ES736037","TRT107"
"765","ES736038","TRT107"
"766","ES736039","TRT107"
"767","ES736040","TRT107"
"768","ES736041","TRT107"
"769","ES736042","TRT107"
"770","ES736043","TRT107"
"771","ES736044","TRT107"
"772","ES736045","TRT107"
"773","ES736046","TRT107"
"774","ES736047","TRT107"
"775","ES736048","TRT107"
"776","ES736049","TRT107"
"777","ES736050","TRT107"
"778","ES736051","TRT107"
"779","ES736052","TRT107"
"780","ES736053","TRT107"
"781","ES736054","TRT107"
"782","ES736055","TRT107"
"783","ES736056","TRT107"
"784","ES736057","TRT107"
"785","ES736058","TRT107"
"786","ES736059","TRT107"
"787","ES736060","TRT107"
"788","ES736061","TRT107"
"789","ES736062","TRT107"
"790","ES736063","TRT107"
"791","ES736064","TRT107"
"792","ES736065","TRT107"
"793","ES736066","TRT107"
"794","ES736067","TRT107"
"795","ES736068","TRT107"
"796","ES736069","TRT107"
"797","ES736070","TRT107"
"798","ES736071","TRT107"
"799","ES736072","TRT107"
"800","ES736073","TRT107"
"801","ES736074","TRT107"
"802","ES736075","TRT107"
"803","ES736076","TRT107"
"804","ES736077","TRT107"
"805","ES736078","TRT107"
"806","ES736079","TRT107"
"807","ES736080","TRT107"
"808","ES736081","TRT107"
"809","ES736082","TRT107"
"810","ES736083","TRT107"
"811","ES736084","TRT107"
"812","ES736085","TRT107"
"813","ES736086","TRT107"
"814","ES736087","TRT107"
"815","ES736088","TRT107"
"816","ES736089","TRT107"
"817","ES736090","TRT107"
"818","ES736091","TRT107"
"819","ES736092","TRT107"
"820","ES736093","TRT107"
"821","ES736094","TRT107"
"822","ES736095","TRT107"
"823","ES736096","TRT107"
"824","ES736097","TRT107"
"825","ES736098","TRT107"
"826","ES736099","TRT107"
"827","ES736100","TRT107"
"828","ES736101","TRT107"
"829","ES736102","TRT107"
"830","ES736103","TRT107"
"831","ES736104","TRT107"
"832","ES736105","TRT107"
"833","ES736106","TRT107"
"834","ES736107","TRT107"
"835","ES736108","TRT107"
"836","ES736109","TRT107"
"837","ES736110","TRT107"
"838","ES736111","TRT107"
"839","ES736112","TRT107"
"840","ES736113","TRT107"
"841","ES753759","TRT870"
"842","ES753760","TRT870"
"843","ES753761","TRT870"
"844","ES753762","TRT870"
"845","ES753763","TRT870"
"846","ES753764","TRT870"
"847","ES753765","TRT870"
"848","ES753766","TRT870"
"849","ES753767","TRT870"
"850","ES753768","TRT870"
"851","ES753769","TRT870"
"852","ES753770","TRT870"
"853","ES753771","TRT870"
"854","ES753772","TRT870"
"855","ES753773","TRT870"
"856","ES753774","TRT870"
"857","ES753775","TRT870"
"858","ES753776","TRT870"
"859","ES753777","TRT870"
"860","ES753778","TRT870"
"861","ES753779","TRT870"
"862","ES753780","TRT870"
"863","ES753781","TRT870"
"864","ES753782","TRT870"
"865","ES753783","TRT870"
"866","ES753784","TRT870"
"867","ES753785","TRT870"
"868","ES753786","TRT870"
"869","ES753787","TRT870"
"870","ES753788","TRT870"
"871","ES753789","TRT870"
"872","ES753790","TRT870"
"873","ES753791","TRT870"
"874","ES753792","TRT870"
"875","ES753793","TRT870"
"876","ES753794","TRT870"
"877","ES753795","TRT870"
"878","ES753796","TRT870"
"879","ES753797","TRT870"
"880","ES753798","TRT870"
"881","ES753799","TRT870"
"882","ES753800","TRT870"
"883","ES753801","TRT870"
"884","ES753802","TRT870"
"885","ES753803","TRT870"
"886","ES753804","TRT870"
"887","ES753805","TRT870"
"888","ES753806","TRT870"
"889","ES753807","TRT870"
"890","ES753808","TRT870"
"891","ES753809","TRT870"
"892","ES753810","TRT870"
"893","ES753811","TRT870"
"894","ES753812","TRT870"
"895","ES753813","TRT870"
"896","ES753814","TRT870"
"897","ES753815","TRT870"
"898","ES753816","TRT870"
"899","ES753817","TRT870"
"900","ES753818","TRT870"
"901","ES753819","TRT870"
"902","ES753820","TRT870"
"903","ES753821","TRT870"
"904","ES753822","TRT870"
"905","ES753823","TRT870"
"906","ES753824","TRT870"
"907","ES753825","TRT870"
"908","ES753826","TRT870"
"909","ES753827","TRT870"
"910","ES753828","TRT870"
"911","ES753829","TRT870"
"912","ES753830","TRT870"
"913","ES753831","TRT870"
"914","ES753832","TRT870"
"915","ES753833","TRT870"
"916","ES753834","TRT870"
"917","ES753835","TRT870"
"918","ES753836","TRT870"
"919","ES753837","TRT870"
"920","ES753838","TRT870"
"921","ES753839","TRT870"
"922","ES753840","TRT870"
"923","ES753841","TRT870"
"924","ES753842","TRT870"
"925","ES753843","TRT870"
"926","ES753844","TRT870"
"927","ES753845","TRT870"
"928","ES753846","TRT870"
"929","ES753847","TRT870"
"930","ES753848","TRT870"
"931","ES753849","TRT870"
"932","ES753850","TRT870"
"933","ES753851","TRT870"
"934","ES753852","TRT870"
"935","ES753853","TRT870"
"936","ES753854","TRT870"
"937","ES753855","TRT870"
"938","ES753856","TRT870"
"939","ES753857","TRT870"
"940","ES753858","TRT870"
"941","ES753859","TRT870"
"942","ES753860","TRT870"
"943","ES753861","TRT870"
"944","ES753862","TRT870"
"945","ES753863","TRT870"
"946","ES753864","TRT870"
"947","ES753865","TRT870"
"948","ES753866","TRT870"
"949","ES753867","TRT870"
"950","ES753868","TRT870"
"951","ES753869","TRT870"
"952","ES753870","TRT870"
"953","ES753871","TRT870"
"954","ES753872","TRT870"
"955","ES753873","TRT870"
"956","ES753874","TRT870"
"957","ES753875","TRT870"
"958","ES753876","TRT870"
"959","ES753877","TRT870"
"960","ES753878","TRT870"
"961","ES753879","TRT870"
"962","ES753880","TRT870"
"963","ES753881","TRT870"
"964","ES753882","TRT870"
"965","ES753883","TRT870"
"966","ES753884","TRT870"
"967","ES753885","TRT870"
"968","ES753886","TRT870"
"969","ES753887","TRT870"
"970","ES753888","TRT870"
"971","ES753889","TRT870"
"972","ES753890","TRT870"
"973","ES753891","TRT870"
"974","ES753892","TRT870"
"975","ES753893","TRT870"
"976","ES753894","TRT870"
"977","ES753895","TRT870"
"978","ES753896","TRT870"
"979","ES753897","TRT870"
"980","ES753898","TRT870"
"981","ES753899","TRT870"
"982","ES753900","TRT870"
"983","ES753901","TRT870"
"984","ES753902","TRT870"
"985","ES753903","TRT870"
"986","ES753904","TRT870"
"987","ES753905","TRT870"
"988","ES753906","TRT870"
"989","ES753907","TRT870"
"990","ES753908","TRT870"
"991","ES753909","TRT870"
"992","ES753910","TRT870"
"993","ES753911","TRT870"
