"","EXPSAMPLE_ACCESSION","TREATMENT_ACCESSION"
"1","ES1276792","TRT38"
"2","ES1276793","TRT38"
"3","ES1276794","TRT38"
"4","ES1276795","TRT38"
"5","ES1276796","TRT38"
"6","ES1276797","TRT38"
"7","ES1276798","TRT38"
"8","ES1276799","TRT38"
"9","ES1276800","TRT38"
"10","ES1276801","TRT38"
"11","ES1276802","TRT38"
"12","ES1276803","TRT38"
"13","ES1276804","TRT38"
"14","ES1276805","TRT38"
"15","ES1276806","TRT38"
"16","ES1276807","TRT38"
"17","ES1276808","TRT38"
"18","ES1276809","TRT38"
"19","ES1276810","TRT38"
"20","ES1276811","TRT38"
"21","ES1276812","TRT38"
"22","ES1276813","TRT38"
"23","ES1276814","TRT38"
"24","ES1276815","TRT38"
"25","ES1276816","TRT38"
"26","ES1276817","TRT38"
"27","ES1276818","TRT38"
"28","ES717657","TRT38"
"29","ES717658","TRT38"
"30","ES717659","TRT38"
"31","ES717660","TRT38"
"32","ES717661","TRT38"
"33","ES717662","TRT38"
"34","ES717663","TRT38"
"35","ES717664","TRT38"
"36","ES717665","TRT38"
"37","ES717666","TRT38"
"38","ES717667","TRT38"
"39","ES717668","TRT38"
"40","ES717669","TRT38"
"41","ES717670","TRT38"
"42","ES717671","TRT38"
"43","ES717672","TRT38"
"44","ES717673","TRT38"
"45","ES717674","TRT38"
"46","ES717675","TRT38"
"47","ES717676","TRT38"
"48","ES717677","TRT38"
"49","ES717678","TRT38"
"50","ES717679","TRT38"
"51","ES717680","TRT38"
"52","ES717681","TRT38"
"53","ES717682","TRT38"
"54","ES717683","TRT38"
"55","ES717684","TRT38"
"56","ES717685","TRT38"
"57","ES717686","TRT38"
"58","ES717687","TRT38"
"59","ES717688","TRT38"
"60","ES717689","TRT38"
"61","ES717690","TRT38"
"62","ES717691","TRT38"
"63","ES717692","TRT38"
"64","ES717693","TRT38"
"65","ES717694","TRT38"
"66","ES717695","TRT38"
"67","ES717696","TRT38"
"68","ES717697","TRT38"
"69","ES717698","TRT38"
"70","ES717699","TRT38"
"71","ES717700","TRT38"
"72","ES717701","TRT38"
"73","ES717702","TRT38"
"74","ES717703","TRT38"
"75","ES717704","TRT38"
"76","ES717705","TRT38"
"77","ES717706","TRT38"
"78","ES717707","TRT38"
"79","ES717708","TRT38"
"80","ES717709","TRT38"
"81","ES717710","TRT38"
"82","ES717711","TRT38"
"83","ES717712","TRT38"
"84","ES717713","TRT38"
"85","ES717714","TRT38"
"86","ES717715","TRT38"
"87","ES717716","TRT38"
"88","ES717717","TRT38"
"89","ES717718","TRT38"
"90","ES717719","TRT38"
"91","ES717720","TRT38"
"92","ES717721","TRT38"
"93","ES717722","TRT38"
"94","ES717723","TRT38"
"95","ES717724","TRT38"
"96","ES717725","TRT38"
"97","ES717726","TRT38"
"98","ES717727","TRT38"
"99","ES717728","TRT38"
"100","ES717729","TRT38"
"101","ES717730","TRT38"
"102","ES717731","TRT38"
"103","ES717732","TRT38"
"104","ES717733","TRT38"
"105","ES717734","TRT38"
"106","ES717735","TRT38"
"107","ES717736","TRT38"
"108","ES717737","TRT38"
"109","ES717738","TRT38"
"110","ES717739","TRT38"
"111","ES717740","TRT38"
"112","ES717741","TRT38"
"113","ES717742","TRT38"
"114","ES717743","TRT38"
"115","ES717744","TRT38"
"116","ES717745","TRT38"
"117","ES717776","TRT41"
"118","ES717777","TRT41"
"119","ES717778","TRT41"
"120","ES717779","TRT41"
"121","ES717780","TRT41"
"122","ES717781","TRT41"
"123","ES717782","TRT41"
"124","ES717783","TRT41"
"125","ES717784","TRT41"
"126","ES717785","TRT41"
"127","ES717786","TRT41"
"128","ES717787","TRT41"
"129","ES717788","TRT41"
"130","ES717789","TRT41"
"131","ES717790","TRT41"
"132","ES717791","TRT41"
"133","ES717792","TRT41"
"134","ES717793","TRT41"
"135","ES717794","TRT41"
"136","ES717795","TRT41"
"137","ES717796","TRT41"
"138","ES717797","TRT41"
"139","ES717798","TRT41"
"140","ES717799","TRT41"
"141","ES717800","TRT41"
"142","ES717801","TRT41"
"143","ES717802","TRT41"
"144","ES717803","TRT41"
"145","ES717804","TRT41"
"146","ES717805","TRT41"
"147","ES717806","TRT41"
"148","ES717807","TRT41"
"149","ES717808","TRT41"
"150","ES717809","TRT41"
"151","ES717810","TRT41"
"152","ES717811","TRT41"
"153","ES717812","TRT41"
"154","ES717813","TRT41"
"155","ES717814","TRT41"
"156","ES717815","TRT41"
"157","ES717816","TRT41"
"158","ES717817","TRT41"
"159","ES717818","TRT41"
"160","ES717819","TRT41"
"161","ES717820","TRT41"
"162","ES717821","TRT41"
"163","ES717822","TRT41"
"164","ES717823","TRT41"
"165","ES717824","TRT41"
"166","ES717825","TRT41"
"167","ES717826","TRT41"
"168","ES717827","TRT41"
"169","ES717828","TRT41"
"170","ES717829","TRT41"
"171","ES717830","TRT41"
"172","ES717831","TRT41"
"173","ES717832","TRT41"
"174","ES717833","TRT41"
"175","ES717834","TRT41"
"176","ES717835","TRT41"
"177","ES717836","TRT41"
"178","ES717837","TRT41"
"179","ES717838","TRT41"
"180","ES717839","TRT41"
"181","ES717840","TRT41"
"182","ES717841","TRT41"
"183","ES717842","TRT41"
"184","ES717843","TRT41"
"185","ES717844","TRT41"
"186","ES717845","TRT41"
"187","ES717846","TRT41"
"188","ES717847","TRT41"
"189","ES717848","TRT41"
"190","ES717849","TRT41"
"191","ES717850","TRT41"
"192","ES717851","TRT41"
"193","ES717852","TRT41"
"194","ES717853","TRT41"
"195","ES717854","TRT41"
"196","ES717855","TRT41"
"197","ES717856","TRT41"
"198","ES717857","TRT41"
"199","ES717858","TRT41"
"200","ES717859","TRT41"
"201","ES717860","TRT41"
"202","ES717861","TRT41"
"203","ES717862","TRT41"
"204","ES717863","TRT41"
"205","ES717864","TRT41"
"206","ES717865","TRT41"
"207","ES717866","TRT41"
"208","ES717867","TRT41"
"209","ES717868","TRT41"
"210","ES717869","TRT41"
"211","ES717870","TRT41"
"212","ES717871","TRT41"
"213","ES717872","TRT41"
"214","ES717873","TRT41"
"215","ES717874","TRT41"
"216","ES717875","TRT41"
"217","ES717876","TRT41"
"218","ES717877","TRT41"
"219","ES717878","TRT41"
"220","ES717879","TRT41"
"221","ES717880","TRT41"
"222","ES717881","TRT41"
"223","ES717882","TRT41"
"224","ES717883","TRT41"
"225","ES717884","TRT41"
"226","ES717885","TRT41"
"227","ES717886","TRT41"
"228","ES717887","TRT41"
"229","ES717888","TRT41"
"230","ES717889","TRT41"
"231","ES717890","TRT41"
"232","ES717891","TRT41"
"233","ES717892","TRT41"
"234","ES717893","TRT41"
"235","ES717894","TRT41"
"236","ES717895","TRT41"
"237","ES717896","TRT41"
"238","ES717897","TRT41"
"239","ES717898","TRT41"
"240","ES717899","TRT41"
"241","ES717900","TRT41"
"242","ES717901","TRT41"
"243","ES717902","TRT41"
"244","ES717903","TRT41"
"245","ES717904","TRT41"
"246","ES717905","TRT41"
"247","ES717906","TRT41"
"248","ES717907","TRT41"
"249","ES717908","TRT41"
"250","ES717909","TRT41"
"251","ES717910","TRT41"
"252","ES717911","TRT41"
"253","ES717912","TRT41"
"254","ES717913","TRT41"
"255","ES717914","TRT41"
"256","ES717915","TRT41"
"257","ES717916","TRT41"
"258","ES717917","TRT41"
"259","ES717918","TRT41"
"260","ES717919","TRT41"
"261","ES717920","TRT41"
"262","ES717921","TRT41"
"263","ES717922","TRT41"
"264","ES717923","TRT41"
"265","ES717924","TRT41"
"266","ES717925","TRT41"
"267","ES717926","TRT41"
"268","ES717927","TRT41"
"269","ES717928","TRT41"
"270","ES717929","TRT41"
"271","ES717930","TRT41"
"272","ES717931","TRT41"
"273","ES717932","TRT41"
"274","ES717933","TRT41"
"275","ES717934","TRT41"
"276","ES717935","TRT41"
"277","ES717936","TRT41"
"278","ES717937","TRT41"
"279","ES717938","TRT41"
"280","ES717939","TRT41"
"281","ES717940","TRT41"
"282","ES717941","TRT41"
"283","ES717942","TRT41"
"284","ES717943","TRT41"
"285","ES717944","TRT41"
"286","ES717945","TRT41"
"287","ES717946","TRT41"
"288","ES717947","TRT41"
"289","ES717948","TRT41"
"290","ES717949","TRT41"
"291","ES717950","TRT41"
"292","ES717951","TRT41"
"293","ES717952","TRT41"
"294","ES717953","TRT41"
"295","ES717954","TRT41"
"296","ES717955","TRT41"
"297","ES717956","TRT41"
"298","ES717957","TRT41"
"299","ES717958","TRT41"
"300","ES717959","TRT41"
"301","ES717960","TRT41"
"302","ES717961","TRT41"
"303","ES717962","TRT41"
"304","ES717963","TRT41"
"305","ES717964","TRT41"
"306","ES717965","TRT41"
"307","ES717966","TRT41"
"308","ES717967","TRT41"
"309","ES717968","TRT41"
"310","ES717969","TRT41"
"311","ES717970","TRT41"
"312","ES717971","TRT41"
"313","ES717972","TRT41"
"314","ES717973","TRT41"
"315","ES717974","TRT41"
"316","ES717975","TRT41"
"317","ES717976","TRT41"
"318","ES717977","TRT41"
"319","ES717978","TRT41"
"320","ES717979","TRT41"
"321","ES717980","TRT41"
"322","ES717981","TRT41"
"323","ES717982","TRT41"
"324","ES717983","TRT41"
"325","ES717984","TRT41"
"326","ES717985","TRT41"
"327","ES717986","TRT41"
"328","ES717987","TRT41"
"329","ES717988","TRT41"
"330","ES717989","TRT41"
"331","ES717990","TRT41"
"332","ES717991","TRT41"
"333","ES717992","TRT41"
"334","ES717993","TRT41"
"335","ES717994","TRT41"
"336","ES717995","TRT41"
"337","ES717996","TRT41"
"338","ES717997","TRT41"
"339","ES717998","TRT41"
"340","ES717999","TRT41"
"341","ES718000","TRT41"
"342","ES718001","TRT41"
"343","ES718002","TRT41"
"344","ES718003","TRT41"
"345","ES718004","TRT41"
"346","ES718005","TRT41"
"347","ES718006","TRT41"
"348","ES718007","TRT41"
"349","ES718008","TRT41"
"350","ES718009","TRT41"
"351","ES718010","TRT41"
"352","ES718011","TRT41"
"353","ES718012","TRT41"
"354","ES718013","TRT41"
"355","ES718014","TRT41"
"356","ES718015","TRT41"
"357","ES718016","TRT41"
"358","ES718017","TRT41"
"359","ES718018","TRT41"
"360","ES718019","TRT41"
"361","ES718020","TRT41"
"362","ES718021","TRT41"
"363","ES718022","TRT41"
"364","ES718023","TRT41"
"365","ES718024","TRT41"
"366","ES718025","TRT41"
"367","ES718026","TRT41"
"368","ES718027","TRT41"
"369","ES718028","TRT41"
"370","ES718029","TRT41"
"371","ES718030","TRT41"
"372","ES718031","TRT41"
"373","ES718032","TRT41"
"374","ES718033","TRT41"
"375","ES718034","TRT41"
"376","ES718035","TRT41"
"377","ES718036","TRT41"
"378","ES718037","TRT41"
"379","ES718038","TRT41"
"380","ES718039","TRT41"
"381","ES718040","TRT41"
"382","ES718041","TRT41"
"383","ES718042","TRT41"
"384","ES718043","TRT41"
"385","ES718044","TRT41"
"386","ES718045","TRT41"
"387","ES718046","TRT41"
"388","ES718047","TRT41"
"389","ES718048","TRT41"
"390","ES718049","TRT41"
"391","ES718050","TRT41"
"392","ES718051","TRT41"
"393","ES718052","TRT41"
"394","ES718053","TRT41"
"395","ES718054","TRT41"
"396","ES718055","TRT41"
"397","ES718056","TRT41"
"398","ES718057","TRT41"
"399","ES718058","TRT41"
"400","ES718059","TRT41"
"401","ES718060","TRT41"
"402","ES718061","TRT41"
"403","ES718062","TRT41"
"404","ES718063","TRT41"
"405","ES718064","TRT41"
"406","ES718065","TRT41"
"407","ES718066","TRT41"
"408","ES718067","TRT41"
"409","ES718068","TRT41"
"410","ES718069","TRT41"
"411","ES718070","TRT41"
"412","ES718071","TRT41"
"413","ES718072","TRT41"
"414","ES718073","TRT41"
"415","ES718074","TRT41"
"416","ES718075","TRT41"
"417","ES718076","TRT41"
"418","ES718077","TRT41"
"419","ES718078","TRT41"
"420","ES718079","TRT41"
"421","ES718080","TRT41"
"422","ES718081","TRT41"
"423","ES718082","TRT41"
"424","ES718083","TRT41"
"425","ES718084","TRT41"
"426","ES718085","TRT41"
"427","ES718086","TRT41"
"428","ES718087","TRT41"
"429","ES718088","TRT41"
"430","ES718089","TRT41"
"431","ES718090","TRT41"
"432","ES718091","TRT41"
"433","ES718092","TRT41"
"434","ES718093","TRT41"
"435","ES718094","TRT41"
"436","ES718095","TRT41"
"437","ES718096","TRT41"
"438","ES718097","TRT41"
"439","ES718098","TRT41"
"440","ES718099","TRT41"
"441","ES718100","TRT41"
"442","ES718101","TRT41"
"443","ES718102","TRT41"
"444","ES718103","TRT41"
"445","ES718104","TRT41"
"446","ES718105","TRT41"
"447","ES718106","TRT41"
"448","ES718107","TRT41"
"449","ES718108","TRT41"
"450","ES718109","TRT41"
"451","ES718110","TRT41"
"452","ES718111","TRT41"
"453","ES718112","TRT41"
"454","ES718113","TRT41"
"455","ES718114","TRT41"
"456","ES718115","TRT41"
"457","ES718116","TRT41"
"458","ES718117","TRT41"
"459","ES718118","TRT41"
"460","ES718119","TRT41"
"461","ES718120","TRT41"
"462","ES718121","TRT41"
"463","ES718122","TRT41"
"464","ES718123","TRT41"
"465","ES718124","TRT41"
"466","ES718125","TRT41"
"467","ES718126","TRT41"
"468","ES718127","TRT41"
"469","ES718128","TRT41"
"470","ES718129","TRT41"
"471","ES718130","TRT41"
"472","ES718131","TRT41"
"473","ES718132","TRT41"
"474","ES718133","TRT41"
"475","ES718134","TRT41"
"476","ES718135","TRT41"
