"","RESULT_ID","EXPSAMPLE_ACCESSION","REPOSITORY_ACCESSION","REPOSITORY_NAME"
"1",2038,"ES717829","GSM744939","GEO"
"2",2039,"ES717831","GSM744912","GEO"
"3",2040,"ES717840","GSM744919","GEO"
"4",2041,"ES717851","GSM744858","GEO"
"5",2042,"ES717897","GSM745362","GEO"
"6",2043,"ES717913","GSM745225","GEO"
"7",2044,"ES717915","GSM745228","GEO"
"8",2045,"ES717928","GSM745281","GEO"
"9",2046,"ES717940","GSM745216","GEO"
"10",2047,"ES717948","GSM745366","GEO"
"11",2048,"ES717953","GSM745367","GEO"
"12",2049,"ES717996","GSM745371","GEO"
"13",2050,"ES717997","GSM745387","GEO"
"14",2051,"ES717998","GSM745301","GEO"
"15",2052,"ES718008","GSM745308","GEO"
"16",2053,"ES718036","GSM745326","GEO"
"17",2054,"ES718038","GSM745266","GEO"
"18",2055,"ES718069","GSM745107","GEO"
"19",2056,"ES718097","GSM745069","GEO"
"20",2057,"ES718120","GSM745083","GEO"
"21",2058,"ES718124","GSM745102","GEO"
"22",2059,"ES718127","GSM745082","GEO"
"23",2060,"ES718139","GSM745090","GEO"
"24",2061,"ES718163","GSM745139","GEO"
"25",2062,"ES718164","GSM745168","GEO"
"26",2063,"ES718171","GSM745169","GEO"
"27",2064,"ES718184","GSM745092","GEO"
"28",2065,"ES718189","GSM745175","GEO"
"29",2066,"ES718190","GSM745117","GEO"
"30",2067,"ES718205","GSM745055","GEO"
"31",2068,"ES718270","GSM744989","GEO"
"32",2069,"ES718273","GSM745018","GEO"
"33",2070,"ES718286","GSM744956","GEO"
"34",2071,"ES717809","GSM744905","GEO"
"35",2072,"ES717815","GSM744903","GEO"
"36",2073,"ES717821","GSM744922","GEO"
"37",2074,"ES717786","GSM744839","GEO"
"38",2075,"ES717788","GSM744890","GEO"
"39",2076,"ES717804","GSM744937","GEO"
"40",2077,"ES717806","GSM744867","GEO"
"41",2078,"ES717810","GSM744846","GEO"
"42",2079,"ES717858","GSM744908","GEO"
"43",2080,"ES717885","GSM745236","GEO"
"44",2081,"ES717900","GSM745291","GEO"
"45",2082,"ES717927","GSM745226","GEO"
"46",2083,"ES717939","GSM745219","GEO"
"47",2084,"ES717952","GSM745355","GEO"
"48",2085,"ES717962","GSM745305","GEO"
"49",2086,"ES717963","GSM745376","GEO"
"50",2087,"ES717974","GSM745304","GEO"
"51",2088,"ES718002","GSM745315","GEO"
"52",2089,"ES718013","GSM745328","GEO"
"53",2090,"ES718055","GSM745256","GEO"
"54",2091,"ES718083","GSM745181","GEO"
"55",2092,"ES718125","GSM745113","GEO"
"56",2093,"ES718131","GSM745096","GEO"
"57",2094,"ES718147","GSM745058","GEO"
"58",2095,"ES718159","GSM745171","GEO"
"59",2096,"ES718162","GSM745155","GEO"
"60",2097,"ES718174","GSM745132","GEO"
"61",2098,"ES718175","GSM745081","GEO"
"62",2099,"ES718188","GSM745089","GEO"
"63",2100,"ES718211","GSM744952","GEO"
"64",2101,"ES718212","GSM744946","GEO"
"65",2102,"ES718285","GSM744994","GEO"
"66",2103,"ES718290","GSM745046","GEO"
"67",2104,"ES718309","GSM744975","GEO"
"68",2105,"ES718314","GSM745044","GEO"
"69",2106,"ES717794","GSM744929","GEO"
"70",2107,"ES717798","GSM744854","GEO"
"71",2108,"ES717801","GSM744877","GEO"
"72",2109,"ES717828","GSM744904","GEO"
"73",2110,"ES717861","GSM744928","GEO"
"74",2111,"ES717868","GSM744913","GEO"
"75",2112,"ES717879","GSM744896","GEO"
"76",2113,"ES717908","GSM745359","GEO"
"77",2114,"ES717909","GSM745293","GEO"
"78",2115,"ES717964","GSM745372","GEO"
"79",2116,"ES717979","GSM745306","GEO"
"80",2117,"ES717995","GSM745365","GEO"
"81",2118,"ES718023","GSM745327","GEO"
"82",2119,"ES718035","GSM745276","GEO"
"83",2120,"ES718040","GSM745333","GEO"
"84",2121,"ES718043","GSM745393","GEO"
"85",2122,"ES718050","GSM745334","GEO"
"86",2123,"ES718057","GSM745397","GEO"
"87",2124,"ES718106","GSM745179","GEO"
"88",2125,"ES718111","GSM745076","GEO"
