"","REAGENT_ACCESSION","ANALYTE_ACCESSION","ANALYTE_PREFERRED","ANALYTE_REPORTED","ANTIBODY_REGISTRY_ID","CATALOG_NUMBER","CLONE_NAME","CONTACT","DESCRIPTION","IS_SET","LOT_NUMBER","MANUFACTURER","NAME","REPORTER_NAME","TYPE","WEBLINK","WORKSPACE_ID"
"1","ESR10102","","","","","MPXHCYTO60KMPX42","",NA,"","N","1894024","Luminex Technology - Millipore","EGF","","",NA,2799
"2","ESR10103","ANA3","Eotaxin","Eotaxin","","MPXHCYTO60KMPX42","",NA,"","N","1894024","Luminex Technology - Millipore","EOTAXIN","","",NA,2799
"3","ESR10104","","","","","MPXHCYTO60KMPX42","",NA,"","N","1894024","Luminex Technology - Millipore","FGF2","","",NA,2799
"4","ESR10105","","","","","MPXHCYTO60KMPX42","",NA,"","N","1894024","Luminex Technology - Millipore","FLT3LIGAND","","",NA,2799
"5","ESR10106","","","","","MPXHCYTO60KMPX42","",NA,"","N","1894024","Luminex Technology - Millipore","FRACTALKINE","","",NA,2799
"6","ESR10107","ANA56","CSF3","CSF3","","MPXHCYTO60KMPX42","",NA,"","N","1894024","Luminex Technology - Millipore","GCSF","","",NA,2799
"7","ESR10108","ANA53","GMCSF","GMCSF","","MPXHCYTO60KMPX42","",NA,"","N","1894024","Luminex Technology - Millipore","GMCSF","","",NA,2799
"8","ESR10109","ANA60","GRO","GRO","","MPXHCYTO60KMPX42","",NA,"","N","1894024","Luminex Technology - Millipore","GRO","","",NA,2799
"9","ESR10110","ANA99","IFNA2","IFNA2","","MPXHCYTO60KMPX42","",NA,"","N","1894024","Luminex Technology - Millipore","IFNA2","","",NA,2799
"10","ESR10111","ANA110","IFNG","IFNG","","MPXHCYTO60KMPX42","",NA,"","N","1894024","Luminex Technology - Millipore","IFNG","","",NA,2799
"11","ESR10112","ANA142","IL1A","IL1A","","MPXHCYTO60KMPX42","",NA,"","N","1894024","Luminex Technology - Millipore","IL1A","","",NA,2799
"12","ESR10113","ANA143","IL1B","IL1B","","MPXHCYTO60KMPX42","",NA,"","N","1894024","Luminex Technology - Millipore","IL1B","","",NA,2799
"13","ESR10114","ANA145","IL1R1","IL1R1","","MPXHCYTO60KMPX42","",NA,"","N","1894024","Luminex Technology - Millipore","IL1RA","","",NA,2799
"14","ESR10115","ANA148","IL2","IL2","","MPXHCYTO60KMPX42","",NA,"","N","1894024","Luminex Technology - Millipore","IL2","","",NA,2799
"15","ESR10116","ANA166","IL3","IL3","","MPXHCYTO60KMPX42","",NA,"","N","1894024","Luminex Technology - Millipore","IL3","","",NA,2799
"16","ESR10117","ANA174","IL4","IL4","","MPXHCYTO60KMPX42","",NA,"","N","1894024","Luminex Technology - Millipore","IL4","","",NA,2799
"17","ESR10118","ANA176","IL5","IL5","","MPXHCYTO60KMPX42","",NA,"","N","1894024","Luminex Technology - Millipore","IL5","","",NA,2799
"18","ESR10119","ANA178","IL6","IL6","","MPXHCYTO60KMPX42","",NA,"","N","1894024","Luminex Technology - Millipore","IL6","","",NA,2799
"19","ESR10120","ANA181","IL7","IL7","","MPXHCYTO60KMPX42","",NA,"","N","1894024","Luminex Technology - Millipore","IL7","","",NA,2799
"20","ESR10121","ANA72","IL8","IL8","","MPXHCYTO60KMPX42","",NA,"","N","1894024","Luminex Technology - Millipore","IL8","","",NA,2799
"21","ESR10122","ANA183","IL9","IL9","","MPXHCYTO60KMPX42","",NA,"","N","1894024","Luminex Technology - Millipore","IL9","","",NA,2799
"22","ESR10123","ANA118","IL10","IL10","","MPXHCYTO60KMPX42","",NA,"","N","1894024","Luminex Technology - Millipore","IL10","","",NA,2799
"23","ESR10124","ANA124","IL12p40","IL12p40","","MPXHCYTO60KMPX42","",NA,"","N","1894024","Luminex Technology - Millipore","IL12P40","","",NA,2799
