"","REAGENT_ACCESSION","ANALYTE_ACCESSION","ANALYTE_PREFERRED","ANALYTE_REPORTED","ANTIBODY_REGISTRY_ID","CATALOG_NUMBER","CLONE_NAME","CONTACT","DESCRIPTION","IS_SET","LOT_NUMBER","MANUFACTURER","NAME","REPORTER_NAME","TYPE","WEBLINK","WORKSPACE_ID"
"24","ESR10125","ANA800","IL12p70","IL12p70","","MPXHCYTO60KMPX42","",NA,"","N","1894024","Luminex Technology - Millipore","IL12P70","","",NA,2799
"25","ESR10126","ANA127","IL13","IL13","","MPXHCYTO60KMPX42","",NA,"","N","1894024","Luminex Technology - Millipore","IL13","","",NA,2799
"26","ESR10127","ANA130","IL15","IL15","","MPXHCYTO60KMPX42","",NA,"","N","1894024","Luminex Technology - Millipore","IL15","","",NA,2799
"27","ESR10128","ANA133","IL17A","IL17A","","MPXHCYTO60KMPX42","",NA,"","N","1894024","Luminex Technology - Millipore","IL17A","","",NA,2799
"28","ESR10129","ANA61","IP-10","IP-10","","MPXHCYTO60KMPX42","",NA,"","N","1894024","Luminex Technology - Millipore","IP10","","",NA,2799
"29","ESR10130","ANA11","MCP1","MCP1","","MPXHCYTO60KMPX42","",NA,"","N","1894024","Luminex Technology - Millipore","MCP1","","",NA,2799
"30","ESR10131","ANA28","MCP3","MCP3","","MPXHCYTO60KMPX42","",NA,"","N","1894024","Luminex Technology - Millipore","MCP3","","",NA,2799
"31","ESR10132","ANA14","CCL22","CCL22","","MPXHCYTO60KMPX42","",NA,"","N","1894024","Luminex Technology - Millipore","MDC","","",NA,2799
"32","ESR10133","ANA20","MIP1A","MIP1A","","MPXHCYTO60KMPX42","",NA,"","N","1894024","Luminex Technology - Millipore","MIP1A","","",NA,2799
"33","ESR10134","ANA24","MIP1B","MIP1B","","MPXHCYTO60KMPX42","",NA,"","N","1894024","Luminex Technology - Millipore","MIPB","","",NA,2799
"34","ESR10135","ANA201","PDGFA","PDGFA","","MPXHCYTO60KMPX42","",NA,"","N","1894024","Luminex Technology - Millipore","PDGFAA","","",NA,2799
"35","ESR10136","","","PDGFAB/BB","","MPXHCYTO60KMPX42","",NA,"","N","1894024","Luminex Technology - Millipore","PDGFAB/BB","","",NA,2799
"36","ESR10137","ANA27","RANTES","RANTES","","MPXHCYTO60KMPX42","",NA,"","N","1894024","Luminex Technology - Millipore","RANTES","","",NA,2799
"37","ESR10138","","","","","MPXHCYTO60KMPX42","",NA,"","N","1894024","Luminex Technology - Millipore","SOLCD40L","","",NA,2799
"38","ESR10139","ANA163","IL2RA","IL2RA","","MPXHCYTO60KMPX42","",NA,"","N","1894024","Luminex Technology - Millipore","sIL2RA","","",NA,2799
"39","ESR10140","ANA212","TGFA","TGFA","","MPXHCYTO60KMPX42","",NA,"","N","1894024","Luminex Technology - Millipore","TGFA","","",NA,2799
"40","ESR10141","ANA220","TNFA","TNFA","","MPXHCYTO60KMPX42","",NA,"","N","1894024","Luminex Technology - Millipore","TNFA","","",NA,2799
"41","ESR10142","ANA192","TNFB","TNFB","","MPXHCYTO60KMPX42","",NA,"","N","1894024","Luminex Technology - Millipore","TNFB","","",NA,2799
"42","ESR10143","ANA709","VEGFA","VEGFA","","MPXHCYTO60KMPX42","",NA,"","N","1894024","Luminex Technology - Millipore","VEGF","","",NA,2799
"43","ESR11052","ANA904","BCL2","BCL2","","N/A","Anti-bcl2",NA,"","N","","N/A","BCL2","PE","Other",NA,2799
"44","ESR11053","ANA895","BDCA1","BDCA1","AB_244310","130-090-903","Anti-BDCA-1",NA,"","N","5090623063","Miltenyi","BDCA-1","APC","Other",NA,2799
"45","ESR11054","ANA870","BDCA2, CD303","BDCA2, CD303","AB_244168","130-090-511","Anti-BDCA-2",NA,"","N","5080603054","Miltenyi","BDCA-2","PE","Other",NA,2799
"46","ESR11055","ANA34","CCR4","CCR4","AB_396907","557864","Anti-CCR4",NA,"","N","557864","BD Biosciences","CCR4","PE-Cy7","Flow Cytometry",NA,2799
"47","ESR11056","ANA36","CCR6","CCR6","AB_397273","559562","Anti-CCR6",NA,"","N","42943","BD Biosciences","CCR6","PE","Flow Cytometry",NA,2799
"48","ESR11057","ANA37","CCR7","CCR7","AB_396765","557648","Anti-CCR7",NA,"","N","51130","BD Biosciences","CCR7","PE-Cy7","Flow Cytometry",NA,2799
"49","ESR11058","ANA878","CD11b","CD11b","AB_396849","557743","Anti-CD11b",NA,"","N","47436","BD Biosciences","CD11b","PE-Cy7","Flow Cytometry",NA,2799
"50","ESR11059","ANA814","CD11c","CD11c","AB_400520","340544","Anti-CD11c",NA,"","N","62765","BD Biosciences","CD11c","APC","Flow Cytometry",NA,2799
"51","ESR11060","ANA173","CD123","CD123","AB_400052","340545","Anti-CD123",NA,"","N","51765","BD Biosciences","CD123","PE","Flow Cytometry",NA,2799
"52","ESR11061","ANA891","CD138","CD138","AB_400571","347207","Anti-CD138",NA,"","N","49191","BD Biosciences","CD138","APC","Flow Cytometry",NA,2799
"53","ESR11062","ANA804","CD14","CD14","AB_397041","558121","Anti-CD14",NA,"","N","11474","BD Biosciences","CD14","Pacific Blue","Flow Cytometry",NA,2799
"54","ESR11064","ANA811","CD16","CD16","AB_10371750; AB_1464957","MHCD1605","Anti-CD16",NA,"","N","466430A","CALTAG","CD16","APC","Other",NA,2799
"55","ESR11065","ANA811","CD16","CD16","AB_395808","555408","Anti-CD16",NA,"","N","40337","BD Biosciences","CD16","PE-Cy5","Flow Cytometry",NA,2799
"56","ESR11066","ANA805","CD19","CD19","AB_130854","IM2708U","Anti-CD19",NA,"","N","39","Beckman Coulter","CD19","PE-Texas Red","Flow Cytometry",NA,2799
"57","ESR11067","ANA860","CD2","CD2","AB_10643104","A51074","Anti-CD2",NA,"","N","5","Beckman Coulter","CD2","PE-Cy7","Flow Cytometry",NA,2799
"58","ESR11068","ANA806","CD20","CD20","AB_395990","555624","Anti-CD20",NA,"","N","29917","BD Biosciences","CD20","PE-Cy5","Flow Cytometry",NA,2799
"59","ESR11069","ANA807","CD24","CD24","AB_395822","555428","Anti-CD24",NA,"","N","23219","BD Biosciences","CD24","PE","Flow Cytometry",NA,2799
"60","ESR11070","ANA163","IL2RA","IL2RA","AB_400550","340938","Anti-CD25",NA,"","N","42786","BD Biosciences","CD25","APC","Flow Cytometry",NA,2799
"61","ESR11071","ANA163","IL2RA","IL2RA","AB_1645565","560355","Anti-CD25",NA,"","N","19189","BD Biosciences","CD25","Pacific Blue","Flow Cytometry",NA,2799
"62","ESR11072","ANA40","CD27","CD27","AB_571977","302816","Anti-CD27",NA,"","N","B122214","BioLegend","CD27","APC-Cy7","Flow Cytometry",NA,2799
"63","ESR11074","ANA809","CD3","CD3","AB_396952","557943","Anti-CD3",NA,"","N","42910","BD Biosciences","CD3","Alexa Fluor 700","Flow Cytometry",NA,2799
"64","ESR11075","ANA809","CD3","CD3","AB_395747","555341","Anti-CD3",NA,"","N","40413","BD Biosciences","CD3","PE-Cy5","Flow Cytometry",NA,2799
"65","ESR11076","ANA808","CD38","CD38","","N/A","Anti-CD38",NA,"","N","","N/A","CD38","APC","Other",NA,2799
"66","ESR11077","ANA808","CD38","CD38","AB_399969","335790","Anti-CD38",NA,"","N","52279","BD Biosciences","CD38","PE-Cy7","Flow Cytometry",NA,2799
"67","ESR11078","ANA41","CD4","CD4","AB_397037","558116","Anti-CD4",NA,"","N","48690","BD Biosciences","CD4","Pacific Blue","Flow Cytometry",NA,2799
"68","ESR11079","ANA42","CD40","CD40","AB_395964","555589","Anti-CD40",NA,"","N","42972","BD Biosciences","CD40","PE","Flow Cytometry",NA,2799
"69","ESR11080","ANA822","CD45RO","CD45","AB_10376143; AB_1475776","MHCD4530","Anti-CD45",NA,"","N","622472A","Invitrogen","CD45","Pacific Orange","Other",NA,2799
"70","ESR11081","ANA816","CD45RA","CD45RA","AB_10640553","IM2711U","Anti-CD45RA",NA,"","N","38","Beckman Coulter","CD45RA","PE-Texas Red","Flow Cytometry",NA,2799
"71","ESR11082","ANA815","CD56","CD56","AB_10641223","A51078","Anti-CD56",NA,"","N","10","IOTest","CD56","PE-Cy7","Other",NA,2799
"72","ESR11083","ANA712","CD62L","CD62L","","IM2713U","Anti-CD62L",NA,"","N","38","Beckman Coulter","CD62L","PE-Texas Red","Flow Cytometry",NA,2799
"73","ESR11085","ANA810","CD8","CD8","AB_1645736","641400","Anti-CD8",NA,"","N","53351","BD Biosciences","CD8","APC-Cy7","Flow Cytometry",NA,2799
"74","ESR11086","ANA810","CD8","CD8","AB_10372066; AB_1484441","MHCD0830","Anti-CD8",NA,"","N","675060A","CALTAG","CD8","Pacific Orange","Other",NA,2799
"75","ESR11087","ANA868","B7-2","B7-2","AB_396012","555657","Anti-CD86",NA,"","N","19009","BD Biosciences","CD86","FITC","Flow Cytometry",NA,2799
"76","ESR11089","ANA871","CD152","CD152","AB_396177","555854","Anti-CTLA4",NA,"","N","20706","BD Biosciences","CTLA4","PE-Cy5","Flow Cytometry",NA,2799
"77","ESR11090","ANA76","CXCR3","CXCR3","AB_394061","551128","Anti-CXCR3",NA,"","N","42470","BD Biosciences","CXCR3","PE-Cy5","Flow Cytometry",NA,2799
"78","ESR11091","ANA78","CXCR5","CXCR5","AB_397034","558112","Anti-CXCR5",NA,"","N","96595","BD Biosciences","CXCR5","FITC","Flow Cytometry",NA,2799
"79","ESR11092","ANA874","FOXP3","FOXP3","AB_1645508","560046","Anti-FOXP3",NA,"","N","49154","BD Biosciences","FOXP3","PE","Flow Cytometry",NA,2799
"80","ESR11094","ANA897","GranB","GranB","","557971","Anti-GranB",NA,"","N","560213","BD Biosciences","GranB","Alexa Fluor 700","Flow Cytometry",NA,2799
"81","ESR11095","ANA812","HLADR","HLADR","AB_398674","559866","Anti-HLA-DR",NA,"","N","25660","BD Biosciences","HLA-DR","APC","Flow Cytometry",NA,2799
"82","ESR11096","ANA812","HLADR","HLADR","AB_1645738; AB_2106629","641402","Anti-HLA-DR",NA,"","N","52313","BD Biosciences","HLA-DR","APC-Cy7","Flow Cytometry",NA,2799
"83","ESR11097","ANA812","HLADR","HLADR","AB_400292","347364","Anti-HLA-DR",NA,"","N","90115","BD Biosciences","HLA-DR","PerCP","Flow Cytometry",NA,2799
"84","ESR11098","ANA898","CD278","CD278","AB_416334","313510","Anti-ICOS",NA,"","N","B114067","BioLegend","ICOS","APC","Flow Cytometry",NA,2799
"85","ESR11099","ANA813","IgD","IgD","AB_396113","555778","Anti-IgD",NA,"","N","36194","BD Biosciences","IgD","FITC","Flow Cytometry",NA,2799
"86","ESR11110","ANA889","Ki67","Ki67","","N/A","Anti-Ki-67",NA,"","N","","N/A","Ki-67","FITC","Other",NA,2799
"87","ESR11111","","","Lin-1","AB_400053","340546","Anti-Lin-1",NA,"","N","86755","BD Biosciences","Lin-1","FITC","Flow Cytometry",NA,2799
"88","ESR11113","ANA867","TLR6","TLR6","AB_398654","558071","Anti-NKg2D",NA,"","N","74044","BD Biosciences","NKg2D","APC","Flow Cytometry",NA,2799
"89","ESR11115","ANA885","NKP44","NKP44","","IM3710","Anti-NKP44",NA,"","N","11","IOTest","NKP44","PE","Other",NA,2799
"90","ESR11118","","","TCRgd","AB_397353","559878","Anti-TCRgd",NA,"","N","73792","BD Biosciences","TCRgd","FITC","Flow Cytometry",NA,2799
"91","ESR11119","ANA875","CD15","CD15","AB_11153493","562370","Anti-CD15",NA,"","N","","BD Biosciences","CD15","FITC","Flow Cytometry",NA,2799
"92","ESR11120","ANA868","B7-2","B7-2","AB_314528","305408","Anti-CD86",NA,"","N","","BD Biosciences","CD86","PC5","Flow Cytometry",NA,2799
"93","ESR11121","","","Lin-2","AB_1645743","643397","Anti-Lin-2",NA,"","N","","BD Biosciences","Lin-2","FITC","Flow Cytometry",NA,2799
"94","ESR11122","ANA895","BDCA1","BDCA1","AB_1227535","331514","Anti-CD1c",NA,"","N","","BioLegend","CD1c","PerCPCy5.5","Flow Cytometry",NA,2799
"95","ESR11123","ANA894","BDCA3","CD141","AB_244170","130-090-907","Anti-CD141",NA,"","N","","Miltenyi","CD141","APC","Other",NA,2799
"96","ESR11124","ANA812","HLADR","HLADR","AB_893565","327014","Anti-HLA-DR",NA,"","N","","BioLegend","HLA-DR","Alexa Fluor 700","Flow Cytometry",NA,2799
"97","ESR11125","ANA811","CD16","CD16","AB_1645466","560195","Anti-CD16",NA,"","N","","BD Biosciences","CD16","APC-Cy7","Flow Cytometry",NA,2799
"98","ESR11126","ANA868","B7-2","B7-2","AB_493466","105022","Anti-CD86",NA,"","N","","BioLegend","CD86","Pacific Blue","Flow Cytometry",NA,2799
"99","ESR11127","","","CD3+CD19+CD20+CD56","","Unk","Anti-CD3+CD19+CD20+CD56",NA,"","N","","Unknown","CD3+CD19+CD20+CD56","FITC","Other",NA,2799
"100","ESR11128","ANA878","CD11b","CD11b","AB_312791","101208","Anti-CD11b",NA,"","N","","BioLegend","CD11b","PE","Flow Cytometry",NA,2799
"101","ESR11129","ANA804","CD14","CD14","AB_893251","301824","Anti-CD14",NA,"","N","","BioLegend","CD14","PerCPCy5.5","Flow Cytometry",NA,2799
"102","ESR11130","ANA906","SLAN","SLAN","","130-093-026","Anti-Slan",NA,"","N","","Miltenyi","Slan","APC","Other",NA,2799
"103","ESR11132","ANA182","CD127","CD127","AB_2296056","557938","Anti-CD127",NA,"","N","","BD Biosciences","CD127","PE","Flow Cytometry",NA,2799
"104","ESR11134","","","","","N/A","",NA,"IgD; CD24; CD138; CD19; CD20; CD27; CD38; CD45","Y","","N/A","B Cell","","Flow Cytometry",NA,2799
"105","ESR11135","","","","","N/A","",NA,"Lin-1; BDCA-2; CD45RA; HLA-DR; CD2; BDCA-1; CD4","Y","","N/A","DC 1","","Flow Cytometry",NA,2799
"106","ESR11136","","","","","N/A","",NA,"Lin-1; CD123; HLA-DR; R8","Y","","N/A","DC 2","","Flow Cytometry",NA,2799
"107","ESR11137","","","","","N/A","",NA,"CD86; CD40; CD62L; CD11b; CD16; HLA-DR; CD14; CD45","Y","","N/A","Monocyte","","Flow Cytometry",NA,2799
"108","ESR11139","","","","","N/A","",NA,"CXCR5; CCR6; CD45RA; CXCR3; CCR4; ICOS; CD3; CD8; CD4; CD45","Y","","N/A","TFh 2","","Flow Cytometry",NA,2799
"109","ESR11140","","","","","N/A","",NA,"CXCR5; CCR6; CD45RA; CXCR3; CCR7; HLA-DR; CD3; CD8; CD4; CD45","Y","","N/A","TFh 3","","Flow Cytometry",NA,2799
"110","ESR11142","","","","","N/A","",NA,"TCRgd; NKP44; CD16; CD56; NKg2D; CD3; HLA-DR; CD25; CD45","Y","","N/A","NK 2","","Flow Cytometry",NA,2799
"111","ESR11147","","","","","N/A","",NA,"FOXP3; CTLA4; CD25; CD3; CD8; CD4; CD45","Y","","N/A","T Reg","","Flow Cytometry",NA,2799
"112","ESR11148","","","","","N/A","",NA,"Ki-67; BCL2; CD45RA; CD3; CCR7; CD38; GranB; HLA-DR; CD4; CD8","Y","","N/A","Bcl-2","","Flow Cytometry",NA,2799
"113","ESR11149","","","","","N/A","",NA,"IgD; CD24; CD138; CD19; CD20; CD27; CD38; CD45","Y","","N/A","B Cell","","Flow Cytometry",NA,2799
"114","ESR11150","","","","","N/A","",NA,"CD15; CD40; CD62L; CD86; CD11b; CD16; HLA-DR; CD14; CD45","Y","","N/A","Monocyte/Granulocyte","","Flow Cytometry",NA,2799
"115","ESR11151","","","","","N/A","",NA,"CXCR5; CCR6; CD45RA; CXCR3; ICOS; CD3; CD8; CD4; CD45","Y","","N/A","TFh/CD4/CD8","","Flow Cytometry",NA,2799
"116","ESR11152","","","","","N/A","",NA,"Lin-2; BDCA-2; CD1c; CD123; CD2; CD141; HLA-DR; CD16; CD86; CD45","Y","","N/A","DC1","","Flow Cytometry",NA,2799
"117","ESR11153","","","","","N/A","",NA,"CD3+CD19+CD20+CD56; CD11b; CD14; CD2; Slan; HLA-DR; CD16; CD86; CD45","Y","","N/A","DC2","","Flow Cytometry",NA,2799
"118","ESR11154","","","","","N/A","",NA,"CD127; CD25; CD3; CD8; CD4; CD45","Y","","N/A","T Reg","","Flow Cytometry",NA,2799
"119","ESR11255","","","","","BG-PNEU00014-01","",NA,"","N","","Luminex","xMAP Pneumo 14:Pneumococcal Immunity Panel","","",NA,2799
"120","ESR14773","","","","","100050","",NA,"","N","","Nanostring","Master Kit","","Other",NA,2799
"121","ESR24332","","","","","NA","",NA,"","N","","Merck","Pneumococcal vaccine Pneumovax23 serotypes","","Neutralizing Antibody Titer",NA,2799
"122","ESR8812","","","","","BD-103-0604","",NA,"","N","","Illumina","HumanHT-12 v4 Expression BeadChip","","",NA,2799
"123","ESR8813","","","","","Unknown","",NA,"HAI reagenets","N","","Unknown","HAI Reagents","","",NA,2799
"124","ESR9770","","","Recombinant (6:2) influenza A virus A/Puerto Rico/8/1934: A/Brisbane/59/2007 HA, NA (H1N1)","","unk","",NA,"","N","","unk","Recombinant (6:2) influenza A virus A/Puerto Rico/8/1934: A/Brisbane/59/2007 HA, NA (H1N1)","","",NA,2799
"125","ESR9771","","","Recombinant (6:2) influenza A virus A/Puerto Rico/8/1934: A/Brisbane/10/2007 HA, NA (H3N2)","","unk","",NA,"","N","","unk","Recombinant (6:2) influenza A virus A/Puerto Rico/8/1934: A/Brisbane/10/2007 HA, NA (H3N2)","","",NA,2799
"126","ESR9772","","","Influenza B virus B/Brisbane/60/2008","","unk","",NA,"","N","","unk","Influenza B virus B/Brisbane/60/2008","","",NA,2799
"127","ESR9773","","","","","unk","",NA,"","N","","Quest","Quest Pneumovax Virus Neutrilization","","",NA,2799
"128","ESR9776","","","","","BD-103-0204","",NA,"","N","","Illumina","GX-BeadChip HT12v4","","",NA,2799
