"","EXPSAMPLE_ACCESSION","DESCRIPTION","EXPERIMENT_ACCESSION","NAME","RESULT_SCHEMA","UPLOAD_RESULT_STATUS","WORKSPACE_ID"
"29","ES492797","microarray experiment BAY_SUBJECT_000001 day 0","EXP10591",NA,"OTHER","Not_Parsed",2799
"30","ES492798","microarray experiment BAY_SUBJECT_000001 day 1","EXP10591",NA,"OTHER","Not_Parsed",2799
"31","ES492799","microarray experiment BAY_SUBJECT_000001 day 3","EXP10591",NA,"OTHER","Not_Parsed",2799
"32","ES492800","microarray experiment BAY_SUBJECT_000001 day 7","EXP10591",NA,"OTHER","Not_Parsed",2799
"33","ES492801","microarray experiment BAY_SUBJECT_000001 day 10","EXP10591",NA,"OTHER","Not_Parsed",2799
"34","ES492802","microarray experiment BAY_SUBJECT_000001 day 14","EXP10591",NA,"OTHER","Not_Parsed",2799
"35","ES492803","microarray experiment BAY_SUBJECT_000001 day 21","EXP10591",NA,"OTHER","Not_Parsed",2799
"36","ES492804","microarray experiment BAY_SUBJECT_000001 day 28","EXP10591",NA,"OTHER","Not_Parsed",2799
"37","ES492805","microarray experiment BAY_SUBJECT_000002 day -7","EXP10591",NA,"OTHER","Not_Parsed",2799
"38","ES492806","microarray experiment BAY_SUBJECT_000002 day 0","EXP10591",NA,"OTHER","Not_Parsed",2799
"39","ES492807","microarray experiment BAY_SUBJECT_000002 day 1","EXP10591",NA,"OTHER","Not_Parsed",2799
"40","ES492808","microarray experiment BAY_SUBJECT_000002 day 3","EXP10591",NA,"OTHER","Not_Parsed",2799
"41","ES492809","microarray experiment BAY_SUBJECT_000002 day 7","EXP10591",NA,"OTHER","Not_Parsed",2799
"42","ES492810","microarray experiment BAY_SUBJECT_000002 day 10","EXP10591",NA,"OTHER","Not_Parsed",2799
"43","ES492811","microarray experiment BAY_SUBJECT_000002 day 14","EXP10591",NA,"OTHER","Not_Parsed",2799
"44","ES492812","microarray experiment BAY_SUBJECT_000002 day 21","EXP10591",NA,"OTHER","Not_Parsed",2799
"45","ES492813","microarray experiment BAY_SUBJECT_000002 day 28","EXP10591",NA,"OTHER","Not_Parsed",2799
"46","ES492814","microarray experiment BAY_SUBJECT_000003 day -7","EXP10591",NA,"OTHER","Not_Parsed",2799
"47","ES492815","microarray experiment BAY_SUBJECT_000003 day 0","EXP10591",NA,"OTHER","Not_Parsed",2799
"48","ES492816","microarray experiment BAY_SUBJECT_000003 day 1","EXP10591",NA,"OTHER","Not_Parsed",2799
"49","ES492817","microarray experiment BAY_SUBJECT_000003 day 3","EXP10591",NA,"OTHER","Not_Parsed",2799
"50","ES492818","microarray experiment BAY_SUBJECT_000003 day 7","EXP10591",NA,"OTHER","Not_Parsed",2799
"51","ES492819","microarray experiment BAY_SUBJECT_000003 day 10","EXP10591",NA,"OTHER","Not_Parsed",2799
"52","ES492820","microarray experiment BAY_SUBJECT_000003 day 14","EXP10591",NA,"OTHER","Not_Parsed",2799
"53","ES492821","microarray experiment BAY_SUBJECT_000003 day 21","EXP10591",NA,"OTHER","Not_Parsed",2799
"54","ES492822","microarray experiment BAY_SUBJECT_000003 day 28","EXP10591",NA,"OTHER","Not_Parsed",2799
"55","ES492823","microarray experiment BAY_SUBJECT_000005 day -7","EXP10591",NA,"OTHER","Not_Parsed",2799
"56","ES492824","microarray experiment BAY_SUBJECT_000005 day 0","EXP10591",NA,"OTHER","Not_Parsed",2799
"57","ES492825","microarray experiment BAY_SUBJECT_000005 day 1","EXP10591",NA,"OTHER","Not_Parsed",2799
"58","ES492826","microarray experiment BAY_SUBJECT_000005 day 3","EXP10591",NA,"OTHER","Not_Parsed",2799
"59","ES492827","microarray experiment BAY_SUBJECT_000005 day 7","EXP10591",NA,"OTHER","Not_Parsed",2799
"60","ES492828","microarray experiment BAY_SUBJECT_000005 day 10","EXP10591",NA,"OTHER","Not_Parsed",2799
"61","ES492829","microarray experiment BAY_SUBJECT_000005 day 14","EXP10591",NA,"OTHER","Not_Parsed",2799
"62","ES492830","microarray experiment BAY_SUBJECT_000005 day 21","EXP10591",NA,"OTHER","Not_Parsed",2799
"63","ES492831","microarray experiment BAY_SUBJECT_000005 day 28","EXP10591",NA,"OTHER","Not_Parsed",2799
"64","ES492832","microarray experiment BAY_SUBJECT_000006 day -7","EXP10591",NA,"OTHER","Not_Parsed",2799
"65","ES492833","microarray experiment BAY_SUBJECT_000006 day 1","EXP10591",NA,"OTHER","Not_Parsed",2799
"66","ES492834","microarray experiment BAY_SUBJECT_000006 day 3","EXP10591",NA,"OTHER","Not_Parsed",2799
"67","ES492835","microarray experiment BAY_SUBJECT_000006 day 7","EXP10591",NA,"OTHER","Not_Parsed",2799
"68","ES492836","microarray experiment BAY_SUBJECT_000006 day 10","EXP10591",NA,"OTHER","Not_Parsed",2799
"69","ES492837","microarray experiment BAY_SUBJECT_000006 day 14","EXP10591",NA,"OTHER","Not_Parsed",2799
"70","ES492838","microarray experiment BAY_SUBJECT_000006 day 21","EXP10591",NA,"OTHER","Not_Parsed",2799
"71","ES492839","microarray experiment BAY_SUBJECT_000006 day 28","EXP10591",NA,"OTHER","Not_Parsed",2799
"72","ES492840","microarray experiment BAY_SUBJECT_000009 day -7","EXP10591",NA,"OTHER","Not_Parsed",2799
"73","ES492841","microarray experiment BAY_SUBJECT_000009 day 0","EXP10591",NA,"OTHER","Not_Parsed",2799
"74","ES492842","microarray experiment BAY_SUBJECT_000009 day 1","EXP10591",NA,"OTHER","Not_Parsed",2799
"75","ES492843","microarray experiment BAY_SUBJECT_000009 day 3","EXP10591",NA,"OTHER","Not_Parsed",2799
"76","ES492844","microarray experiment BAY_SUBJECT_000009 day 7","EXP10591",NA,"OTHER","Not_Parsed",2799
"77","ES492845","microarray experiment BAY_SUBJECT_000009 day 10","EXP10591",NA,"OTHER","Not_Parsed",2799
"78","ES492846","microarray experiment BAY_SUBJECT_000009 day 14","EXP10591",NA,"OTHER","Not_Parsed",2799
"79","ES492847","microarray experiment BAY_SUBJECT_000009 day 21","EXP10591",NA,"OTHER","Not_Parsed",2799
"80","ES492848","microarray experiment BAY_SUBJECT_000009 day 28","EXP10591",NA,"OTHER","Not_Parsed",2799
"81","ES492849","microarray experiment BAY_SUBJECT_000010 day -7","EXP10591",NA,"OTHER","Not_Parsed",2799
"82","ES492850","microarray experiment BAY_SUBJECT_000010 day 0","EXP10591",NA,"OTHER","Not_Parsed",2799
"83","ES492851","microarray experiment BAY_SUBJECT_000010 day 1","EXP10591",NA,"OTHER","Not_Parsed",2799
"84","ES492852","microarray experiment BAY_SUBJECT_000010 day 3","EXP10591",NA,"OTHER","Not_Parsed",2799
"85","ES492853","microarray experiment BAY_SUBJECT_000010 day 7","EXP10591",NA,"OTHER","Not_Parsed",2799
"86","ES492854","microarray experiment BAY_SUBJECT_000010 day 10","EXP10591",NA,"OTHER","Not_Parsed",2799
"87","ES492855","microarray experiment BAY_SUBJECT_000010 day 14","EXP10591",NA,"OTHER","Not_Parsed",2799
"88","ES492856","microarray experiment BAY_SUBJECT_000010 day 21","EXP10591",NA,"OTHER","Not_Parsed",2799
"89","ES492857","microarray experiment BAY_SUBJECT_000010 day 28","EXP10591",NA,"OTHER","Not_Parsed",2799
"90","ES492858","microarray experiment BAY_SUBJECT_000012 day -7","EXP10591",NA,"OTHER","Not_Parsed",2799
"91","ES492859","microarray experiment BAY_SUBJECT_000012 day 0","EXP10591",NA,"OTHER","Not_Parsed",2799
"92","ES492860","microarray experiment BAY_SUBJECT_000012 day 1","EXP10591",NA,"OTHER","Not_Parsed",2799
"93","ES492861","microarray experiment BAY_SUBJECT_000012 day 3","EXP10591",NA,"OTHER","Not_Parsed",2799
"94","ES492862","microarray experiment BAY_SUBJECT_000012 day 7","EXP10591",NA,"OTHER","Not_Parsed",2799
"95","ES492863","microarray experiment BAY_SUBJECT_000012 day 10","EXP10591",NA,"OTHER","Not_Parsed",2799
"96","ES492864","microarray experiment BAY_SUBJECT_000012 day 14","EXP10591",NA,"OTHER","Not_Parsed",2799
"97","ES492865","microarray experiment BAY_SUBJECT_000012 day 21","EXP10591",NA,"OTHER","Not_Parsed",2799
"98","ES492866","microarray experiment BAY_SUBJECT_000012 day 28","EXP10591",NA,"OTHER","Not_Parsed",2799
"99","ES492867","microarray experiment BAY_SUBJECT_000013 day -7","EXP10591",NA,"OTHER","Not_Parsed",2799
"100","ES492868","microarray experiment BAY_SUBJECT_000013 day 0","EXP10591",NA,"OTHER","Not_Parsed",2799
"101","ES492869","microarray experiment BAY_SUBJECT_000013 day 1","EXP10591",NA,"OTHER","Not_Parsed",2799
"102","ES492870","microarray experiment BAY_SUBJECT_000013 day 3","EXP10591",NA,"OTHER","Not_Parsed",2799
"103","ES492871","microarray experiment BAY_SUBJECT_000013 day 7","EXP10591",NA,"OTHER","Not_Parsed",2799
"104","ES492872","microarray experiment BAY_SUBJECT_000013 day 10","EXP10591",NA,"OTHER","Not_Parsed",2799
"105","ES492873","microarray experiment BAY_SUBJECT_000013 day 14","EXP10591",NA,"OTHER","Not_Parsed",2799
"106","ES492874","microarray experiment BAY_SUBJECT_000013 day 21","EXP10591",NA,"OTHER","Not_Parsed",2799
"107","ES492875","microarray experiment BAY_SUBJECT_000013 day 28","EXP10591",NA,"OTHER","Not_Parsed",2799
"108","ES492876","microarray experiment BAY_SUBJECT_000015 day -7","EXP10591",NA,"OTHER","Not_Parsed",2799
"109","ES492877","microarray experiment BAY_SUBJECT_000015 day 0","EXP10591",NA,"OTHER","Not_Parsed",2799
"110","ES492878","microarray experiment BAY_SUBJECT_000015 day 1","EXP10591",NA,"OTHER","Not_Parsed",2799
"111","ES492879","microarray experiment BAY_SUBJECT_000015 day 3","EXP10591",NA,"OTHER","Not_Parsed",2799
"112","ES492880","microarray experiment BAY_SUBJECT_000015 day 7","EXP10591",NA,"OTHER","Not_Parsed",2799
"113","ES492881","microarray experiment BAY_SUBJECT_000015 day 10","EXP10591",NA,"OTHER","Not_Parsed",2799
"114","ES492882","microarray experiment BAY_SUBJECT_000015 day 14","EXP10591",NA,"OTHER","Not_Parsed",2799
"115","ES492883","microarray experiment BAY_SUBJECT_000015 day 21","EXP10591",NA,"OTHER","Not_Parsed",2799
"116","ES492884","microarray experiment BAY_SUBJECT_000015 day 28","EXP10591",NA,"OTHER","Not_Parsed",2799
"117","ES492885","microarray experiment BAY_SUBJECT_000016 day -7","EXP10591",NA,"OTHER","Not_Parsed",2799
"118","ES492886","microarray experiment BAY_SUBJECT_000016 day 0","EXP10591",NA,"OTHER","Not_Parsed",2799
"119","ES492887","microarray experiment BAY_SUBJECT_000016 day 1","EXP10591",NA,"OTHER","Not_Parsed",2799
"120","ES492888","microarray experiment BAY_SUBJECT_000016 day 3","EXP10591",NA,"OTHER","Not_Parsed",2799
"121","ES492889","microarray experiment BAY_SUBJECT_000016 day 7","EXP10591",NA,"OTHER","Not_Parsed",2799
"122","ES492890","microarray experiment BAY_SUBJECT_000016 day 10","EXP10591",NA,"OTHER","Not_Parsed",2799
"123","ES492891","microarray experiment BAY_SUBJECT_000016 day 14","EXP10591",NA,"OTHER","Not_Parsed",2799
"124","ES492892","microarray experiment BAY_SUBJECT_000016 day 21","EXP10591",NA,"OTHER","Not_Parsed",2799
"125","ES492893","microarray experiment BAY_SUBJECT_000016 day 28","EXP10591",NA,"OTHER","Not_Parsed",2799
"126","ES492894","microarray experiment BAY_SUBJECT_000018 day -7","EXP10591",NA,"OTHER","Not_Parsed",2799
"127","ES492895","microarray experiment BAY_SUBJECT_000018 day 0","EXP10591",NA,"OTHER","Not_Parsed",2799
"128","ES492896","microarray experiment BAY_SUBJECT_000018 day 1","EXP10591",NA,"OTHER","Not_Parsed",2799
"129","ES492897","microarray experiment BAY_SUBJECT_000018 day 3","EXP10591",NA,"OTHER","Not_Parsed",2799
"130","ES492898","microarray experiment BAY_SUBJECT_000018 day 7","EXP10591",NA,"OTHER","Not_Parsed",2799
"131","ES492899","microarray experiment BAY_SUBJECT_000018 day 10","EXP10591",NA,"OTHER","Not_Parsed",2799
"132","ES492900","microarray experiment BAY_SUBJECT_000018 day 14","EXP10591",NA,"OTHER","Not_Parsed",2799
"133","ES492901","microarray experiment BAY_SUBJECT_000018 day 21","EXP10591",NA,"OTHER","Not_Parsed",2799
"134","ES492902","microarray experiment BAY_SUBJECT_000018 day 28","EXP10591",NA,"OTHER","Not_Parsed",2799
"135","ES492903","microarray experiment BAY_SUBJECT_000020 day -7","EXP10591",NA,"OTHER","Not_Parsed",2799
"136","ES492904","microarray experiment BAY_SUBJECT_000020 day 0","EXP10591",NA,"OTHER","Not_Parsed",2799
"137","ES492905","microarray experiment BAY_SUBJECT_000020 day 1","EXP10591",NA,"OTHER","Not_Parsed",2799
"138","ES492906","microarray experiment BAY_SUBJECT_000020 day 3","EXP10591",NA,"OTHER","Not_Parsed",2799
"139","ES492907","microarray experiment BAY_SUBJECT_000020 day 7","EXP10591",NA,"OTHER","Not_Parsed",2799
"140","ES492908","microarray experiment BAY_SUBJECT_000020 day 10","EXP10591",NA,"OTHER","Not_Parsed",2799
"141","ES492909","microarray experiment BAY_SUBJECT_000020 day 14","EXP10591",NA,"OTHER","Not_Parsed",2799
"142","ES492910","microarray experiment BAY_SUBJECT_000020 day 21","EXP10591",NA,"OTHER","Not_Parsed",2799
"143","ES492911","microarray experiment BAY_SUBJECT_000020 day 28","EXP10591",NA,"OTHER","Not_Parsed",2799
"144","ES492912","microarray experiment BAY_SUBJECT_000021 day -7","EXP10591",NA,"OTHER","Not_Parsed",2799
"145","ES492913","microarray experiment BAY_SUBJECT_000021 day 0","EXP10591",NA,"OTHER","Not_Parsed",2799
"146","ES492914","microarray experiment BAY_SUBJECT_000021 day 1","EXP10591",NA,"OTHER","Not_Parsed",2799
"147","ES492915","microarray experiment BAY_SUBJECT_000021 day 3","EXP10591",NA,"OTHER","Not_Parsed",2799
"148","ES492916","microarray experiment BAY_SUBJECT_000021 day 7","EXP10591",NA,"OTHER","Not_Parsed",2799
"149","ES492917","microarray experiment BAY_SUBJECT_000021 day 10","EXP10591",NA,"OTHER","Not_Parsed",2799
"150","ES492918","microarray experiment BAY_SUBJECT_000021 day 14","EXP10591",NA,"OTHER","Not_Parsed",2799
"151","ES492919","microarray experiment BAY_SUBJECT_000021 day 21","EXP10591",NA,"OTHER","Not_Parsed",2799
"152","ES492920","microarray experiment BAY_SUBJECT_000021 day 28","EXP10591",NA,"OTHER","Not_Parsed",2799
"153","ES492921","microarray experiment BAY_SUBJECT_000022 day -7","EXP10591",NA,"OTHER","Not_Parsed",2799
"154","ES492922","microarray experiment BAY_SUBJECT_000022 day 0","EXP10591",NA,"OTHER","Not_Parsed",2799
"155","ES492923","microarray experiment BAY_SUBJECT_000022 day 1","EXP10591",NA,"OTHER","Not_Parsed",2799
"156","ES492924","microarray experiment BAY_SUBJECT_000022 day 3","EXP10591",NA,"OTHER","Not_Parsed",2799
"157","ES492925","microarray experiment BAY_SUBJECT_000022 day 7","EXP10591",NA,"OTHER","Not_Parsed",2799
"158","ES492926","microarray experiment BAY_SUBJECT_000022 day 10","EXP10591",NA,"OTHER","Not_Parsed",2799
"159","ES492927","microarray experiment BAY_SUBJECT_000022 day 14","EXP10591",NA,"OTHER","Not_Parsed",2799
"160","ES492928","microarray experiment BAY_SUBJECT_000022 day 21","EXP10591",NA,"OTHER","Not_Parsed",2799
"161","ES492929","microarray experiment BAY_SUBJECT_000022 day 28","EXP10591",NA,"OTHER","Not_Parsed",2799
"162","ES492930","microarray experiment BAY_SUBJECT_000023 day -7","EXP10591",NA,"OTHER","Not_Parsed",2799
"163","ES492931","microarray experiment BAY_SUBJECT_000023 day 0","EXP10591",NA,"OTHER","Not_Parsed",2799
"164","ES492932","microarray experiment BAY_SUBJECT_000023 day 1","EXP10591",NA,"OTHER","Not_Parsed",2799
"165","ES492933","microarray experiment BAY_SUBJECT_000023 day 3","EXP10591",NA,"OTHER","Not_Parsed",2799
"166","ES492934","microarray experiment BAY_SUBJECT_000023 day 7","EXP10591",NA,"OTHER","Not_Parsed",2799
"167","ES492935","microarray experiment BAY_SUBJECT_000023 day 10","EXP10591",NA,"OTHER","Not_Parsed",2799
"168","ES492936","microarray experiment BAY_SUBJECT_000023 day 14","EXP10591",NA,"OTHER","Not_Parsed",2799
"169","ES492937","microarray experiment BAY_SUBJECT_000023 day 21","EXP10591",NA,"OTHER","Not_Parsed",2799
"170","ES492938","microarray experiment BAY_SUBJECT_000023 day 28","EXP10591",NA,"OTHER","Not_Parsed",2799
"171","ES492939","microarray experiment BAY_SUBJECT_000024 day -7","EXP10591",NA,"OTHER","Not_Parsed",2799
"172","ES492940","microarray experiment BAY_SUBJECT_000024 day 0","EXP10591",NA,"OTHER","Not_Parsed",2799
"173","ES492941","microarray experiment BAY_SUBJECT_000024 day 1","EXP10591",NA,"OTHER","Not_Parsed",2799
"174","ES492942","microarray experiment BAY_SUBJECT_000024 day 3","EXP10591",NA,"OTHER","Not_Parsed",2799
"175","ES492943","microarray experiment BAY_SUBJECT_000024 day 7","EXP10591",NA,"OTHER","Not_Parsed",2799
"176","ES492944","microarray experiment BAY_SUBJECT_000024 day 10","EXP10591",NA,"OTHER","Not_Parsed",2799
"177","ES492945","microarray experiment BAY_SUBJECT_000024 day 14","EXP10591",NA,"OTHER","Not_Parsed",2799
"178","ES492946","microarray experiment BAY_SUBJECT_000024 day 21","EXP10591",NA,"OTHER","Not_Parsed",2799
"179","ES492947","microarray experiment BAY_SUBJECT_000024 day 28","EXP10591",NA,"OTHER","Not_Parsed",2799
"180","ES492948","microarray experiment BAY_SUBJECT_000025 day -7","EXP10591",NA,"OTHER","Not_Parsed",2799
"181","ES492949","microarray experiment BAY_SUBJECT_000025 day 0","EXP10591",NA,"OTHER","Not_Parsed",2799
"182","ES492950","microarray experiment BAY_SUBJECT_000025 day 1","EXP10591",NA,"OTHER","Not_Parsed",2799
"183","ES492951","microarray experiment BAY_SUBJECT_000025 day 3","EXP10591",NA,"OTHER","Not_Parsed",2799
"184","ES492952","microarray experiment BAY_SUBJECT_000025 day 7","EXP10591",NA,"OTHER","Not_Parsed",2799
"185","ES492953","microarray experiment BAY_SUBJECT_000025 day 10","EXP10591",NA,"OTHER","Not_Parsed",2799
"186","ES492954","microarray experiment BAY_SUBJECT_000025 day 14","EXP10591",NA,"OTHER","Not_Parsed",2799
"187","ES492955","microarray experiment BAY_SUBJECT_000025 day 21","EXP10591",NA,"OTHER","Not_Parsed",2799
"188","ES492956","microarray experiment BAY_SUBJECT_000025 day 28","EXP10591",NA,"OTHER","Not_Parsed",2799
"189","ES492957","HAI experiment BAY_SUBJECT_000003 day 0","EXP10592",NA,"HAI","Parsed",2799
"190","ES492958","HAI experiment BAY_SUBJECT_000003 day 14","EXP10592",NA,"HAI","Parsed",2799
"191","ES492959","HAI experiment BAY_SUBJECT_000005 day 0","EXP10592",NA,"HAI","Parsed",2799
"192","ES492960","HAI experiment BAY_SUBJECT_000005 day 14","EXP10592",NA,"HAI","Parsed",2799
"193","ES492961","HAI experiment BAY_SUBJECT_000013 day 0","EXP10592",NA,"HAI","Parsed",2799
"194","ES492962","HAI experiment BAY_SUBJECT_000013 day 14","EXP10592",NA,"HAI","Parsed",2799
"195","ES492963","HAI experiment BAY_SUBJECT_000020 day 0","EXP10592",NA,"HAI","Parsed",2799
"196","ES492964","HAI experiment BAY_SUBJECT_000020 day 14","EXP10592",NA,"HAI","Parsed",2799
"197","ES492965","HAI experiment BAY_SUBJECT_000020 day 28","EXP10592",NA,"HAI","Parsed",2799
"198","ES492966","HAI experiment BAY_SUBJECT_000021 day 0","EXP10592",NA,"HAI","Parsed",2799
"199","ES492967","HAI experiment BAY_SUBJECT_000021 day 14","EXP10592",NA,"HAI","Parsed",2799
"200","ES492968","HAI experiment BAY_SUBJECT_000021 day 28","EXP10592",NA,"HAI","Parsed",2799
"201","ES492969","HAI experiment BAY_SUBJECT_000022 day 0","EXP10592",NA,"HAI","Parsed",2799
"202","ES492970","HAI experiment BAY_SUBJECT_000022 day 14","EXP10592",NA,"HAI","Parsed",2799
"203","ES492971","HAI experiment BAY_SUBJECT_000022 day 28","EXP10592",NA,"HAI","Parsed",2799
"204","ES492972","HAI experiment BAY_SUBJECT_000023 day 0","EXP10592",NA,"HAI","Parsed",2799
"205","ES492973","HAI experiment BAY_SUBJECT_000023 day 14","EXP10592",NA,"HAI","Parsed",2799
"206","ES492974","HAI experiment BAY_SUBJECT_000023 day 28","EXP10592",NA,"HAI","Parsed",2799
"207","ES492975","HAI experiment BAY_SUBJECT_000024 day 0","EXP10592",NA,"HAI","Parsed",2799
"208","ES492976","HAI experiment BAY_SUBJECT_000024 day 14","EXP10592",NA,"HAI","Parsed",2799
"209","ES492977","HAI experiment BAY_SUBJECT_000024 day 28","EXP10592",NA,"HAI","Parsed",2799
"210","ES492978","HAI experiment BAY_SUBJECT_000025 day 0","EXP10592",NA,"HAI","Parsed",2799
"211","ES492979","HAI experiment BAY_SUBJECT_000025 day 14","EXP10592",NA,"HAI","Parsed",2799
"212","ES492980","HAI experiment BAY_SUBJECT_000025 day 28","EXP10592",NA,"HAI","Parsed",2799
"213","ES717657","","EXP11773",NA,"VIRUS NEUTRALIZATION","Parsed",2799
"214","ES717658","","EXP11773",NA,"VIRUS NEUTRALIZATION","Parsed",2799
"215","ES717659","","EXP11773",NA,"VIRUS NEUTRALIZATION","Parsed",2799
"216","ES717660","","EXP11773",NA,"VIRUS NEUTRALIZATION","Parsed",2799
"217","ES717661","","EXP11773",NA,"VIRUS NEUTRALIZATION","Parsed",2799
"218","ES717662","","EXP11773",NA,"VIRUS NEUTRALIZATION","Parsed",2799
"219","ES717663","","EXP11773",NA,"VIRUS NEUTRALIZATION","Parsed",2799
"220","ES717664","","EXP11773",NA,"VIRUS NEUTRALIZATION","Parsed",2799
"221","ES717665","","EXP11773",NA,"VIRUS NEUTRALIZATION","Parsed",2799
"222","ES717666","","EXP11773",NA,"VIRUS NEUTRALIZATION","Parsed",2799
"223","ES717667","","EXP11773",NA,"VIRUS NEUTRALIZATION","Parsed",2799
"224","ES717668","","EXP11773",NA,"VIRUS NEUTRALIZATION","Parsed",2799
"225","ES717669","","EXP11773",NA,"VIRUS NEUTRALIZATION","Parsed",2799
"226","ES717670","","EXP11773",NA,"OTHER","Not_Parsed",2799
"227","ES717671","","EXP11773",NA,"VIRUS NEUTRALIZATION","Parsed",2799
"228","ES717672","","EXP11773",NA,"VIRUS NEUTRALIZATION","Parsed",2799
"229","ES717673","","EXP11773",NA,"OTHER","Not_Parsed",2799
"230","ES717674","","EXP11773",NA,"VIRUS NEUTRALIZATION","Parsed",2799
"231","ES717675","","EXP11773",NA,"VIRUS NEUTRALIZATION","Parsed",2799
"232","ES717676","","EXP11773",NA,"OTHER","Not_Parsed",2799
"233","ES717677","","EXP11773",NA,"VIRUS NEUTRALIZATION","Parsed",2799
"234","ES717678","","EXP11773",NA,"VIRUS NEUTRALIZATION","Parsed",2799
"235","ES717679","","EXP11773",NA,"OTHER","Not_Parsed",2799
"236","ES717680","","EXP11773",NA,"VIRUS NEUTRALIZATION","Parsed",2799
"237","ES717681","","EXP11773",NA,"VIRUS NEUTRALIZATION","Parsed",2799
"238","ES717682","","EXP11773",NA,"OTHER","Not_Parsed",2799
"239","ES717683","","EXP11773",NA,"VIRUS NEUTRALIZATION","Parsed",2799
"240","ES717684","","EXP11773",NA,"VIRUS NEUTRALIZATION","Parsed",2799
"241","ES717685","","EXP11773",NA,"OTHER","Not_Parsed",2799
"242","ES717686","","EXP11773",NA,"VIRUS NEUTRALIZATION","Parsed",2799
"243","ES717687","","EXP11773",NA,"VIRUS NEUTRALIZATION","Parsed",2799
"244","ES717688","","EXP11773",NA,"VIRUS NEUTRALIZATION","Parsed",2799
"245","ES717689","","EXP11773",NA,"VIRUS NEUTRALIZATION","Parsed",2799
"246","ES717690","","EXP11773",NA,"VIRUS NEUTRALIZATION","Parsed",2799
"247","ES717691","","EXP11773",NA,"VIRUS NEUTRALIZATION","Parsed",2799
"248","ES717692","","EXP11773",NA,"VIRUS NEUTRALIZATION","Parsed",2799
"249","ES717693","","EXP11773",NA,"VIRUS NEUTRALIZATION","Parsed",2799
"250","ES717694","","EXP11773",NA,"VIRUS NEUTRALIZATION","Parsed",2799
"251","ES717695","","EXP11773",NA,"VIRUS NEUTRALIZATION","Parsed",2799
"252","ES717696","","EXP11773",NA,"VIRUS NEUTRALIZATION","Parsed",2799
"253","ES717697","","EXP11773",NA,"VIRUS NEUTRALIZATION","Parsed",2799
"254","ES717698","","EXP11773",NA,"VIRUS NEUTRALIZATION","Parsed",2799
"255","ES717699","","EXP11773",NA,"OTHER","Not_Parsed",2799
"256","ES717700","","EXP11773",NA,"OTHER","Not_Parsed",2799
"257","ES717701","","EXP11773",NA,"OTHER","Not_Parsed",2799
"258","ES717702","","EXP11773",NA,"OTHER","Not_Parsed",2799
"259","ES717703","","EXP11773",NA,"OTHER","Not_Parsed",2799
"260","ES717704","","EXP11773",NA,"OTHER","Not_Parsed",2799
