"","EXPSAMPLE_ACCESSION","DESCRIPTION","EXPERIMENT_ACCESSION","NAME","RESULT_SCHEMA","UPLOAD_RESULT_STATUS","WORKSPACE_ID"
"1","ES1276792","","EXP29358",NA,"VIRUS NEUTRALIZATION","Parsed",2799
"2","ES1276793","","EXP29358",NA,"VIRUS NEUTRALIZATION","Parsed",2799
"3","ES1276794","","EXP29358",NA,"VIRUS NEUTRALIZATION","Parsed",2799
"4","ES1276795","","EXP29358",NA,"VIRUS NEUTRALIZATION","Parsed",2799
"5","ES1276796","","EXP29358",NA,"VIRUS NEUTRALIZATION","Parsed",2799
"6","ES1276797","","EXP29358",NA,"VIRUS NEUTRALIZATION","Parsed",2799
"7","ES1276798","","EXP29358",NA,"VIRUS NEUTRALIZATION","Parsed",2799
"8","ES1276799","","EXP29358",NA,"VIRUS NEUTRALIZATION","Parsed",2799
"9","ES1276800","","EXP29358",NA,"VIRUS NEUTRALIZATION","Parsed",2799
"10","ES1276801","","EXP29358",NA,"VIRUS NEUTRALIZATION","Parsed",2799
"11","ES1276802","","EXP29358",NA,"VIRUS NEUTRALIZATION","Parsed",2799
"12","ES1276803","","EXP29358",NA,"VIRUS NEUTRALIZATION","Parsed",2799
"13","ES1276804","","EXP29358",NA,"VIRUS NEUTRALIZATION","Parsed",2799
"14","ES1276805","","EXP29358",NA,"VIRUS NEUTRALIZATION","Parsed",2799
"15","ES1276806","","EXP29358",NA,"VIRUS NEUTRALIZATION","Parsed",2799
"16","ES1276807","","EXP29358",NA,"VIRUS NEUTRALIZATION","Parsed",2799
"17","ES1276808","","EXP29358",NA,"VIRUS NEUTRALIZATION","Parsed",2799
"18","ES1276809","","EXP29358",NA,"VIRUS NEUTRALIZATION","Parsed",2799
"19","ES1276810","","EXP29358",NA,"VIRUS NEUTRALIZATION","Parsed",2799
"20","ES1276811","","EXP29358",NA,"VIRUS NEUTRALIZATION","Parsed",2799
"21","ES1276812","","EXP29358",NA,"VIRUS NEUTRALIZATION","Parsed",2799
"22","ES1276813","","EXP29358",NA,"VIRUS NEUTRALIZATION","Parsed",2799
"23","ES1276814","","EXP29358",NA,"VIRUS NEUTRALIZATION","Parsed",2799
"24","ES1276815","","EXP29358",NA,"VIRUS NEUTRALIZATION","Parsed",2799
"25","ES1276816","","EXP29358",NA,"VIRUS NEUTRALIZATION","Parsed",2799
"26","ES1276817","","EXP29358",NA,"VIRUS NEUTRALIZATION","Parsed",2799
"27","ES1276818","","EXP29358",NA,"VIRUS NEUTRALIZATION","Parsed",2799
"28","ES492796","microarray experiment BAY_SUBJECT_000001 day -7","EXP10591",NA,"OTHER","Not_Parsed",2799
