"","NAME","DESCRIPTION","LINK"
"1","Metabolomics","Metabolites can be measured (identified, quantified or classified) mass spectrometry","https://en.wikipedia.org/wiki/Metabolomics"
"2","Proteomics","Protein mass spectrometry refers to the application of mass spectrometry to the study of proteins","https://en.wikipedia.org/wiki/Protein_mass_spectrometry"
