"","NAME","DESCRIPTION","LINK"
"1","HLA-A",NA,NA
"2","HLA-B",NA,NA
"3","HLA-C",NA,NA
"4","HLA-DPA1",NA,NA
"5","HLA-DPB1",NA,NA
"6","HLA-DQA1",NA,NA
"7","HLA-DQB1",NA,NA
"8","HLA-DRB1",NA,NA
"9","HLA-DRB3",NA,NA
"10","HLA-DRB4",NA,NA
"11","HLA-DRB5",NA,NA
