"","EXPERIMENT_ACCESSION","PROTOCOL_ACCESSION"
"1","EXP13594","PTL5804"
"2","EXP13595","PTL5805"
"3","EXP13596","PTL5806"
"4","EXP13597","PTL5806"
"5","EXP13728","PTL6850"
"6","EXP13885","PTL7222"
"7","EXP13885","PTL7223"
"8","EXP13885","PTL7224"
"9","EXP13885","PTL7225"
