"","BIOSAMPLE_ACCESSION","EXPSAMPLE_ACCESSION"
"142","BS712681","ES769761"
"143","BS712684","ES769762"
"144","BS712687","ES769763"
"145","BS712689","ES769764"
"146","BS712691","ES769765"
"147","BS712694","ES769766"
"148","BS712697","ES769767"
"149","BS712700","ES769768"
"150","BS712703","ES769769"
"151","BS712705","ES769770"
"152","BS712707","ES769771"
"153","BS712710","ES769772"
"154","BS712713","ES769773"
"155","BS712716","ES769774"
"156","BS712719","ES769775"
"157","BS712721","ES769776"
"158","BS712723","ES769777"
"159","BS712726","ES769778"
"160","BS712729","ES769779"
"161","BS712732","ES769780"
"162","BS712735","ES769781"
"163","BS712737","ES769782"
"164","BS712739","ES769783"
"165","BS712742","ES769784"
"166","BS712745","ES769785"
"167","BS712748","ES769786"
"168","BS712751","ES769787"
"169","BS712753","ES769788"
"170","BS712755","ES769789"
"171","BS712758","ES769790"
"172","BS712761","ES769791"
"173","BS712764","ES769792"
"174","BS712767","ES769793"
"175","BS712769","ES769794"
"176","BS712771","ES769795"
"177","BS712774","ES769796"
"178","BS712777","ES769797"
"179","BS712780","ES769798"
"180","BS712783","ES769799"
"181","BS712785","ES769800"
"182","BS712787","ES769801"
"183","BS712790","ES769802"
"184","BS712793","ES769803"
"185","BS712796","ES769804"
"186","BS712799","ES769805"
"187","BS712801","ES769806"
"188","BS712803","ES769807"
"189","BS712806","ES769808"
"190","BS712809","ES769809"
"191","BS712812","ES769810"
"192","BS712815","ES769811"
"193","BS712817","ES769812"
"194","BS712819","ES769813"
"195","BS712822","ES769814"
"196","BS712825","ES769815"
"197","BS712828","ES769816"
"198","BS712831","ES769817"
"199","BS712833","ES769818"
"200","BS712835","ES769819"
"201","BS712838","ES769820"
"202","BS712841","ES769821"
"203","BS712844","ES769822"
"204","BS712847","ES769823"
"205","BS712849","ES769824"
"206","BS712851","ES769825"
"207","BS712854","ES769826"
"208","BS712857","ES769827"
"209","BS712860","ES769828"
"210","BS712863","ES769829"
"211","BS712865","ES769830"
"212","BS712867","ES769831"
"213","BS712870","ES769832"
"214","BS712296","ES769833"
"215","BS712296","ES769834"
"216","BS712296","ES769835"
"217","BS712310","ES769836"
"218","BS712310","ES769837"
"219","BS712310","ES769838"
"220","BS712324","ES769839"
"221","BS712324","ES769840"
"222","BS712324","ES769841"
"223","BS712338","ES769842"
"224","BS712338","ES769843"
"225","BS712338","ES769844"
"226","BS712352","ES769845"
"227","BS712352","ES769846"
"228","BS712352","ES769847"
"229","BS712366","ES769848"
"230","BS712366","ES769849"
"231","BS712366","ES769850"
"232","BS712380","ES769851"
"233","BS712380","ES769852"
"234","BS712380","ES769853"
"235","BS712394","ES769854"
"236","BS712394","ES769855"
"237","BS712394","ES769856"
"238","BS712408","ES769857"
"239","BS712408","ES769858"
"240","BS712408","ES769859"
"241","BS712422","ES769860"
"242","BS712422","ES769861"
"243","BS712422","ES769862"
"244","BS712435","ES769863"
"245","BS712435","ES769864"
"246","BS712435","ES769865"
"247","BS712449","ES769866"
"248","BS712449","ES769867"
"249","BS712449","ES769868"
"250","BS712463","ES769869"
"251","BS712463","ES769870"
"252","BS712463","ES769871"
"253","BS712477","ES769872"
"254","BS712477","ES769873"
"255","BS712477","ES769874"
"256","BS712491","ES769875"
"257","BS712491","ES769876"
"258","BS712491","ES769877"
"259","BS712505","ES769878"
"260","BS712505","ES769879"
"261","BS712505","ES769880"
"262","BS712519","ES769881"
"263","BS712519","ES769882"
"264","BS712519","ES769883"
"265","BS712533","ES769884"
"266","BS712533","ES769885"
"267","BS712533","ES769886"
"268","BS712547","ES769887"
"269","BS712547","ES769888"
"270","BS712547","ES769889"
"271","BS712561","ES769890"
"272","BS712561","ES769891"
"273","BS712561","ES769892"
"274","BS712575","ES769893"
"275","BS712575","ES769894"
"276","BS712575","ES769895"
"277","BS712589","ES769896"
"278","BS712589","ES769897"
"279","BS712589","ES769898"
"280","BS712603","ES769899"
"281","BS712603","ES769900"
"282","BS712603","ES769901"
"283","BS712617","ES769902"
"284","BS712617","ES769903"
"285","BS712617","ES769904"
"286","BS712631","ES769905"
"287","BS712631","ES769906"
"288","BS712631","ES769907"
"289","BS712645","ES769908"
"290","BS712645","ES769909"
"291","BS712645","ES769910"
"292","BS712292","ES769911"
"293","BS712292","ES769912"
"294","BS712292","ES769913"
"295","BS712306","ES769914"
"296","BS712306","ES769915"
"297","BS712306","ES769916"
"298","BS712320","ES769917"
"299","BS712320","ES769918"
"300","BS712320","ES769919"
"301","BS712334","ES769920"
"302","BS712334","ES769921"
"303","BS712334","ES769922"
"304","BS712348","ES769923"
"305","BS712348","ES769924"
"306","BS712348","ES769925"
"307","BS712362","ES769926"
"308","BS712362","ES769927"
"309","BS712362","ES769928"
"310","BS712376","ES769929"
"311","BS712376","ES769930"
"312","BS712376","ES769931"
"313","BS712390","ES769932"
"314","BS712390","ES769933"
"315","BS712390","ES769934"
"316","BS712404","ES769935"
"317","BS712404","ES769936"
"318","BS712404","ES769937"
"319","BS712418","ES769938"
"320","BS712418","ES769939"
"321","BS712418","ES769940"
"322","BS712431","ES769941"
"323","BS712431","ES769942"
"324","BS712431","ES769943"
"325","BS712445","ES769944"
"326","BS712445","ES769945"
"327","BS712445","ES769946"
"328","BS712459","ES769947"
"329","BS712459","ES769948"
"330","BS712459","ES769949"
"331","BS712473","ES769950"
"332","BS712473","ES769951"
"333","BS712473","ES769952"
"334","BS712487","ES769953"
"335","BS712487","ES769954"
"336","BS712487","ES769955"
"337","BS712501","ES769956"
"338","BS712501","ES769957"
"339","BS712501","ES769958"
"340","BS712515","ES769959"
"341","BS712515","ES769960"
"342","BS712515","ES769961"
"343","BS712529","ES769962"
"344","BS712529","ES769963"
"345","BS712529","ES769964"
"346","BS712543","ES769965"
"347","BS712543","ES769966"
"348","BS712543","ES769967"
"349","BS712557","ES769968"
"350","BS712557","ES769969"
"351","BS712557","ES769970"
"352","BS712571","ES769971"
"353","BS712571","ES769972"
"354","BS712571","ES769973"
"355","BS712585","ES769974"
"356","BS712585","ES769975"
"357","BS712585","ES769976"
"358","BS712599","ES769977"
"359","BS712599","ES769978"
"360","BS712599","ES769979"
"361","BS712613","ES769980"
"362","BS712613","ES769981"
"363","BS712613","ES769982"
"364","BS712627","ES769983"
"365","BS712627","ES769984"
"366","BS712627","ES769985"
"367","BS712641","ES769986"
"368","BS712641","ES769987"
"369","BS712641","ES769988"
"370","BS712651","ES769989"
"371","BS712651","ES769990"
"372","BS712651","ES769991"
"373","BS712667","ES769992"
"374","BS712667","ES769993"
"375","BS712667","ES769994"
"376","BS712683","ES769995"
"377","BS712683","ES769996"
"378","BS712683","ES769997"
"379","BS712699","ES769998"
"380","BS712699","ES769999"
"381","BS712699","ES770000"
"382","BS712715","ES770001"
"383","BS712715","ES770002"
"384","BS712715","ES770003"
"385","BS712731","ES770004"
"386","BS712731","ES770005"
"387","BS712731","ES770006"
"388","BS712747","ES770007"
"389","BS712747","ES770008"
"390","BS712747","ES770009"
"391","BS712763","ES770010"
"392","BS712763","ES770011"
"393","BS712763","ES770012"
"394","BS712779","ES770013"
"395","BS712779","ES770014"
"396","BS712779","ES770015"
"397","BS712795","ES770016"
"398","BS712795","ES770017"
"399","BS712795","ES770018"
"400","BS712811","ES770019"
"401","BS712811","ES770020"
"402","BS712811","ES770021"
"403","BS712827","ES770022"
"404","BS712827","ES770023"
"405","BS712827","ES770024"
"406","BS712843","ES770025"
"407","BS712843","ES770026"
"408","BS712843","ES770027"
"409","BS712859","ES770028"
"410","BS712859","ES770029"
"411","BS712859","ES770030"
"412","BS712661","ES770031"
"413","BS712661","ES770032"
"414","BS712661","ES770033"
"415","BS712677","ES770034"
"416","BS712677","ES770035"
"417","BS712677","ES770036"
"418","BS712693","ES770037"
"419","BS712693","ES770038"
"420","BS712693","ES770039"
"421","BS712709","ES770040"
"422","BS712709","ES770041"
"423","BS712709","ES770042"
"424","BS712725","ES770043"
"425","BS712725","ES770044"
"426","BS712725","ES770045"
"427","BS712741","ES770046"
"428","BS712741","ES770047"
"429","BS712741","ES770048"
"430","BS712757","ES770049"
"431","BS712757","ES770050"
"432","BS712757","ES770051"
"433","BS712773","ES770052"
"434","BS712773","ES770053"
"435","BS712773","ES770054"
"436","BS712789","ES770055"
"437","BS712789","ES770056"
"438","BS712789","ES770057"
"439","BS712805","ES770058"
"440","BS712805","ES770059"
"441","BS712805","ES770060"
"442","BS712821","ES770061"
"443","BS712821","ES770062"
"444","BS712821","ES770063"
"445","BS712837","ES770064"
"446","BS712837","ES770065"
"447","BS712837","ES770066"
"448","BS712853","ES770067"
"449","BS712853","ES770068"
"450","BS712853","ES770069"
"451","BS712869","ES770070"
"452","BS712869","ES770071"
"453","BS712869","ES770072"
"454","BS712298","ES770553"
"455","BS712298","ES770554"
"456","BS712298","ES770555"
"457","BS712312","ES770556"
"458","BS712312","ES770557"
"459","BS712312","ES770558"
"460","BS712326","ES770559"
"461","BS712326","ES770560"
"462","BS712326","ES770561"
"463","BS712340","ES770562"
"464","BS712340","ES770563"
"465","BS712340","ES770564"
"466","BS712354","ES770565"
"467","BS712354","ES770566"
"468","BS712354","ES770567"
"469","BS712368","ES770568"
"470","BS712368","ES770569"
"471","BS712368","ES770570"
"472","BS712382","ES770571"
"473","BS712382","ES770572"
"474","BS712382","ES770573"
"475","BS712396","ES770574"
"476","BS712396","ES770575"
"477","BS712396","ES770576"
"478","BS712410","ES770577"
"479","BS712410","ES770578"
"480","BS712410","ES770579"
"481","BS712423","ES770580"
"482","BS712423","ES770581"
"483","BS712423","ES770582"
"484","BS712437","ES770583"
"485","BS712437","ES770584"
"486","BS712437","ES770585"
"487","BS712451","ES770586"
"488","BS712451","ES770587"
"489","BS712451","ES770588"
"490","BS712465","ES770589"
"491","BS712465","ES770590"
"492","BS712465","ES770591"
"493","BS712479","ES770592"
"494","BS712479","ES770593"
"495","BS712479","ES770594"
"496","BS712493","ES770595"
"497","BS712493","ES770596"
"498","BS712493","ES770597"
"499","BS712507","ES770598"
"500","BS712507","ES770599"
"501","BS712507","ES770600"
"502","BS712521","ES770601"
"503","BS712521","ES770602"
"504","BS712521","ES770603"
"505","BS712535","ES770604"
"506","BS712535","ES770605"
"507","BS712535","ES770606"
"508","BS712549","ES770607"
"509","BS712549","ES770608"
"510","BS712549","ES770609"
"511","BS712563","ES770610"
"512","BS712563","ES770611"
"513","BS712563","ES770612"
"514","BS712577","ES770613"
"515","BS712577","ES770614"
"516","BS712577","ES770615"
"517","BS712591","ES770616"
"518","BS712591","ES770617"
"519","BS712591","ES770618"
"520","BS712605","ES770619"
"521","BS712605","ES770620"
"522","BS712605","ES770621"
"523","BS712619","ES770622"
"524","BS712619","ES770623"
"525","BS712619","ES770624"
"526","BS712633","ES770625"
"527","BS712633","ES770626"
"528","BS712633","ES770627"
"529","BS712647","ES770628"
"530","BS712647","ES770629"
"531","BS712647","ES770630"
"532","BS712294","ES770631"
"533","BS712294","ES770632"
"534","BS712294","ES770633"
"535","BS712308","ES770634"
"536","BS712308","ES770635"
"537","BS712308","ES770636"
"538","BS712322","ES770637"
"539","BS712322","ES770638"
"540","BS712322","ES770639"
"541","BS712336","ES770640"
"542","BS712336","ES770641"
"543","BS712336","ES770642"
"544","BS712350","ES770643"
"545","BS712350","ES770644"
"546","BS712350","ES770645"
"547","BS712364","ES770646"
"548","BS712364","ES770647"
"549","BS712364","ES770648"
"550","BS712378","ES770649"
"551","BS712378","ES770650"
"552","BS712378","ES770651"
"553","BS712392","ES770652"
"554","BS712392","ES770653"
"555","BS712392","ES770654"
"556","BS712406","ES770655"
"557","BS712406","ES770656"
"558","BS712406","ES770657"
"559","BS712420","ES770658"
"560","BS712420","ES770659"
"561","BS712420","ES770660"
"562","BS712433","ES770661"
"563","BS712433","ES770662"
"564","BS712433","ES770663"
"565","BS712447","ES770664"
"566","BS712447","ES770665"
"567","BS712447","ES770666"
"568","BS712461","ES770667"
"569","BS712461","ES770668"
"570","BS712461","ES770669"
"571","BS712475","ES770670"
"572","BS712475","ES770671"
"573","BS712475","ES770672"
"574","BS712489","ES770673"
"575","BS712489","ES770674"
"576","BS712489","ES770675"
"577","BS712503","ES770676"
"578","BS712503","ES770677"
"579","BS712503","ES770678"
"580","BS712517","ES770679"
"581","BS712517","ES770680"
"582","BS712517","ES770681"
"583","BS712531","ES770682"
"584","BS712531","ES770683"
"585","BS712531","ES770684"
"586","BS712545","ES770685"
"587","BS712545","ES770686"
"588","BS712545","ES770687"
"589","BS712559","ES770688"
"590","BS712559","ES770689"
"591","BS712559","ES770690"
"592","BS712573","ES770691"
"593","BS712573","ES770692"
"594","BS712573","ES770693"
"595","BS712587","ES770694"
"596","BS712587","ES770695"
"597","BS712587","ES770696"
"598","BS712601","ES770697"
"599","BS712601","ES770698"
"600","BS712601","ES770699"
"601","BS712615","ES770700"
"602","BS712615","ES770701"
"603","BS712615","ES770702"
"604","BS712629","ES770703"
"605","BS712629","ES770704"
"606","BS712629","ES770705"
"607","BS712643","ES770706"
"608","BS712643","ES770707"
"609","BS712643","ES770708"
"610","BS712653","ES770709"
"611","BS712653","ES770710"
"612","BS712653","ES770711"
"613","BS712669","ES770712"
"614","BS712669","ES770713"
"615","BS712669","ES770714"
"616","BS712685","ES770715"
"617","BS712685","ES770716"
"618","BS712685","ES770717"
"619","BS712701","ES770718"
"620","BS712701","ES770719"
"621","BS712701","ES770720"
"622","BS712717","ES770721"
"623","BS712717","ES770722"
"624","BS712717","ES770723"
"625","BS712733","ES770724"
"626","BS712733","ES770725"
"627","BS712733","ES770726"
"628","BS712749","ES770727"
"629","BS712749","ES770728"
"630","BS712749","ES770729"
"631","BS712765","ES770730"
"632","BS712765","ES770731"
"633","BS712765","ES770732"
"634","BS712781","ES770733"
"635","BS712781","ES770734"
"636","BS712781","ES770735"
"637","BS712797","ES770736"
"638","BS712797","ES770737"
"639","BS712797","ES770738"
"640","BS712813","ES770739"
"641","BS712813","ES770740"
"642","BS712813","ES770741"
"643","BS712829","ES770742"
"644","BS712829","ES770743"
"645","BS712829","ES770744"
"646","BS712845","ES770745"
"647","BS712845","ES770746"
"648","BS712845","ES770747"
"649","BS712861","ES770748"
"650","BS712861","ES770749"
"651","BS712861","ES770750"
"652","BS712663","ES770751"
"653","BS712663","ES770752"
"654","BS712663","ES770753"
"655","BS712679","ES770754"
"656","BS712679","ES770755"
"657","BS712679","ES770756"
"658","BS712695","ES770757"
"659","BS712695","ES770758"
"660","BS712695","ES770759"
"661","BS712711","ES770760"
"662","BS712711","ES770761"
"663","BS712711","ES770762"
"664","BS712727","ES770763"
"665","BS712727","ES770764"
"666","BS712727","ES770765"
"667","BS712743","ES770766"
"668","BS712743","ES770767"
"669","BS712743","ES770768"
"670","BS712759","ES770769"
"671","BS712759","ES770770"
"672","BS712759","ES770771"
"673","BS712775","ES770772"
"674","BS712775","ES770773"
"675","BS712775","ES770774"
"676","BS712791","ES770775"
"677","BS712791","ES770776"
"678","BS712791","ES770777"
"679","BS712807","ES770778"
"680","BS712807","ES770779"
"681","BS712807","ES770780"
"682","BS712823","ES770781"
"683","BS712823","ES770782"
"684","BS712823","ES770783"
"685","BS712839","ES770784"
"686","BS712839","ES770785"
"687","BS712839","ES770786"
"688","BS712855","ES770787"
"689","BS712855","ES770788"
"690","BS712855","ES770789"
"691","BS712871","ES770790"
"692","BS712871","ES770791"
"693","BS712871","ES770792"
"694","BS720957","ES789718"
"695","BS720958","ES789719"
"696","BS720959","ES789720"
"697","BS720960","ES789721"
"698","BS720961","ES789722"
"699","BS720962","ES789723"
"700","BS720963","ES789724"
"701","BS720964","ES789725"
"702","BS720965","ES789726"
"703","BS720966","ES789727"
"704","BS720967","ES789728"
"705","BS720968","ES789729"
"706","BS720969","ES789730"
"707","BS720970","ES789731"
"708","BS720971","ES789732"
"709","BS720972","ES789733"
"710","BS720973","ES789734"
"711","BS720974","ES789735"
"712","BS720975","ES789736"
"713","BS720976","ES789737"
"714","BS720977","ES789738"
"715","BS720978","ES789739"
"716","BS720979","ES789740"
"717","BS720980","ES789741"
"718","BS720981","ES789742"
"719","BS720982","ES789743"
"720","BS720983","ES789744"
"721","BS720984","ES789745"
"722","BS720985","ES789746"
"723","BS720986","ES789747"
"724","BS720987","ES789748"
"725","BS720988","ES789749"
"726","BS720989","ES789750"
"727","BS720990","ES789751"
"728","BS720991","ES789752"
"729","BS720992","ES789753"
"730","BS720993","ES789754"
"731","BS720994","ES789755"
"732","BS720995","ES789756"
"733","BS720996","ES789757"
"734","BS720997","ES789758"
"735","BS720998","ES789759"
"736","BS720999","ES789760"
"737","BS721000","ES789761"
"738","BS721001","ES789762"
"739","BS721002","ES789763"
"740","BS721003","ES789764"
"741","BS721004","ES789765"
"742","BS721005","ES789766"
"743","BS721006","ES789767"
"744","BS721007","ES789768"
"745","BS721008","ES789769"
"746","BS721009","ES789770"
"747","BS721010","ES789771"
"748","BS721011","ES789772"
"749","BS721012","ES789773"
"750","BS721013","ES789774"
"751","BS721014","ES789775"
"752","BS721015","ES789776"
"753","BS721016","ES789777"
"754","BS721017","ES789778"
"755","BS721018","ES789779"
"756","BS721019","ES789780"
"757","BS721020","ES789781"
"758","BS721021","ES789782"
"759","BS721022","ES789783"
"760","BS721023","ES789784"
"761","BS721024","ES789785"
"762","BS721025","ES789786"
"763","BS721026","ES789787"
"764","BS721027","ES789788"
"765","BS721028","ES789789"
"766","BS721029","ES789790"
"767","BS721030","ES789791"
"768","BS721031","ES789792"
"769","BS721032","ES789793"
"770","BS721033","ES789794"
"771","BS721034","ES789795"
"772","BS721035","ES789796"
"773","BS721036","ES789797"
"774","BS721037","ES789798"
"775","BS721038","ES789799"
"776","BS721039","ES789800"
"777","BS721040","ES789801"
"778","BS721041","ES789802"
"779","BS721042","ES789803"
"780","BS721043","ES789804"
"781","BS721044","ES789805"
"782","BS721045","ES789806"
"783","BS721046","ES789807"
"784","BS721047","ES789808"
"785","BS721048","ES789809"
"786","BS721049","ES789810"
"787","BS721050","ES789811"
"788","BS721051","ES789812"
"789","BS721052","ES789813"
"790","BS721053","ES789814"
"791","BS721054","ES789815"
"792","BS721055","ES789816"
"793","BS721056","ES789817"
"794","BS721057","ES789818"
"795","BS721058","ES789819"
"796","BS721059","ES789820"
"797","BS721060","ES789821"
"798","BS721061","ES789822"
"799","BS721062","ES789823"
"800","BS721063","ES789824"
"801","BS721064","ES789825"
"802","BS712287","ES798660"
"803","BS712287","ES798661"
"804","BS712287","ES798662"
"805","BS712289","ES798663"
"806","BS712289","ES798664"
"807","BS712289","ES798665"
"808","BS712291","ES798666"
"809","BS712291","ES798667"
"810","BS712291","ES798668"
"811","BS712295","ES798669"
"812","BS712295","ES798670"
"813","BS712295","ES798671"
"814","BS712299","ES798672"
"815","BS712299","ES798673"
"816","BS712299","ES798674"
"817","BS712301","ES798675"
"818","BS712301","ES798676"
"819","BS712301","ES798677"
"820","BS712303","ES798678"
"821","BS712303","ES798679"
"822","BS712303","ES798680"
"823","BS712305","ES798681"
"824","BS712305","ES798682"
"825","BS712305","ES798683"
"826","BS712309","ES798684"
"827","BS712309","ES798685"
"828","BS712309","ES798686"
"829","BS712313","ES798687"
"830","BS712313","ES798688"
"831","BS712313","ES798689"
"832","BS712315","ES798690"
"833","BS712315","ES798691"
"834","BS712315","ES798692"
"835","BS712317","ES798693"
"836","BS712317","ES798694"
"837","BS712317","ES798695"
"838","BS712319","ES798696"
"839","BS712319","ES798697"
"840","BS712319","ES798698"
"841","BS712323","ES798699"
"842","BS712323","ES798700"
"843","BS712323","ES798701"
"844","BS712327","ES798702"
"845","BS712327","ES798703"
"846","BS712327","ES798704"
"847","BS712329","ES798705"
"848","BS712329","ES798706"
"849","BS712329","ES798707"
"850","BS712331","ES798708"
"851","BS712331","ES798709"
"852","BS712331","ES798710"
"853","BS712333","ES798711"
"854","BS712333","ES798712"
"855","BS712333","ES798713"
"856","BS712337","ES798714"
"857","BS712337","ES798715"
"858","BS712337","ES798716"
"859","BS712341","ES798717"
"860","BS712341","ES798718"
"861","BS712341","ES798719"
"862","BS712343","ES798720"
"863","BS712343","ES798721"
"864","BS712343","ES798722"
"865","BS712345","ES798723"
"866","BS712345","ES798724"
"867","BS712345","ES798725"
"868","BS712347","ES798726"
"869","BS712347","ES798727"
"870","BS712347","ES798728"
"871","BS712351","ES798729"
"872","BS712351","ES798730"
"873","BS712351","ES798731"
"874","BS712355","ES798732"
"875","BS712355","ES798733"
"876","BS712355","ES798734"
"877","BS712357","ES798735"
"878","BS712357","ES798736"
"879","BS712357","ES798737"
"880","BS712359","ES798738"
"881","BS712359","ES798739"
"882","BS712359","ES798740"
"883","BS712361","ES798741"
"884","BS712361","ES798742"
"885","BS712361","ES798743"
"886","BS712365","ES798744"
"887","BS712365","ES798745"
"888","BS712365","ES798746"
"889","BS712369","ES798747"
"890","BS712369","ES798748"
"891","BS712369","ES798749"
"892","BS712371","ES798750"
"893","BS712371","ES798751"
"894","BS712371","ES798752"
"895","BS712373","ES798753"
"896","BS712373","ES798754"
"897","BS712373","ES798755"
"898","BS712375","ES798756"
"899","BS712375","ES798757"
"900","BS712375","ES798758"
"901","BS712379","ES798759"
"902","BS712379","ES798760"
"903","BS712379","ES798761"
"904","BS712383","ES798762"
"905","BS712383","ES798763"
"906","BS712383","ES798764"
"907","BS712385","ES798765"
"908","BS712385","ES798766"
"909","BS712385","ES798767"
"910","BS712387","ES798768"
"911","BS712387","ES798769"
"912","BS712387","ES798770"
"913","BS712389","ES798771"
"914","BS712389","ES798772"
"915","BS712389","ES798773"
"916","BS712393","ES798774"
"917","BS712393","ES798775"
"918","BS712393","ES798776"
"919","BS712397","ES798777"
"920","BS712397","ES798778"
"921","BS712397","ES798779"
"922","BS712399","ES798780"
"923","BS712399","ES798781"
"924","BS712399","ES798782"
"925","BS712401","ES798783"
"926","BS712401","ES798784"
"927","BS712401","ES798785"
"928","BS712403","ES798786"
"929","BS712403","ES798787"
"930","BS712403","ES798788"
"931","BS712407","ES798789"
"932","BS712407","ES798790"
"933","BS712407","ES798791"
"934","BS712411","ES798792"
"935","BS712411","ES798793"
"936","BS712411","ES798794"
"937","BS712413","ES798795"
"938","BS712413","ES798796"
"939","BS712413","ES798797"
"940","BS712415","ES798798"
"941","BS712415","ES798799"
"942","BS712415","ES798800"
"943","BS712417","ES798801"
"944","BS712417","ES798802"
"945","BS712417","ES798803"
"946","BS712421","ES798804"
"947","BS712421","ES798805"
"948","BS712421","ES798806"
"949","BS712424","ES798807"
"950","BS712424","ES798808"
"951","BS712424","ES798809"
"952","BS712426","ES798810"
"953","BS712426","ES798811"
"954","BS712426","ES798812"
"955","BS712428","ES798813"
"956","BS712428","ES798814"
"957","BS712428","ES798815"
"958","BS712430","ES798816"
"959","BS712430","ES798817"
"960","BS712430","ES798818"
"961","BS712434","ES798819"
"962","BS712434","ES798820"
"963","BS712434","ES798821"
"964","BS712438","ES798822"
"965","BS712438","ES798823"
"966","BS712438","ES798824"
"967","BS712440","ES798825"
"968","BS712440","ES798826"
"969","BS712440","ES798827"
"970","BS712442","ES798828"
"971","BS712442","ES798829"
"972","BS712442","ES798830"
"973","BS712444","ES798831"
"974","BS712444","ES798832"
"975","BS712444","ES798833"
"976","BS712448","ES798834"
"977","BS712448","ES798835"
"978","BS712448","ES798836"
"979","BS712452","ES798837"
"980","BS712452","ES798838"
"981","BS712452","ES798839"
"982","BS712454","ES798840"
"983","BS712454","ES798841"
"984","BS712454","ES798842"
"985","BS712456","ES798843"
"986","BS712456","ES798844"
"987","BS712456","ES798845"
"988","BS712458","ES798846"
"989","BS712458","ES798847"
"990","BS712458","ES798848"
"991","BS712462","ES798849"
"992","BS712462","ES798850"
"993","BS712462","ES798851"
"994","BS712466","ES798852"
