"","BIOSAMPLE_ACCESSION","EXPSAMPLE_ACCESSION"
"1","BS712297","ES769620"
"2","BS712286","ES769621"
"3","BS712288","ES769622"
"4","BS712290","ES769623"
"5","BS712293","ES769624"
"6","BS712311","ES769625"
"7","BS712300","ES769626"
"8","BS712302","ES769627"
"9","BS712304","ES769628"
"10","BS712307","ES769629"
"11","BS712325","ES769630"
"12","BS712314","ES769631"
"13","BS712316","ES769632"
"14","BS712318","ES769633"
"15","BS712321","ES769634"
"16","BS712339","ES769635"
"17","BS712328","ES769636"
"18","BS712330","ES769637"
"19","BS712332","ES769638"
"20","BS712335","ES769639"
"21","BS712353","ES769640"
"22","BS712342","ES769641"
"23","BS712344","ES769642"
"24","BS712346","ES769643"
"25","BS712349","ES769644"
"26","BS712367","ES769645"
"27","BS712356","ES769646"
"28","BS712358","ES769647"
"29","BS712360","ES769648"
"30","BS712363","ES769649"
"31","BS712381","ES769650"
"32","BS712370","ES769651"
"33","BS712372","ES769652"
"34","BS712374","ES769653"
"35","BS712377","ES769654"
"36","BS712395","ES769655"
"37","BS712384","ES769656"
"38","BS712386","ES769657"
"39","BS712388","ES769658"
"40","BS712391","ES769659"
"41","BS712409","ES769660"
"42","BS712398","ES769661"
"43","BS712400","ES769662"
"44","BS712402","ES769663"
"45","BS712405","ES769664"
"46","BS712412","ES769665"
"47","BS712414","ES769666"
"48","BS712416","ES769667"
"49","BS712419","ES769668"
"50","BS712436","ES769669"
"51","BS712425","ES769670"
"52","BS712427","ES769671"
"53","BS712429","ES769672"
"54","BS712432","ES769673"
"55","BS712450","ES769674"
"56","BS712439","ES769675"
"57","BS712441","ES769676"
"58","BS712443","ES769677"
"59","BS712446","ES769678"
"60","BS712464","ES769679"
"61","BS712453","ES769680"
"62","BS712455","ES769681"
"63","BS712457","ES769682"
"64","BS712460","ES769683"
"65","BS712478","ES769684"
"66","BS712467","ES769685"
"67","BS712469","ES769686"
"68","BS712471","ES769687"
"69","BS712474","ES769688"
"70","BS712492","ES769689"
"71","BS712481","ES769690"
"72","BS712483","ES769691"
"73","BS712485","ES769692"
"74","BS712488","ES769693"
"75","BS712506","ES769694"
"76","BS712495","ES769695"
"77","BS712497","ES769696"
"78","BS712499","ES769697"
"79","BS712502","ES769698"
"80","BS712520","ES769699"
"81","BS712509","ES769700"
"82","BS712511","ES769701"
"83","BS712513","ES769702"
"84","BS712516","ES769703"
"85","BS712534","ES769704"
"86","BS712523","ES769705"
"87","BS712525","ES769706"
"88","BS712527","ES769707"
"89","BS712530","ES769708"
"90","BS712548","ES769709"
"91","BS712537","ES769710"
"92","BS712539","ES769711"
"93","BS712541","ES769712"
"94","BS712544","ES769713"
"95","BS712562","ES769714"
"96","BS712551","ES769715"
"97","BS712553","ES769716"
"98","BS712555","ES769717"
"99","BS712558","ES769718"
"100","BS712576","ES769719"
"101","BS712565","ES769720"
"102","BS712567","ES769721"
"103","BS712569","ES769722"
"104","BS712572","ES769723"
"105","BS712590","ES769724"
"106","BS712579","ES769725"
"107","BS712581","ES769726"
"108","BS712583","ES769727"
"109","BS712586","ES769728"
"110","BS712604","ES769729"
"111","BS712593","ES769730"
"112","BS712595","ES769731"
"113","BS712597","ES769732"
"114","BS712600","ES769733"
"115","BS712618","ES769734"
"116","BS712607","ES769735"
"117","BS712609","ES769736"
"118","BS712611","ES769737"
"119","BS712614","ES769738"
"120","BS712632","ES769739"
"121","BS712621","ES769740"
"122","BS712623","ES769741"
"123","BS712625","ES769742"
"124","BS712628","ES769743"
"125","BS712646","ES769744"
"126","BS712635","ES769745"
"127","BS712637","ES769746"
"128","BS712639","ES769747"
"129","BS712642","ES769748"
"130","BS712649","ES769749"
"131","BS712652","ES769750"
"132","BS712655","ES769751"
"133","BS712657","ES769752"
"134","BS712659","ES769753"
"135","BS712662","ES769754"
"136","BS712665","ES769755"
"137","BS712668","ES769756"
"138","BS712671","ES769757"
"139","BS712673","ES769758"
"140","BS712675","ES769759"
"141","BS712678","ES769760"
