"","EXPSAMPLE_ACCESSION","TREATMENT_ACCESSION"
"212","ES769831","TRT1105"
"213","ES769832","TRT1105"
"214","ES769833","TRT1105"
"215","ES769834","TRT1105"
"216","ES769835","TRT1105"
"217","ES769836","TRT1105"
"218","ES769837","TRT1105"
"219","ES769838","TRT1105"
"220","ES769839","TRT1105"
"221","ES769840","TRT1105"
"222","ES769841","TRT1105"
"223","ES769842","TRT1105"
"224","ES769843","TRT1105"
"225","ES769844","TRT1105"
"226","ES769845","TRT1105"
"227","ES769846","TRT1105"
"228","ES769847","TRT1105"
"229","ES769848","TRT1105"
"230","ES769849","TRT1105"
"231","ES769850","TRT1105"
"232","ES769851","TRT1105"
"233","ES769852","TRT1105"
"234","ES769853","TRT1105"
"235","ES769854","TRT1105"
"236","ES769855","TRT1105"
"237","ES769856","TRT1105"
"238","ES769857","TRT1105"
"239","ES769858","TRT1105"
"240","ES769859","TRT1105"
"241","ES769860","TRT1105"
"242","ES769861","TRT1105"
"243","ES769862","TRT1105"
"244","ES769863","TRT1105"
"245","ES769864","TRT1105"
"246","ES769865","TRT1105"
"247","ES769866","TRT1105"
"248","ES769867","TRT1105"
"249","ES769868","TRT1105"
"250","ES769869","TRT1105"
"251","ES769870","TRT1105"
"252","ES769871","TRT1105"
"253","ES769872","TRT1105"
"254","ES769873","TRT1105"
"255","ES769874","TRT1105"
"256","ES769875","TRT1105"
"257","ES769876","TRT1105"
"258","ES769877","TRT1105"
"259","ES769878","TRT1105"
"260","ES769879","TRT1105"
"261","ES769880","TRT1105"
"262","ES769881","TRT1105"
"263","ES769882","TRT1105"
"264","ES769883","TRT1105"
"265","ES769884","TRT1105"
"266","ES769885","TRT1105"
"267","ES769886","TRT1105"
"268","ES769887","TRT1105"
"269","ES769888","TRT1105"
"270","ES769889","TRT1105"
"271","ES769890","TRT1105"
"272","ES769891","TRT1105"
"273","ES769892","TRT1105"
"274","ES769893","TRT1105"
"275","ES769894","TRT1105"
"276","ES769895","TRT1105"
"277","ES769896","TRT1105"
"278","ES769897","TRT1105"
"279","ES769898","TRT1105"
"280","ES769899","TRT1105"
"281","ES769900","TRT1105"
"282","ES769901","TRT1105"
"283","ES769902","TRT1105"
"284","ES769903","TRT1105"
"285","ES769904","TRT1105"
"286","ES769905","TRT1105"
"287","ES769906","TRT1105"
"288","ES769907","TRT1105"
"289","ES769908","TRT1105"
"290","ES769909","TRT1105"
"291","ES769910","TRT1105"
"292","ES769911","TRT1105"
"293","ES769912","TRT1105"
"294","ES769913","TRT1105"
"295","ES769914","TRT1105"
"296","ES769915","TRT1105"
"297","ES769916","TRT1105"
"298","ES769917","TRT1105"
"299","ES769918","TRT1105"
"300","ES769919","TRT1105"
"301","ES769920","TRT1105"
"302","ES769921","TRT1105"
"303","ES769922","TRT1105"
"304","ES769923","TRT1105"
"305","ES769924","TRT1105"
"306","ES769925","TRT1105"
"307","ES769926","TRT1105"
"308","ES769927","TRT1105"
"309","ES769928","TRT1105"
"310","ES769929","TRT1105"
"311","ES769930","TRT1105"
"312","ES769931","TRT1105"
"313","ES769932","TRT1105"
"314","ES769933","TRT1105"
"315","ES769934","TRT1105"
"316","ES769935","TRT1105"
"317","ES769936","TRT1105"
"318","ES769937","TRT1105"
"319","ES769938","TRT1105"
"320","ES769939","TRT1105"
"321","ES769940","TRT1105"
"322","ES769941","TRT1105"
"323","ES769942","TRT1105"
"324","ES769943","TRT1105"
"325","ES769944","TRT1105"
"326","ES769945","TRT1105"
"327","ES769946","TRT1105"
"328","ES769947","TRT1105"
"329","ES769948","TRT1105"
"330","ES769949","TRT1105"
"331","ES769950","TRT1105"
"332","ES769951","TRT1105"
"333","ES769952","TRT1105"
"334","ES769953","TRT1105"
"335","ES769954","TRT1105"
"336","ES769955","TRT1105"
"337","ES769956","TRT1105"
"338","ES769957","TRT1105"
"339","ES769958","TRT1105"
"340","ES769959","TRT1105"
"341","ES769960","TRT1105"
"342","ES769961","TRT1105"
"343","ES769962","TRT1105"
"344","ES769963","TRT1105"
"345","ES769964","TRT1105"
"346","ES769965","TRT1105"
"347","ES769966","TRT1105"
"348","ES769967","TRT1105"
"349","ES769968","TRT1105"
"350","ES769969","TRT1105"
"351","ES769970","TRT1105"
"352","ES769971","TRT1105"
"353","ES769972","TRT1105"
"354","ES769973","TRT1105"
"355","ES769974","TRT1105"
"356","ES769975","TRT1105"
"357","ES769976","TRT1105"
"358","ES769977","TRT1105"
"359","ES769978","TRT1105"
"360","ES769979","TRT1105"
"361","ES769980","TRT1105"
"362","ES769981","TRT1105"
"363","ES769982","TRT1105"
"364","ES769983","TRT1105"
"365","ES769984","TRT1105"
"366","ES769985","TRT1105"
"367","ES769986","TRT1105"
"368","ES769987","TRT1105"
"369","ES769988","TRT1105"
"370","ES769989","TRT1105"
"371","ES769990","TRT1105"
"372","ES769991","TRT1105"
"373","ES769992","TRT1105"
"374","ES769993","TRT1105"
"375","ES769994","TRT1105"
"376","ES769995","TRT1105"
"377","ES769996","TRT1105"
"378","ES769997","TRT1105"
"379","ES769998","TRT1105"
"380","ES769999","TRT1105"
"381","ES770000","TRT1105"
"382","ES770001","TRT1105"
"383","ES770002","TRT1105"
"384","ES770003","TRT1105"
"385","ES770004","TRT1105"
"386","ES770005","TRT1105"
"387","ES770006","TRT1105"
"388","ES770007","TRT1105"
"389","ES770008","TRT1105"
"390","ES770009","TRT1105"
"391","ES770010","TRT1105"
"392","ES770011","TRT1105"
