"","EXPSAMPLE_ACCESSION","REAGENT_ACCESSION"
"232","ES769839","ESR11386"
"233","ES769839","ESR11482"
"234","ES769839","ESR11483"
"235","ES769840","ESR11386"
"236","ES769840","ESR11482"
"237","ES769840","ESR11483"
"238","ES769841","ESR11386"
"239","ES769841","ESR11482"
"240","ES769841","ESR11483"
"241","ES769842","ESR11386"
"242","ES769842","ESR11482"
"243","ES769842","ESR11483"
"244","ES769843","ESR11386"
"245","ES769843","ESR11482"
"246","ES769843","ESR11483"
"247","ES769844","ESR11386"
"248","ES769844","ESR11482"
"249","ES769844","ESR11483"
"250","ES769845","ESR11386"
"251","ES769845","ESR11482"
"252","ES769845","ESR11483"
"253","ES769846","ESR11386"
"254","ES769846","ESR11482"
"255","ES769846","ESR11483"
"256","ES769847","ESR11386"
"257","ES769847","ESR11482"
"258","ES769847","ESR11483"
"259","ES769848","ESR11386"
"260","ES769848","ESR11482"
"261","ES769848","ESR11483"
"262","ES769849","ESR11386"
"263","ES769849","ESR11482"
"264","ES769849","ESR11483"
"265","ES769850","ESR11386"
"266","ES769850","ESR11482"
"267","ES769850","ESR11483"
"268","ES769851","ESR11386"
"269","ES769851","ESR11482"
"270","ES769851","ESR11483"
"271","ES769852","ESR11386"
"272","ES769852","ESR11482"
"273","ES769852","ESR11483"
"274","ES769853","ESR11386"
"275","ES769853","ESR11482"
"276","ES769853","ESR11483"
"277","ES769854","ESR11386"
"278","ES769854","ESR11482"
"279","ES769854","ESR11483"
"280","ES769855","ESR11386"
"281","ES769855","ESR11482"
"282","ES769855","ESR11483"
"283","ES769856","ESR11386"
"284","ES769856","ESR11482"
"285","ES769856","ESR11483"
"286","ES769857","ESR11386"
"287","ES769857","ESR11482"
"288","ES769857","ESR11483"
"289","ES769858","ESR11386"
"290","ES769858","ESR11482"
"291","ES769858","ESR11483"
"292","ES769859","ESR11386"
"293","ES769859","ESR11482"
"294","ES769859","ESR11483"
"295","ES769860","ESR11386"
"296","ES769860","ESR11482"
"297","ES769860","ESR11483"
"298","ES769861","ESR11386"
"299","ES769861","ESR11482"
"300","ES769861","ESR11483"
"301","ES769862","ESR11386"
"302","ES769862","ESR11482"
"303","ES769862","ESR11483"
"304","ES769863","ESR11386"
"305","ES769863","ESR11482"
"306","ES769863","ESR11483"
"307","ES769864","ESR11386"
"308","ES769864","ESR11482"
"309","ES769864","ESR11483"
"310","ES769865","ESR11386"
"311","ES769865","ESR11482"
"312","ES769865","ESR11483"
"313","ES769866","ESR11386"
"314","ES769866","ESR11482"
"315","ES769866","ESR11483"
"316","ES769867","ESR11386"
"317","ES769867","ESR11482"
"318","ES769867","ESR11483"
"319","ES769868","ESR11386"
"320","ES769868","ESR11482"
"321","ES769868","ESR11483"
"322","ES769869","ESR11386"
"323","ES769869","ESR11482"
"324","ES769869","ESR11483"
"325","ES769870","ESR11386"
"326","ES769870","ESR11482"
"327","ES769870","ESR11483"
"328","ES769871","ESR11386"
"329","ES769871","ESR11482"
"330","ES769871","ESR11483"
"331","ES769872","ESR11386"
"332","ES769872","ESR11482"
"333","ES769872","ESR11483"
"334","ES769873","ESR11386"
"335","ES769873","ESR11482"
"336","ES769873","ESR11483"
"337","ES769874","ESR11386"
"338","ES769874","ESR11482"
"339","ES769874","ESR11483"
"340","ES769875","ESR11386"
"341","ES769875","ESR11482"
"342","ES769875","ESR11483"
"343","ES769876","ESR11386"
"344","ES769876","ESR11482"
"345","ES769876","ESR11483"
"346","ES769877","ESR11386"
"347","ES769877","ESR11482"
"348","ES769877","ESR11483"
"349","ES769878","ESR11386"
"350","ES769878","ESR11482"
"351","ES769878","ESR11483"
"352","ES769879","ESR11386"
"353","ES769879","ESR11482"
"354","ES769879","ESR11483"
"355","ES769880","ESR11386"
"356","ES769880","ESR11482"
"357","ES769880","ESR11483"
"358","ES769881","ESR11386"
"359","ES769881","ESR11482"
"360","ES769881","ESR11483"
"361","ES769882","ESR11386"
"362","ES769882","ESR11482"
"363","ES769882","ESR11483"
"364","ES769883","ESR11386"
"365","ES769883","ESR11482"
"366","ES769883","ESR11483"
"367","ES769884","ESR11386"
"368","ES769884","ESR11482"
"369","ES769884","ESR11483"
"370","ES769885","ESR11386"
"371","ES769885","ESR11482"
"372","ES769885","ESR11483"
"373","ES769886","ESR11386"
"374","ES769886","ESR11482"
"375","ES769886","ESR11483"
"376","ES769887","ESR11386"
"377","ES769887","ESR11482"
"378","ES769887","ESR11483"
"379","ES769888","ESR11386"
"380","ES769888","ESR11482"
"381","ES769888","ESR11483"
"382","ES769889","ESR11386"
"383","ES769889","ESR11482"
"384","ES769889","ESR11483"
"385","ES769890","ESR11386"
"386","ES769890","ESR11482"
"387","ES769890","ESR11483"
"388","ES769891","ESR11386"
"389","ES769891","ESR11482"
"390","ES769891","ESR11483"
"391","ES769892","ESR11386"
"392","ES769892","ESR11482"
"393","ES769892","ESR11483"
"394","ES769893","ESR11386"
"395","ES769893","ESR11482"
"396","ES769893","ESR11483"
"397","ES769894","ESR11386"
"398","ES769894","ESR11482"
"399","ES769894","ESR11483"
"400","ES769895","ESR11386"
"401","ES769895","ESR11482"
"402","ES769895","ESR11483"
"403","ES769896","ESR11386"
"404","ES769896","ESR11482"
"405","ES769896","ESR11483"
"406","ES769897","ESR11386"
"407","ES769897","ESR11482"
"408","ES769897","ESR11483"
"409","ES769898","ESR11386"
"410","ES769898","ESR11482"
"411","ES769898","ESR11483"
"412","ES769899","ESR11386"
"413","ES769899","ESR11482"
"414","ES769899","ESR11483"
"415","ES769900","ESR11386"
"416","ES769900","ESR11482"
"417","ES769900","ESR11483"
"418","ES769901","ESR11386"
"419","ES769901","ESR11482"
"420","ES769901","ESR11483"
"421","ES769902","ESR11386"
"422","ES769902","ESR11482"
"423","ES769902","ESR11483"
"424","ES769903","ESR11386"
"425","ES769903","ESR11482"
"426","ES769903","ESR11483"
"427","ES769904","ESR11386"
"428","ES769904","ESR11482"
"429","ES769904","ESR11483"
"430","ES769905","ESR11386"
"431","ES769905","ESR11482"
"432","ES769905","ESR11483"
"433","ES769906","ESR11386"
"434","ES769906","ESR11482"
"435","ES769906","ESR11483"
"436","ES769907","ESR11386"
"437","ES769907","ESR11482"
"438","ES769907","ESR11483"
"439","ES769908","ESR11386"
"440","ES769908","ESR11482"
"441","ES769908","ESR11483"
"442","ES769909","ESR11386"
"443","ES769909","ESR11482"
"444","ES769909","ESR11483"
"445","ES769910","ESR11386"
"446","ES769910","ESR11482"
"447","ES769910","ESR11483"
"448","ES769911","ESR11386"
"449","ES769911","ESR11482"
"450","ES769911","ESR11483"
"451","ES769912","ESR11386"
"452","ES769912","ESR11482"
"453","ES769912","ESR11483"
"454","ES769913","ESR11386"
"455","ES769913","ESR11482"
"456","ES769913","ESR11483"
"457","ES769914","ESR11386"
"458","ES769914","ESR11482"
"459","ES769914","ESR11483"
"460","ES769915","ESR11386"
"461","ES769915","ESR11482"
"462","ES769915","ESR11483"
"463","ES769916","ESR11386"
"464","ES769916","ESR11482"
"465","ES769916","ESR11483"
"466","ES769917","ESR11386"
"467","ES769917","ESR11482"
"468","ES769917","ESR11483"
"469","ES769918","ESR11386"
"470","ES769918","ESR11482"
"471","ES769918","ESR11483"
"472","ES769919","ESR11386"
"473","ES769919","ESR11482"
"474","ES769919","ESR11483"
"475","ES769920","ESR11386"
"476","ES769920","ESR11482"
"477","ES769920","ESR11483"
"478","ES769921","ESR11386"
"479","ES769921","ESR11482"
"480","ES769921","ESR11483"
"481","ES769922","ESR11386"
"482","ES769922","ESR11482"
"483","ES769922","ESR11483"
"484","ES769923","ESR11386"
"485","ES769923","ESR11482"
"486","ES769923","ESR11483"
"487","ES769924","ESR11386"
"488","ES769924","ESR11482"
"489","ES769924","ESR11483"
"490","ES769925","ESR11386"
"491","ES769925","ESR11482"
"492","ES769925","ESR11483"
"493","ES769926","ESR11386"
"494","ES769926","ESR11482"
"495","ES769926","ESR11483"
"496","ES769927","ESR11386"
"497","ES769927","ESR11482"
"498","ES769927","ESR11483"
"499","ES769928","ESR11386"
"500","ES769928","ESR11482"
"501","ES769928","ESR11483"
"502","ES769929","ESR11386"
"503","ES769929","ESR11482"
"504","ES769929","ESR11483"
"505","ES769930","ESR11386"
"506","ES769930","ESR11482"
"507","ES769930","ESR11483"
"508","ES769931","ESR11386"
"509","ES769931","ESR11482"
"510","ES769931","ESR11483"
"511","ES769932","ESR11386"
"512","ES769932","ESR11482"
"513","ES769932","ESR11483"
"514","ES769933","ESR11386"
"515","ES769933","ESR11482"
"516","ES769933","ESR11483"
"517","ES769934","ESR11386"
"518","ES769934","ESR11482"
"519","ES769934","ESR11483"
"520","ES769935","ESR11386"
"521","ES769935","ESR11482"
"522","ES769935","ESR11483"
"523","ES769936","ESR11386"
"524","ES769936","ESR11482"
"525","ES769936","ESR11483"
"526","ES769937","ESR11386"
"527","ES769937","ESR11482"
"528","ES769937","ESR11483"
"529","ES769938","ESR11386"
"530","ES769938","ESR11482"
"531","ES769938","ESR11483"
"532","ES769939","ESR11386"
"533","ES769939","ESR11482"
"534","ES769939","ESR11483"
"535","ES769940","ESR11386"
"536","ES769940","ESR11482"
"537","ES769940","ESR11483"
"538","ES769941","ESR11386"
"539","ES769941","ESR11482"
"540","ES769941","ESR11483"
"541","ES769942","ESR11386"
"542","ES769942","ESR11482"
"543","ES769942","ESR11483"
"544","ES769943","ESR11386"
"545","ES769943","ESR11482"
"546","ES769943","ESR11483"
"547","ES769944","ESR11386"
"548","ES769944","ESR11482"
"549","ES769944","ESR11483"
"550","ES769945","ESR11386"
"551","ES769945","ESR11482"
"552","ES769945","ESR11483"
"553","ES769946","ESR11386"
"554","ES769946","ESR11482"
"555","ES769946","ESR11483"
"556","ES769947","ESR11386"
"557","ES769947","ESR11482"
"558","ES769947","ESR11483"
"559","ES769948","ESR11386"
"560","ES769948","ESR11482"
"561","ES769948","ESR11483"
"562","ES769949","ESR11386"
"563","ES769949","ESR11482"
"564","ES769949","ESR11483"
"565","ES769950","ESR11386"
"566","ES769950","ESR11482"
"567","ES769950","ESR11483"
"568","ES769951","ESR11386"
"569","ES769951","ESR11482"
"570","ES769951","ESR11483"
"571","ES769952","ESR11386"
"572","ES769952","ESR11482"
"573","ES769952","ESR11483"
"574","ES769953","ESR11386"
"575","ES769953","ESR11482"
"576","ES769953","ESR11483"
"577","ES769954","ESR11386"
"578","ES769954","ESR11482"
"579","ES769954","ESR11483"
"580","ES769955","ESR11386"
"581","ES769955","ESR11482"
"582","ES769955","ESR11483"
"583","ES769956","ESR11386"
"584","ES769956","ESR11482"
"585","ES769956","ESR11483"
"586","ES769957","ESR11386"
"587","ES769957","ESR11482"
"588","ES769957","ESR11483"
"589","ES769958","ESR11386"
"590","ES769958","ESR11482"
"591","ES769958","ESR11483"
"592","ES769959","ESR11386"
"593","ES769959","ESR11482"
"594","ES769959","ESR11483"
"595","ES769960","ESR11386"
"596","ES769960","ESR11482"
"597","ES769960","ESR11483"
"598","ES769961","ESR11386"
"599","ES769961","ESR11482"
"600","ES769961","ESR11483"
"601","ES769962","ESR11386"
"602","ES769962","ESR11482"
"603","ES769962","ESR11483"
"604","ES769963","ESR11386"
"605","ES769963","ESR11482"
"606","ES769963","ESR11483"
"607","ES769964","ESR11386"
"608","ES769964","ESR11482"
"609","ES769964","ESR11483"
"610","ES769965","ESR11386"
"611","ES769965","ESR11482"
"612","ES769965","ESR11483"
"613","ES769966","ESR11386"
"614","ES769966","ESR11482"
"615","ES769966","ESR11483"
"616","ES769967","ESR11386"
"617","ES769967","ESR11482"
"618","ES769967","ESR11483"
"619","ES769968","ESR11386"
"620","ES769968","ESR11482"
"621","ES769968","ESR11483"
"622","ES769969","ESR11386"
"623","ES769969","ESR11482"
"624","ES769969","ESR11483"
"625","ES769970","ESR11386"
"626","ES769970","ESR11482"
"627","ES769970","ESR11483"
"628","ES769971","ESR11386"
"629","ES769971","ESR11482"
"630","ES769971","ESR11483"
"631","ES769972","ESR11386"
"632","ES769972","ESR11482"
"633","ES769972","ESR11483"
"634","ES769973","ESR11386"
"635","ES769973","ESR11482"
"636","ES769973","ESR11483"
"637","ES769974","ESR11386"
"638","ES769974","ESR11482"
"639","ES769974","ESR11483"
"640","ES769975","ESR11386"
"641","ES769975","ESR11482"
"642","ES769975","ESR11483"
"643","ES769976","ESR11386"
"644","ES769976","ESR11482"
"645","ES769976","ESR11483"
"646","ES769977","ESR11386"
"647","ES769977","ESR11482"
"648","ES769977","ESR11483"
"649","ES769978","ESR11386"
"650","ES769978","ESR11482"
"651","ES769978","ESR11483"
"652","ES769979","ESR11386"
"653","ES769979","ESR11482"
"654","ES769979","ESR11483"
"655","ES769980","ESR11386"
"656","ES769980","ESR11482"
"657","ES769980","ESR11483"
"658","ES769981","ESR11386"
"659","ES769981","ESR11482"
"660","ES769981","ESR11483"
"661","ES769982","ESR11386"
"662","ES769982","ESR11482"
"663","ES769982","ESR11483"
"664","ES769983","ESR11386"
"665","ES769983","ESR11482"
"666","ES769983","ESR11483"
"667","ES769984","ESR11386"
"668","ES769984","ESR11482"
"669","ES769984","ESR11483"
"670","ES769985","ESR11386"
"671","ES769985","ESR11482"
"672","ES769985","ESR11483"
"673","ES769986","ESR11386"
"674","ES769986","ESR11482"
"675","ES769986","ESR11483"
"676","ES769987","ESR11386"
"677","ES769987","ESR11482"
"678","ES769987","ESR11483"
"679","ES769988","ESR11386"
"680","ES769988","ESR11482"
"681","ES769988","ESR11483"
"682","ES769989","ESR11386"
"683","ES769989","ESR11482"
"684","ES769989","ESR11483"
"685","ES769990","ESR11386"
"686","ES769990","ESR11482"
"687","ES769990","ESR11483"
"688","ES769991","ESR11386"
"689","ES769991","ESR11482"
"690","ES769991","ESR11483"
"691","ES769992","ESR11386"
"692","ES769992","ESR11482"
"693","ES769992","ESR11483"
"694","ES769993","ESR11386"
"695","ES769993","ESR11482"
"696","ES769993","ESR11483"
"697","ES769994","ESR11386"
"698","ES769994","ESR11482"
"699","ES769994","ESR11483"
"700","ES769995","ESR11386"
"701","ES769995","ESR11482"
"702","ES769995","ESR11483"
"703","ES769996","ESR11386"
"704","ES769996","ESR11482"
"705","ES769996","ESR11483"
"706","ES769997","ESR11386"
"707","ES769997","ESR11482"
"708","ES769997","ESR11483"
"709","ES769998","ESR11386"
"710","ES769998","ESR11482"
"711","ES769998","ESR11483"
"712","ES769999","ESR11386"
"713","ES769999","ESR11482"
"714","ES769999","ESR11483"
"715","ES770000","ESR11386"
"716","ES770000","ESR11482"
"717","ES770000","ESR11483"
"718","ES770001","ESR11386"
"719","ES770001","ESR11482"
"720","ES770001","ESR11483"
"721","ES770002","ESR11386"
"722","ES770002","ESR11482"
"723","ES770002","ESR11483"
"724","ES770003","ESR11386"
"725","ES770003","ESR11482"
"726","ES770003","ESR11483"
"727","ES770004","ESR11386"
"728","ES770004","ESR11482"
"729","ES770004","ESR11483"
"730","ES770005","ESR11386"
"731","ES770005","ESR11482"
"732","ES770005","ESR11483"
"733","ES770006","ESR11386"
"734","ES770006","ESR11482"
"735","ES770006","ESR11483"
"736","ES770007","ESR11386"
"737","ES770007","ESR11482"
"738","ES770007","ESR11483"
"739","ES770008","ESR11386"
"740","ES770008","ESR11482"
"741","ES770008","ESR11483"
"742","ES770009","ESR11386"
"743","ES770009","ESR11482"
"744","ES770009","ESR11483"
"745","ES770010","ESR11386"
"746","ES770010","ESR11482"
"747","ES770010","ESR11483"
"748","ES770011","ESR11386"
"749","ES770011","ESR11482"
"750","ES770011","ESR11483"
"751","ES770012","ESR11386"
"752","ES770012","ESR11482"
"753","ES770012","ESR11483"
"754","ES770013","ESR11386"
"755","ES770013","ESR11482"
"756","ES770013","ESR11483"
"757","ES770014","ESR11386"
"758","ES770014","ESR11482"
"759","ES770014","ESR11483"
"760","ES770015","ESR11386"
"761","ES770015","ESR11482"
"762","ES770015","ESR11483"
"763","ES770016","ESR11386"
"764","ES770016","ESR11482"
"765","ES770016","ESR11483"
"766","ES770017","ESR11386"
"767","ES770017","ESR11482"
"768","ES770017","ESR11483"
"769","ES770018","ESR11386"
"770","ES770018","ESR11482"
"771","ES770018","ESR11483"
"772","ES770019","ESR11386"
"773","ES770019","ESR11482"
"774","ES770019","ESR11483"
"775","ES770020","ESR11386"
"776","ES770020","ESR11482"
"777","ES770020","ESR11483"
"778","ES770021","ESR11386"
"779","ES770021","ESR11482"
"780","ES770021","ESR11483"
"781","ES770022","ESR11386"
"782","ES770022","ESR11482"
"783","ES770022","ESR11483"
"784","ES770023","ESR11386"
"785","ES770023","ESR11482"
"786","ES770023","ESR11483"
"787","ES770024","ESR11386"
"788","ES770024","ESR11482"
"789","ES770024","ESR11483"
"790","ES770025","ESR11386"
"791","ES770025","ESR11482"
"792","ES770025","ESR11483"
"793","ES770026","ESR11386"
"794","ES770026","ESR11482"
"795","ES770026","ESR11483"
"796","ES770027","ESR11386"
"797","ES770027","ESR11482"
"798","ES770027","ESR11483"
"799","ES770028","ESR11386"
"800","ES770028","ESR11482"
"801","ES770028","ESR11483"
"802","ES770029","ESR11386"
"803","ES770029","ESR11482"
"804","ES770029","ESR11483"
"805","ES770030","ESR11386"
"806","ES770030","ESR11482"
"807","ES770030","ESR11483"
"808","ES770031","ESR11386"
"809","ES770031","ESR11482"
"810","ES770031","ESR11483"
"811","ES770032","ESR11386"
"812","ES770032","ESR11482"
"813","ES770032","ESR11483"
"814","ES770033","ESR11386"
"815","ES770033","ESR11482"
"816","ES770033","ESR11483"
"817","ES770034","ESR11386"
"818","ES770034","ESR11482"
"819","ES770034","ESR11483"
"820","ES770035","ESR11386"
"821","ES770035","ESR11482"
"822","ES770035","ESR11483"
"823","ES770036","ESR11386"
"824","ES770036","ESR11482"
"825","ES770036","ESR11483"
"826","ES770037","ESR11386"
"827","ES770037","ESR11482"
"828","ES770037","ESR11483"
"829","ES770038","ESR11386"
"830","ES770038","ESR11482"
"831","ES770038","ESR11483"
"832","ES770039","ESR11386"
"833","ES770039","ESR11482"
"834","ES770039","ESR11483"
"835","ES770040","ESR11386"
"836","ES770040","ESR11482"
"837","ES770040","ESR11483"
"838","ES770041","ESR11386"
"839","ES770041","ESR11482"
"840","ES770041","ESR11483"
"841","ES770042","ESR11386"
"842","ES770042","ESR11482"
"843","ES770042","ESR11483"
"844","ES770043","ESR11386"
"845","ES770043","ESR11482"
"846","ES770043","ESR11483"
"847","ES770044","ESR11386"
"848","ES770044","ESR11482"
"849","ES770044","ESR11483"
"850","ES770045","ESR11386"
"851","ES770045","ESR11482"
"852","ES770045","ESR11483"
"853","ES770046","ESR11386"
"854","ES770046","ESR11482"
"855","ES770046","ESR11483"
"856","ES770047","ESR11386"
"857","ES770047","ESR11482"
"858","ES770047","ESR11483"
"859","ES770048","ESR11386"
"860","ES770048","ESR11482"
"861","ES770048","ESR11483"
"862","ES770049","ESR11386"
"863","ES770049","ESR11482"
"864","ES770049","ESR11483"
"865","ES770050","ESR11386"
"866","ES770050","ESR11482"
"867","ES770050","ESR11483"
"868","ES770051","ESR11386"
"869","ES770051","ESR11482"
"870","ES770051","ESR11483"
"871","ES770052","ESR11386"
"872","ES770052","ESR11482"
"873","ES770052","ESR11483"
"874","ES770053","ESR11386"
"875","ES770053","ESR11482"
"876","ES770053","ESR11483"
"877","ES770054","ESR11386"
"878","ES770054","ESR11482"
"879","ES770054","ESR11483"
"880","ES770055","ESR11386"
"881","ES770055","ESR11482"
"882","ES770055","ESR11483"
"883","ES770056","ESR11386"
"884","ES770056","ESR11482"
"885","ES770056","ESR11483"
"886","ES770057","ESR11386"
"887","ES770057","ESR11482"
"888","ES770057","ESR11483"
"889","ES770058","ESR11386"
"890","ES770058","ESR11482"
"891","ES770058","ESR11483"
"892","ES770059","ESR11386"
"893","ES770059","ESR11482"
"894","ES770059","ESR11483"
"895","ES770060","ESR11386"
"896","ES770060","ESR11482"
"897","ES770060","ESR11483"
"898","ES770061","ESR11386"
"899","ES770061","ESR11482"
"900","ES770061","ESR11483"
"901","ES770062","ESR11386"
"902","ES770062","ESR11482"
"903","ES770062","ESR11483"
"904","ES770063","ESR11386"
"905","ES770063","ESR11482"
"906","ES770063","ESR11483"
"907","ES770064","ESR11386"
"908","ES770064","ESR11482"
"909","ES770064","ESR11483"
"910","ES770065","ESR11386"
"911","ES770065","ESR11482"
"912","ES770065","ESR11483"
"913","ES770066","ESR11386"
"914","ES770066","ESR11482"
"915","ES770066","ESR11483"
"916","ES770067","ESR11386"
"917","ES770067","ESR11482"
"918","ES770067","ESR11483"
"919","ES770068","ESR11386"
"920","ES770068","ESR11482"
"921","ES770068","ESR11483"
"922","ES770069","ESR11386"
"923","ES770069","ESR11482"
"924","ES770069","ESR11483"
"925","ES770070","ESR11386"
"926","ES770070","ESR11482"
"927","ES770070","ESR11483"
"928","ES770071","ESR11386"
