"","EXPSAMPLE_ACCESSION","REAGENT_ACCESSION"
"1","ES769620","ESR11481"
"2","ES769621","ESR11481"
"3","ES769622","ESR11481"
"4","ES769623","ESR11481"
"5","ES769624","ESR11481"
"6","ES769625","ESR11481"
"7","ES769626","ESR11481"
"8","ES769627","ESR11481"
"9","ES769628","ESR11481"
"10","ES769629","ESR11481"
"11","ES769630","ESR11481"
"12","ES769631","ESR11481"
"13","ES769632","ESR11481"
"14","ES769633","ESR11481"
"15","ES769634","ESR11481"
"16","ES769635","ESR11481"
"17","ES769636","ESR11481"
"18","ES769637","ESR11481"
"19","ES769638","ESR11481"
"20","ES769639","ESR11481"
"21","ES769640","ESR11481"
"22","ES769641","ESR11481"
"23","ES769642","ESR11481"
"24","ES769643","ESR11481"
"25","ES769644","ESR11481"
"26","ES769645","ESR11481"
"27","ES769646","ESR11481"
"28","ES769647","ESR11481"
"29","ES769648","ESR11481"
"30","ES769649","ESR11481"
"31","ES769650","ESR11481"
"32","ES769651","ESR11481"
"33","ES769652","ESR11481"
"34","ES769653","ESR11481"
"35","ES769654","ESR11481"
"36","ES769655","ESR11481"
"37","ES769656","ESR11481"
"38","ES769657","ESR11481"
"39","ES769658","ESR11481"
"40","ES769659","ESR11481"
"41","ES769660","ESR11481"
"42","ES769661","ESR11481"
"43","ES769662","ESR11481"
"44","ES769663","ESR11481"
"45","ES769664","ESR11481"
"46","ES769665","ESR11481"
"47","ES769666","ESR11481"
"48","ES769667","ESR11481"
"49","ES769668","ESR11481"
"50","ES769669","ESR11481"
"51","ES769670","ESR11481"
"52","ES769671","ESR11481"
"53","ES769672","ESR11481"
"54","ES769673","ESR11481"
"55","ES769674","ESR11481"
"56","ES769675","ESR11481"
"57","ES769676","ESR11481"
"58","ES769677","ESR11481"
"59","ES769678","ESR11481"
"60","ES769679","ESR11481"
"61","ES769680","ESR11481"
"62","ES769681","ESR11481"
"63","ES769682","ESR11481"
"64","ES769683","ESR11481"
"65","ES769684","ESR11481"
"66","ES769685","ESR11481"
"67","ES769686","ESR11481"
"68","ES769687","ESR11481"
"69","ES769688","ESR11481"
"70","ES769689","ESR11481"
"71","ES769690","ESR11481"
"72","ES769691","ESR11481"
"73","ES769692","ESR11481"
"74","ES769693","ESR11481"
"75","ES769694","ESR11481"
"76","ES769695","ESR11481"
"77","ES769696","ESR11481"
"78","ES769697","ESR11481"
"79","ES769698","ESR11481"
"80","ES769699","ESR11481"
"81","ES769700","ESR11481"
"82","ES769701","ESR11481"
"83","ES769702","ESR11481"
"84","ES769703","ESR11481"
"85","ES769704","ESR11481"
"86","ES769705","ESR11481"
"87","ES769706","ESR11481"
"88","ES769707","ESR11481"
"89","ES769708","ESR11481"
"90","ES769709","ESR11481"
"91","ES769710","ESR11481"
"92","ES769711","ESR11481"
"93","ES769712","ESR11481"
"94","ES769713","ESR11481"
"95","ES769714","ESR11481"
"96","ES769715","ESR11481"
"97","ES769716","ESR11481"
"98","ES769717","ESR11481"
"99","ES769718","ESR11481"
"100","ES769719","ESR11481"
"101","ES769720","ESR11481"
"102","ES769721","ESR11481"
"103","ES769722","ESR11481"
"104","ES769723","ESR11481"
"105","ES769724","ESR11481"
"106","ES769725","ESR11481"
"107","ES769726","ESR11481"
"108","ES769727","ESR11481"
"109","ES769728","ESR11481"
"110","ES769729","ESR11481"
"111","ES769730","ESR11481"
"112","ES769731","ESR11481"
"113","ES769732","ESR11481"
"114","ES769733","ESR11481"
"115","ES769734","ESR11481"
"116","ES769735","ESR11481"
"117","ES769736","ESR11481"
"118","ES769737","ESR11481"
"119","ES769738","ESR11481"
"120","ES769739","ESR11481"
"121","ES769740","ESR11481"
"122","ES769741","ESR11481"
"123","ES769742","ESR11481"
"124","ES769743","ESR11481"
"125","ES769744","ESR11481"
"126","ES769745","ESR11481"
"127","ES769746","ESR11481"
"128","ES769747","ESR11481"
"129","ES769748","ESR11481"
"130","ES769749","ESR11481"
"131","ES769750","ESR11481"
"132","ES769751","ESR11481"
"133","ES769752","ESR11481"
"134","ES769753","ESR11481"
"135","ES769754","ESR11481"
"136","ES769755","ESR11481"
"137","ES769756","ESR11481"
"138","ES769757","ESR11481"
"139","ES769758","ESR11481"
"140","ES769759","ESR11481"
"141","ES769760","ESR11481"
"142","ES769761","ESR11481"
"143","ES769762","ESR11481"
"144","ES769763","ESR11481"
"145","ES769764","ESR11481"
"146","ES769765","ESR11481"
"147","ES769766","ESR11481"
"148","ES769767","ESR11481"
"149","ES769768","ESR11481"
"150","ES769769","ESR11481"
"151","ES769770","ESR11481"
"152","ES769771","ESR11481"
"153","ES769772","ESR11481"
"154","ES769773","ESR11481"
"155","ES769774","ESR11481"
"156","ES769775","ESR11481"
"157","ES769776","ESR11481"
"158","ES769777","ESR11481"
"159","ES769778","ESR11481"
"160","ES769779","ESR11481"
"161","ES769780","ESR11481"
"162","ES769781","ESR11481"
"163","ES769782","ESR11481"
"164","ES769783","ESR11481"
"165","ES769784","ESR11481"
"166","ES769785","ESR11481"
"167","ES769786","ESR11481"
"168","ES769787","ESR11481"
"169","ES769788","ESR11481"
"170","ES769789","ESR11481"
"171","ES769790","ESR11481"
"172","ES769791","ESR11481"
"173","ES769792","ESR11481"
"174","ES769793","ESR11481"
"175","ES769794","ESR11481"
"176","ES769795","ESR11481"
"177","ES769796","ESR11481"
"178","ES769797","ESR11481"
"179","ES769798","ESR11481"
"180","ES769799","ESR11481"
"181","ES769800","ESR11481"
"182","ES769801","ESR11481"
"183","ES769802","ESR11481"
"184","ES769803","ESR11481"
"185","ES769804","ESR11481"
"186","ES769805","ESR11481"
"187","ES769806","ESR11481"
"188","ES769807","ESR11481"
"189","ES769808","ESR11481"
"190","ES769809","ESR11481"
"191","ES769810","ESR11481"
"192","ES769811","ESR11481"
"193","ES769812","ESR11481"
"194","ES769813","ESR11481"
"195","ES769814","ESR11481"
"196","ES769815","ESR11481"
"197","ES769816","ESR11481"
"198","ES769817","ESR11481"
"199","ES769818","ESR11481"
"200","ES769819","ESR11481"
"201","ES769820","ESR11481"
"202","ES769821","ESR11481"
"203","ES769822","ESR11481"
"204","ES769823","ESR11481"
"205","ES769824","ESR11481"
"206","ES769825","ESR11481"
"207","ES769826","ESR11481"
"208","ES769827","ESR11481"
"209","ES769828","ESR11481"
"210","ES769829","ESR11481"
"211","ES769830","ESR11481"
"212","ES769831","ESR11481"
"213","ES769832","ESR11481"
"214","ES769833","ESR11386"
"215","ES769833","ESR11482"
"216","ES769833","ESR11483"
"217","ES769834","ESR11386"
"218","ES769834","ESR11482"
"219","ES769834","ESR11483"
"220","ES769835","ESR11386"
"221","ES769835","ESR11482"
"222","ES769835","ESR11483"
"223","ES769836","ESR11386"
"224","ES769836","ESR11482"
"225","ES769836","ESR11483"
"226","ES769837","ESR11386"
"227","ES769837","ESR11482"
"228","ES769837","ESR11483"
"229","ES769838","ESR11386"
"230","ES769838","ESR11482"
"231","ES769838","ESR11483"
