"","EXPSAMPLE_ACCESSION","DESCRIPTION","EXPERIMENT_ACCESSION","NAME","RESULT_SCHEMA","UPLOAD_RESULT_STATUS","WORKSPACE_ID"
"1","ES769620",NA,"EXP13595",NA,"OTHER","Not_Parsed",2799
"2","ES769621",NA,"EXP13595",NA,"OTHER","Not_Parsed",2799
"3","ES769622",NA,"EXP13595",NA,"OTHER","Not_Parsed",2799
"4","ES769623",NA,"EXP13595",NA,"OTHER","Not_Parsed",2799
"5","ES769624",NA,"EXP13595",NA,"OTHER","Not_Parsed",2799
"6","ES769625",NA,"EXP13595",NA,"OTHER","Not_Parsed",2799
"7","ES769626",NA,"EXP13595",NA,"OTHER","Not_Parsed",2799
"8","ES769627",NA,"EXP13595",NA,"OTHER","Not_Parsed",2799
"9","ES769628",NA,"EXP13595",NA,"OTHER","Not_Parsed",2799
"10","ES769629",NA,"EXP13595",NA,"OTHER","Not_Parsed",2799
"11","ES769630",NA,"EXP13595",NA,"OTHER","Not_Parsed",2799
"12","ES769631",NA,"EXP13595",NA,"OTHER","Not_Parsed",2799
"13","ES769632",NA,"EXP13595",NA,"OTHER","Not_Parsed",2799
"14","ES769633",NA,"EXP13595",NA,"OTHER","Not_Parsed",2799
"15","ES769634",NA,"EXP13595",NA,"OTHER","Not_Parsed",2799
"16","ES769635",NA,"EXP13595",NA,"OTHER","Not_Parsed",2799
"17","ES769636",NA,"EXP13595",NA,"OTHER","Not_Parsed",2799
"18","ES769637",NA,"EXP13595",NA,"OTHER","Not_Parsed",2799
"19","ES769638",NA,"EXP13595",NA,"OTHER","Not_Parsed",2799
"20","ES769639",NA,"EXP13595",NA,"OTHER","Not_Parsed",2799
"21","ES769640",NA,"EXP13595",NA,"OTHER","Not_Parsed",2799
"22","ES769641",NA,"EXP13595",NA,"OTHER","Not_Parsed",2799
"23","ES769642",NA,"EXP13595",NA,"OTHER","Not_Parsed",2799
"24","ES769643",NA,"EXP13595",NA,"OTHER","Not_Parsed",2799
"25","ES769644",NA,"EXP13595",NA,"OTHER","Not_Parsed",2799
"26","ES769645",NA,"EXP13595",NA,"OTHER","Not_Parsed",2799
"27","ES769646",NA,"EXP13595",NA,"OTHER","Not_Parsed",2799
"28","ES769647",NA,"EXP13595",NA,"OTHER","Not_Parsed",2799
"29","ES769648",NA,"EXP13595",NA,"OTHER","Not_Parsed",2799
"30","ES769649",NA,"EXP13595",NA,"OTHER","Not_Parsed",2799
"31","ES769650",NA,"EXP13595",NA,"OTHER","Not_Parsed",2799
"32","ES769651",NA,"EXP13595",NA,"OTHER","Not_Parsed",2799
"33","ES769652",NA,"EXP13595",NA,"OTHER","Not_Parsed",2799
"34","ES769653",NA,"EXP13595",NA,"OTHER","Not_Parsed",2799
"35","ES769654",NA,"EXP13595",NA,"OTHER","Not_Parsed",2799
"36","ES769655",NA,"EXP13595",NA,"OTHER","Not_Parsed",2799
"37","ES769656",NA,"EXP13595",NA,"OTHER","Not_Parsed",2799
"38","ES769657",NA,"EXP13595",NA,"OTHER","Not_Parsed",2799
"39","ES769658",NA,"EXP13595",NA,"OTHER","Not_Parsed",2799
"40","ES769659",NA,"EXP13595",NA,"OTHER","Not_Parsed",2799
"41","ES769660",NA,"EXP13595",NA,"OTHER","Not_Parsed",2799
"42","ES769661",NA,"EXP13595",NA,"OTHER","Not_Parsed",2799
"43","ES769662",NA,"EXP13595",NA,"OTHER","Not_Parsed",2799
"44","ES769663",NA,"EXP13595",NA,"OTHER","Not_Parsed",2799
"45","ES769664",NA,"EXP13595",NA,"OTHER","Not_Parsed",2799
"46","ES769665",NA,"EXP13595",NA,"OTHER","Not_Parsed",2799
"47","ES769666",NA,"EXP13595",NA,"OTHER","Not_Parsed",2799
"48","ES769667",NA,"EXP13595",NA,"OTHER","Not_Parsed",2799
"49","ES769668",NA,"EXP13595",NA,"OTHER","Not_Parsed",2799
"50","ES769669",NA,"EXP13595",NA,"OTHER","Not_Parsed",2799
"51","ES769670",NA,"EXP13595",NA,"OTHER","Not_Parsed",2799
"52","ES769671",NA,"EXP13595",NA,"OTHER","Not_Parsed",2799
"53","ES769672",NA,"EXP13595",NA,"OTHER","Not_Parsed",2799
"54","ES769673",NA,"EXP13595",NA,"OTHER","Not_Parsed",2799
"55","ES769674",NA,"EXP13595",NA,"OTHER","Not_Parsed",2799
"56","ES769675",NA,"EXP13595",NA,"OTHER","Not_Parsed",2799
"57","ES769676",NA,"EXP13595",NA,"OTHER","Not_Parsed",2799
"58","ES769677",NA,"EXP13595",NA,"OTHER","Not_Parsed",2799
"59","ES769678",NA,"EXP13595",NA,"OTHER","Not_Parsed",2799
"60","ES769679",NA,"EXP13595",NA,"OTHER","Not_Parsed",2799
"61","ES769680",NA,"EXP13595",NA,"OTHER","Not_Parsed",2799
"62","ES769681",NA,"EXP13595",NA,"OTHER","Not_Parsed",2799
"63","ES769682",NA,"EXP13595",NA,"OTHER","Not_Parsed",2799
"64","ES769683",NA,"EXP13595",NA,"OTHER","Not_Parsed",2799
"65","ES769684",NA,"EXP13595",NA,"OTHER","Not_Parsed",2799
"66","ES769685",NA,"EXP13595",NA,"OTHER","Not_Parsed",2799
"67","ES769686",NA,"EXP13595",NA,"OTHER","Not_Parsed",2799
"68","ES769687",NA,"EXP13595",NA,"OTHER","Not_Parsed",2799
"69","ES769688",NA,"EXP13595",NA,"OTHER","Not_Parsed",2799
"70","ES769689",NA,"EXP13595",NA,"OTHER","Not_Parsed",2799
"71","ES769690",NA,"EXP13595",NA,"OTHER","Not_Parsed",2799
"72","ES769691",NA,"EXP13595",NA,"OTHER","Not_Parsed",2799
"73","ES769692",NA,"EXP13595",NA,"OTHER","Not_Parsed",2799
"74","ES769693",NA,"EXP13595",NA,"OTHER","Not_Parsed",2799
"75","ES769694",NA,"EXP13595",NA,"OTHER","Not_Parsed",2799
"76","ES769695",NA,"EXP13595",NA,"OTHER","Not_Parsed",2799
"77","ES769696",NA,"EXP13595",NA,"OTHER","Not_Parsed",2799
"78","ES769697",NA,"EXP13595",NA,"OTHER","Not_Parsed",2799
"79","ES769698",NA,"EXP13595",NA,"OTHER","Not_Parsed",2799
"80","ES769699",NA,"EXP13595",NA,"OTHER","Not_Parsed",2799
"81","ES769700",NA,"EXP13595",NA,"OTHER","Not_Parsed",2799
