"","PLANNED_VISIT_ACCESSION","END_RULE","MAX_START_DAY","MIN_START_DAY","NAME","ORDER_NUMBER","START_RULE","STUDY_ACCESSION","WORKSPACE_ID"
"1","PV2888",NA,-1,-7,"AIRFV 2012-13 V1",1,NA,"SDY301",2799
"2","PV2889",NA,0,0,"AIRFV 2012-13 V2",2,NA,"SDY301",2799
"3","PV2890",NA,1,1,"AIRFV 2012-13 V3",3,NA,"SDY301",2799
"4","PV2891",NA,3,3,"AIRFV 2012-13 V4",4,NA,"SDY301",2799
"5","PV2892",NA,7,7,"AIRFV 2012-13 V5",5,NA,"SDY301",2799
"6","PV2893",NA,28,28,"AIRFV 2012-13 V6",6,NA,"SDY301",2799
"7","PV2894",NA,120,120,"AIRFV 2012-13 V7",7,NA,"SDY301",2799
"8","PV2895",NA,240,240,"AIRFV 2012-13 V8",8,NA,"SDY301",2799
