"","EXPSAMPLE_ACCESSION","TREATMENT_ACCESSION"
"1","ES768711","TRT1105"
"2","ES768712","TRT1105"
"3","ES768713","TRT1105"
"4","ES768714","TRT1105"
"5","ES768715","TRT1105"
"6","ES768716","TRT1105"
"7","ES768717","TRT1105"
"8","ES768718","TRT1105"
"9","ES768719","TRT1105"
"10","ES768720","TRT1105"
"11","ES768721","TRT1105"
"12","ES768722","TRT1105"
"13","ES768723","TRT1105"
"14","ES768724","TRT1105"
"15","ES768725","TRT1105"
"16","ES768726","TRT1105"
"17","ES768727","TRT1105"
"18","ES768728","TRT1105"
"19","ES768729","TRT1105"
"20","ES768730","TRT1105"
"21","ES768731","TRT1105"
"22","ES768732","TRT1105"
"23","ES768733","TRT1105"
"24","ES768734","TRT1105"
"25","ES768735","TRT1105"
"26","ES768736","TRT1105"
"27","ES768737","TRT1105"
"28","ES768738","TRT1105"
"29","ES768739","TRT1105"
"30","ES768740","TRT1105"
"31","ES768741","TRT1105"
"32","ES768742","TRT1105"
"33","ES768743","TRT1105"
"34","ES768744","TRT1105"
"35","ES768745","TRT1105"
"36","ES768746","TRT1105"
"37","ES768747","TRT1105"
"38","ES768748","TRT1105"
"39","ES768749","TRT1105"
"40","ES768750","TRT1105"
"41","ES768751","TRT1105"
"42","ES768752","TRT1105"
"43","ES768753","TRT1105"
"44","ES768754","TRT1105"
"45","ES768755","TRT1105"
"46","ES768756","TRT1105"
"47","ES768757","TRT1105"
"48","ES768758","TRT1105"
"49","ES768759","TRT1105"
"50","ES768760","TRT1105"
"51","ES768761","TRT1105"
"52","ES768762","TRT1105"
"53","ES768763","TRT1105"
"54","ES768764","TRT1105"
"55","ES768765","TRT1105"
"56","ES768766","TRT1105"
"57","ES768767","TRT1105"
"58","ES768768","TRT1105"
"59","ES768769","TRT1105"
"60","ES768770","TRT1105"
"61","ES768771","TRT1105"
"62","ES768772","TRT1105"
"63","ES768773","TRT1105"
"64","ES768774","TRT1105"
"65","ES768775","TRT1105"
"66","ES768776","TRT1105"
"67","ES768777","TRT1105"
"68","ES768778","TRT1105"
"69","ES768779","TRT1105"
"70","ES768780","TRT1105"
"71","ES768781","TRT1105"
"72","ES768782","TRT1105"
"73","ES768783","TRT1105"
"74","ES768784","TRT1105"
"75","ES768785","TRT1105"
"76","ES768786","TRT1105"
"77","ES768787","TRT1105"
"78","ES768788","TRT1105"
"79","ES768789","TRT1105"
"80","ES768790","TRT1105"
"81","ES768791","TRT1105"
"82","ES768792","TRT1105"
"83","ES768793","TRT1105"
"84","ES768794","TRT1105"
"85","ES768795","TRT1105"
"86","ES768796","TRT1105"
"87","ES768797","TRT1105"
"88","ES768798","TRT1105"
"89","ES768799","TRT1105"
"90","ES768800","TRT1105"
"91","ES768801","TRT1105"
"92","ES768802","TRT1105"
"93","ES768803","TRT1105"
"94","ES768804","TRT1105"
