"","PLANNED_VISIT_ACCESSION","END_RULE","MAX_START_DAY","MIN_START_DAY","NAME","ORDER_NUMBER","START_RULE","STUDY_ACCESSION","WORKSPACE_ID"
"1","PV2855",NA,-1,-7,"V1",1,NA,"SDY296",2799
"2","PV2856",NA,0,0,"V2",2,NA,"SDY296",2799
"3","PV2857",NA,1,1,"V3",3,NA,"SDY296",2799
"4","PV2858",NA,3,3,"V4",4,NA,"SDY296",2799
"5","PV2859",NA,7,7,"V5",5,NA,"SDY296",2799
"6","PV2860",NA,28,28,"V6",6,NA,"SDY296",2799
"7","PV2861",NA,120,120,"V7",7,NA,"SDY296",2799
"8","PV2862",NA,240,240,"V8",8,NA,"SDY296",2799
