"","BIOSAMPLE_ACCESSION","EXPSAMPLE_ACCESSION"
"557","BS709424","ES785849"
"558","BS709424","ES785850"
"559","BS709424","ES785851"
"560","BS709424","ES785852"
"561","BS709424","ES785853"
"562","BS709424","ES785854"
"563","BS709426","ES785855"
"564","BS709426","ES785856"
"565","BS709426","ES785857"
"566","BS709428","ES785858"
"567","BS709428","ES785859"
"568","BS709428","ES785860"
"569","BS709432","ES785861"
"570","BS709432","ES785862"
"571","BS709432","ES785863"
"572","BS709434","ES785864"
"573","BS709434","ES785865"
"574","BS709434","ES785866"
"575","BS709436","ES785867"
"576","BS709436","ES785868"
"577","BS709436","ES785869"
"578","BS709438","ES785870"
"579","BS709438","ES785871"
"580","BS709438","ES785872"
"581","BS709442","ES785873"
"582","BS709442","ES785874"
"583","BS709442","ES785875"
"584","BS709444","ES785876"
"585","BS709444","ES785877"
"586","BS709444","ES785878"
"587","BS709446","ES785879"
"588","BS709446","ES785880"
"589","BS709446","ES785881"
"590","BS709448","ES785882"
"591","BS709448","ES785883"
"592","BS709448","ES785884"
"593","BS709452","ES785885"
"594","BS709452","ES785886"
"595","BS709452","ES785887"
"596","BS709454","ES785888"
"597","BS709454","ES785889"
"598","BS709454","ES785890"
"599","BS709456","ES785891"
"600","BS709456","ES785892"
"601","BS709456","ES785893"
"602","BS709458","ES785894"
"603","BS709458","ES785895"
"604","BS709458","ES785896"
"605","BS709462","ES785897"
"606","BS709462","ES785898"
"607","BS709462","ES785899"
"608","BS709464","ES785900"
"609","BS709464","ES785901"
"610","BS709464","ES785902"
"611","BS709466","ES785903"
"612","BS709466","ES785904"
"613","BS709466","ES785905"
"614","BS709468","ES785906"
"615","BS709468","ES785907"
"616","BS709468","ES785908"
"617","BS709472","ES785909"
"618","BS709472","ES785910"
"619","BS709472","ES785911"
"620","BS709474","ES785912"
"621","BS709474","ES785913"
"622","BS709474","ES785914"
"623","BS709476","ES785915"
"624","BS709476","ES785916"
"625","BS709476","ES785917"
"626","BS709478","ES785918"
"627","BS709478","ES785919"
"628","BS709478","ES785920"
"629","BS709482","ES785921"
"630","BS709482","ES785922"
"631","BS709482","ES785923"
"632","BS709484","ES785924"
"633","BS709484","ES785925"
"634","BS709484","ES785926"
"635","BS709486","ES785927"
"636","BS709486","ES785928"
"637","BS709486","ES785929"
"638","BS709488","ES785930"
"639","BS709488","ES785931"
"640","BS709488","ES785932"
"641","BS709492","ES785933"
"642","BS709492","ES785934"
"643","BS709492","ES785935"
"644","BS709494","ES785936"
"645","BS709494","ES785937"
"646","BS709494","ES785938"
"647","BS709496","ES785939"
"648","BS709496","ES785940"
"649","BS709496","ES785941"
"650","BS709498","ES785942"
"651","BS709498","ES785943"
"652","BS709498","ES785944"
"653","BS709502","ES785945"
"654","BS709502","ES785946"
"655","BS709502","ES785947"
"656","BS709504","ES785948"
"657","BS709504","ES785949"
"658","BS709504","ES785950"
"659","BS709508","ES785951"
"660","BS709508","ES785952"
"661","BS709508","ES785953"
"662","BS709510","ES785954"
"663","BS709510","ES785955"
"664","BS709510","ES785956"
"665","BS709512","ES785957"
"666","BS709512","ES785958"
"667","BS709512","ES785959"
"668","BS709514","ES785960"
"669","BS709514","ES785961"
"670","BS709514","ES785962"
"671","BS709518","ES785963"
"672","BS709518","ES785964"
"673","BS709518","ES785965"
"674","BS709520","ES785966"
"675","BS709520","ES785967"
"676","BS709520","ES785968"
"677","BS709522","ES785969"
"678","BS709522","ES785970"
"679","BS709522","ES785971"
"680","BS709524","ES785972"
"681","BS709524","ES785973"
"682","BS709524","ES785974"
"683","BS709528","ES785975"
"684","BS709528","ES785976"
"685","BS709528","ES785977"
"686","BS709530","ES785978"
"687","BS709530","ES785979"
"688","BS709530","ES785980"
"689","BS709532","ES785981"
"690","BS709532","ES785982"
"691","BS709532","ES785983"
"692","BS709534","ES785984"
"693","BS709534","ES785985"
"694","BS709534","ES785986"
"695","BS709538","ES785987"
"696","BS709538","ES785988"
"697","BS709538","ES785989"
"698","BS709540","ES785990"
"699","BS709540","ES785991"
"700","BS709540","ES785992"
"701","BS709542","ES785993"
"702","BS709542","ES785994"
"703","BS709542","ES785995"
"704","BS709544","ES785996"
"705","BS709544","ES785997"
"706","BS709544","ES785998"
"707","BS709548","ES785999"
"708","BS709548","ES786000"
"709","BS709548","ES786001"
"710","BS709550","ES786002"
"711","BS709550","ES786003"
"712","BS709550","ES786004"
"713","BS709552","ES786005"
"714","BS709552","ES786006"
"715","BS709552","ES786007"
"716","BS709554","ES786008"
"717","BS709554","ES786009"
"718","BS709554","ES786010"
"719","BS709558","ES786011"
"720","BS709558","ES786012"
"721","BS709558","ES786013"
"722","BS709560","ES786014"
"723","BS709560","ES786015"
"724","BS709560","ES786016"
"725","BS709562","ES786017"
"726","BS709562","ES786018"
"727","BS709562","ES786019"
"728","BS709564","ES786020"
"729","BS709564","ES786021"
"730","BS709564","ES786022"
"731","BS709568","ES786023"
"732","BS709568","ES786024"
"733","BS709568","ES786025"
"734","BS709570","ES786026"
"735","BS709570","ES786027"
"736","BS709570","ES786028"
"737","BS709572","ES786029"
"738","BS709572","ES786030"
"739","BS709572","ES786031"
"740","BS709574","ES786032"
"741","BS709574","ES786033"
"742","BS709574","ES786034"
"743","BS709578","ES786035"
"744","BS709578","ES786036"
"745","BS709578","ES786037"
"746","BS709580","ES786038"
"747","BS709580","ES786039"
"748","BS709580","ES786040"
"749","BS709582","ES786041"
"750","BS709582","ES786042"
"751","BS709582","ES786043"
"752","BS709584","ES786044"
"753","BS709584","ES786045"
"754","BS709584","ES786046"
"755","BS709588","ES786047"
"756","BS709588","ES786048"
"757","BS709588","ES786049"
"758","BS709590","ES786050"
"759","BS709590","ES786051"
"760","BS709590","ES786052"
"761","BS709592","ES786053"
"762","BS709592","ES786054"
"763","BS709592","ES786055"
"764","BS709594","ES786056"
"765","BS709594","ES786057"
"766","BS709594","ES786058"
"767","BS709598","ES786059"
"768","BS709598","ES786060"
"769","BS709598","ES786061"
"770","BS709600","ES786062"
"771","BS709600","ES786068"
"772","BS709600","ES786069"
"773","BS709602","ES786070"
"774","BS709602","ES786071"
"775","BS709602","ES786072"
"776","BS709606","ES786073"
"777","BS709606","ES786074"
"778","BS709606","ES786075"
"779","BS709608","ES786076"
"780","BS709608","ES786077"
"781","BS709608","ES786078"
"782","BS709610","ES786079"
"783","BS709610","ES786080"
"784","BS709610","ES786081"
"785","BS709612","ES786082"
"786","BS709612","ES786083"
"787","BS709612","ES786084"
"788","BS709616","ES786085"
"789","BS709616","ES786086"
"790","BS709616","ES786087"
"791","BS709618","ES786088"
"792","BS709618","ES786089"
"793","BS709618","ES786090"
"794","BS709620","ES786091"
"795","BS709620","ES786092"
"796","BS709620","ES786093"
"797","BS709622","ES786094"
"798","BS709622","ES786095"
"799","BS709622","ES786096"
"800","BS709626","ES786097"
"801","BS709626","ES786098"
"802","BS709626","ES786099"
"803","BS709628","ES786100"
"804","BS709628","ES786101"
"805","BS709628","ES786102"
"806","BS709630","ES786103"
"807","BS709630","ES786104"
"808","BS709630","ES786105"
"809","BS709632","ES786106"
"810","BS709632","ES786107"
"811","BS709632","ES786108"
"812","BS709636","ES786109"
"813","BS709636","ES786110"
"814","BS709636","ES786111"
"815","BS709638","ES786112"
"816","BS709638","ES786113"
"817","BS709638","ES786114"
"818","BS709640","ES786115"
"819","BS709640","ES786116"
"820","BS709640","ES786117"
"821","BS709642","ES786118"
"822","BS709642","ES786119"
"823","BS709642","ES786120"
"824","BS709646","ES786121"
"825","BS709646","ES786122"
"826","BS709646","ES786123"
"827","BS709648","ES786124"
"828","BS709648","ES786125"
"829","BS709648","ES786126"
"830","BS709650","ES786127"
"831","BS709650","ES786128"
"832","BS709650","ES786129"
"833","BS709652","ES786130"
"834","BS709652","ES786131"
"835","BS709652","ES786132"
"836","BS709656","ES786133"
"837","BS709656","ES786134"
"838","BS709656","ES786135"
"839","BS709658","ES786136"
"840","BS709658","ES786137"
"841","BS709658","ES786138"
"842","BS709660","ES786139"
"843","BS709660","ES786140"
