"","BIOSAMPLE_ACCESSION","EXPSAMPLE_ACCESSION"
"1237","BS709986","ES786602"
"1238","BS709990","ES786603"
"1239","BS709990","ES786604"
"1240","BS709990","ES786605"
"1241","BS709992","ES786606"
"1242","BS709992","ES786607"
"1243","BS709992","ES786608"
"1244","BS709994","ES786609"
"1245","BS709994","ES786610"
"1246","BS709994","ES786611"
"1247","BS709996","ES786612"
"1248","BS709996","ES786613"
"1249","BS709996","ES786614"
"1250","BS710000","ES786615"
"1251","BS710000","ES786616"
"1252","BS710000","ES786617"
"1253","BS710002","ES786618"
"1254","BS710002","ES786619"
"1255","BS710002","ES786620"
"1256","BS710003","ES786621"
"1257","BS710003","ES786622"
"1258","BS710003","ES786623"
"1259","BS710005","ES786624"
"1260","BS710005","ES786625"
"1261","BS710005","ES786626"
"1262","BS710009","ES786627"
"1263","BS710009","ES786628"
"1264","BS710009","ES786629"
"1265","BS710011","ES786630"
"1266","BS710011","ES786631"
"1267","BS710011","ES786632"
"1268","BS710013","ES786633"
"1269","BS710013","ES786634"
"1270","BS710013","ES786635"
"1271","BS710015","ES786636"
"1272","BS710015","ES786637"
"1273","BS710015","ES786638"
"1274","BS710019","ES786639"
"1275","BS710019","ES786640"
"1276","BS710019","ES786641"
"1277","BS710021","ES786642"
"1278","BS710021","ES786643"
"1279","BS710021","ES786644"
"1280","BS710023","ES786645"
"1281","BS710023","ES786646"
"1282","BS710023","ES786647"
"1283","BS710025","ES786648"
"1284","BS710025","ES786649"
"1285","BS710025","ES786650"
"1286","BS710029","ES786651"
"1287","BS710029","ES786652"
"1288","BS710029","ES786653"
"1289","BS710031","ES786654"
"1290","BS710031","ES786655"
"1291","BS710031","ES786656"
"1292","BS710033","ES786657"
"1293","BS710033","ES786658"
"1294","BS710033","ES786659"
"1295","BS710035","ES786660"
"1296","BS710035","ES786661"
"1297","BS710035","ES786662"
"1298","BS710039","ES786663"
"1299","BS710039","ES786664"
"1300","BS710039","ES786665"
"1301","BS710041","ES786666"
"1302","BS710041","ES786667"
"1303","BS710041","ES786668"
"1304","BS710045","ES786669"
"1305","BS710045","ES786670"
"1306","BS710045","ES786671"
"1307","BS710047","ES786672"
"1308","BS710047","ES786673"
"1309","BS710047","ES786674"
"1310","BS710049","ES786675"
"1311","BS710049","ES786676"
"1312","BS710049","ES786677"
"1313","BS710051","ES786678"
"1314","BS710051","ES786679"
"1315","BS710051","ES786680"
"1316","BS710055","ES786681"
"1317","BS710055","ES786682"
"1318","BS710055","ES786683"
"1319","BS710057","ES786684"
"1320","BS710057","ES786685"
"1321","BS710057","ES786686"
"1322","BS710059","ES786687"
"1323","BS710059","ES786688"
"1324","BS710059","ES786689"
"1325","BS710063","ES786690"
"1326","BS710063","ES786691"
"1327","BS710063","ES786692"
"1328","BS710065","ES786693"
"1329","BS710065","ES786694"
"1330","BS710065","ES786695"
"1331","BS710067","ES786696"
"1332","BS710067","ES786697"
"1333","BS710067","ES786698"
"1334","BS710069","ES786699"
"1335","BS710069","ES786700"
"1336","BS710069","ES786701"
"1337","BS710073","ES786702"
"1338","BS710073","ES786703"
"1339","BS710073","ES786704"
"1340","BS710075","ES786705"
"1341","BS710075","ES786706"
"1342","BS710075","ES786707"
"1343","BS736869","ES799418"
"1344","BS736870","ES799419"
"1345","BS736871","ES799420"
"1346","BS736872","ES799421"
"1347","BS736873","ES799422"
"1348","BS736874","ES799423"
"1349","BS736875","ES799424"
"1350","BS736876","ES799425"
"1351","BS736877","ES799426"
"1352","BS736878","ES799427"
"1353","BS736879","ES799428"
"1354","BS736880","ES799429"
"1355","BS736881","ES799430"
"1356","BS736882","ES799431"
"1357","BS736883","ES799432"
"1358","BS736884","ES799433"
"1359","BS736885","ES799434"
"1360","BS736886","ES799435"
"1361","BS736887","ES799436"
"1362","BS736888","ES799437"
"1363","BS736889","ES799438"
"1364","BS736890","ES799439"
"1365","BS736891","ES799440"
"1366","BS736892","ES799441"
"1367","BS736893","ES799442"
"1368","BS736894","ES799443"
"1369","BS736895","ES799444"
"1370","BS736896","ES799445"
"1371","BS736897","ES799446"
"1372","BS736898","ES799447"
"1373","BS736899","ES799448"
"1374","BS736900","ES799449"
"1375","BS736901","ES799450"
"1376","BS736902","ES799451"
"1377","BS736903","ES799452"
"1378","BS736904","ES799453"
"1379","BS736905","ES799454"
"1380","BS736906","ES799455"
"1381","BS736907","ES799456"
"1382","BS736908","ES799457"
"1383","BS736909","ES799458"
"1384","BS736910","ES799459"
"1385","BS751092","ES823377"
"1386","BS751093","ES823378"
"1387","BS751094","ES823379"
"1388","BS751095","ES823380"
"1389","BS751096","ES823381"
"1390","BS751097","ES823382"
"1391","BS751098","ES823383"
"1392","BS751099","ES823384"
"1393","BS751100","ES823385"
"1394","BS751101","ES823386"
"1395","BS751102","ES823387"
"1396","BS751103","ES823388"
"1397","BS751104","ES823389"
"1398","BS751105","ES823390"
"1399","BS751106","ES823391"
"1400","BS751107","ES823392"
"1401","BS751108","ES823393"
"1402","BS751109","ES823394"
"1403","BS751110","ES823395"
"1404","BS751111","ES823396"
"1405","BS751112","ES823397"
"1406","BS751113","ES823398"
"1407","BS751114","ES823399"
"1408","BS751115","ES823400"
"1409","BS751116","ES823401"
"1410","BS751117","ES823402"
"1411","BS751118","ES823403"
"1412","BS751119","ES823404"
"1413","BS751120","ES823405"
"1414","BS751121","ES823406"
"1415","BS751122","ES823407"
"1416","BS751123","ES823408"
"1417","BS751124","ES823409"
"1418","BS751125","ES823410"
"1419","BS751126","ES823411"
"1420","BS751127","ES823412"
