"","EXPSAMPLE_ACCESSION","DESCRIPTION","EXPERIMENT_ACCESSION","NAME","RESULT_SCHEMA","UPLOAD_RESULT_STATUS","WORKSPACE_ID"
"79","ES768789",NA,"EXP13578",NA,"VIRUS NEUTRALIZATION","Parsed",2799
"80","ES768790",NA,"EXP13578",NA,"VIRUS NEUTRALIZATION","Parsed",2799
"81","ES768791",NA,"EXP13578",NA,"VIRUS NEUTRALIZATION","Parsed",2799
"82","ES768792",NA,"EXP13578",NA,"VIRUS NEUTRALIZATION","Parsed",2799
"83","ES768793",NA,"EXP13578",NA,"VIRUS NEUTRALIZATION","Parsed",2799
"84","ES768794",NA,"EXP13578",NA,"VIRUS NEUTRALIZATION","Parsed",2799
"85","ES768795",NA,"EXP13578",NA,"VIRUS NEUTRALIZATION","Parsed",2799
"86","ES768796",NA,"EXP13578",NA,"VIRUS NEUTRALIZATION","Parsed",2799
"87","ES768797",NA,"EXP13578",NA,"VIRUS NEUTRALIZATION","Parsed",2799
"88","ES768798",NA,"EXP13578",NA,"VIRUS NEUTRALIZATION","Parsed",2799
"89","ES768799",NA,"EXP13578",NA,"VIRUS NEUTRALIZATION","Parsed",2799
"90","ES768800",NA,"EXP13578",NA,"VIRUS NEUTRALIZATION","Parsed",2799
"91","ES768801",NA,"EXP13578",NA,"VIRUS NEUTRALIZATION","Parsed",2799
"92","ES768802",NA,"EXP13578",NA,"VIRUS NEUTRALIZATION","Parsed",2799
"93","ES768803",NA,"EXP13578",NA,"VIRUS NEUTRALIZATION","Parsed",2799
"94","ES768804",NA,"EXP13578",NA,"VIRUS NEUTRALIZATION","Parsed",2799
"95","ES768805",NA,"EXP13578",NA,"VIRUS NEUTRALIZATION","Parsed",2799
"96","ES768806",NA,"EXP13578",NA,"VIRUS NEUTRALIZATION","Parsed",2799
"97","ES768807",NA,"EXP13578",NA,"VIRUS NEUTRALIZATION","Parsed",2799
"98","ES768808",NA,"EXP13578",NA,"VIRUS NEUTRALIZATION","Parsed",2799
"99","ES768809",NA,"EXP13578",NA,"VIRUS NEUTRALIZATION","Parsed",2799
"100","ES768810",NA,"EXP13578",NA,"VIRUS NEUTRALIZATION","Parsed",2799
"101","ES768811",NA,"EXP13578",NA,"VIRUS NEUTRALIZATION","Parsed",2799
"102","ES768812",NA,"EXP13578",NA,"VIRUS NEUTRALIZATION","Parsed",2799
"103","ES768813",NA,"EXP13578",NA,"VIRUS NEUTRALIZATION","Parsed",2799
"104","ES768814",NA,"EXP13578",NA,"VIRUS NEUTRALIZATION","Parsed",2799
"105","ES768815",NA,"EXP13578",NA,"VIRUS NEUTRALIZATION","Parsed",2799
"106","ES768816",NA,"EXP13578",NA,"VIRUS NEUTRALIZATION","Parsed",2799
"107","ES768817",NA,"EXP13578",NA,"VIRUS NEUTRALIZATION","Parsed",2799
"108","ES768818",NA,"EXP13578",NA,"VIRUS NEUTRALIZATION","Parsed",2799
