"","EXPERIMENT_ACCESSION","PROTOCOL_ACCESSION"
"1","EXP13577","PTL6572"
"2","EXP13578","PTL6573"
"3","EXP13579","PTL6570"
"4","EXP13580","PTL6570"
"5","EXP13581","PTL6570"
"6","EXP13666","PTL6571"
"7","EXP13760","PTL6921"
"8","EXP13886","PTL7222"
"9","EXP13886","PTL7223"
"10","EXP13886","PTL7224"
"11","EXP13886","PTL7225"
