"","REAGENT_SET_ACCESSION","REAGENT_ACCESSION","WORKSPACE_ID"
"1","ESR11417","ESR11389",2799
"2","ESR11417","ESR11390",2799
"3","ESR11417","ESR11391",2799
"4","ESR11417","ESR11392",2799
"5","ESR11417","ESR11393",2799
"6","ESR11417","ESR11394",2799
"7","ESR11417","ESR11395",2799
"8","ESR11417","ESR11396",2799
"9","ESR11417","ESR11397",2799
"10","ESR11417","ESR11398",2799
"11","ESR11417","ESR11399",2799
"12","ESR11418","ESR11398",2799
"13","ESR11418","ESR11399",2799
"14","ESR11418","ESR11400",2799
"15","ESR11418","ESR11401",2799
"16","ESR11418","ESR11402",2799
"17","ESR11418","ESR11403",2799
"18","ESR11418","ESR11404",2799
"19","ESR11418","ESR11405",2799
"20","ESR11418","ESR11406",2799
"21","ESR11418","ESR11407",2799
"22","ESR11419","ESR11399",2799
"23","ESR11419","ESR11408",2799
"24","ESR11419","ESR11409",2799
"25","ESR11419","ESR11410",2799
"26","ESR11419","ESR11411",2799
"27","ESR11419","ESR11412",2799
"28","ESR11419","ESR11413",2799
"29","ESR11419","ESR11414",2799
"30","ESR11419","ESR11415",2799
"31","ESR11419","ESR11416",2799
