"","EXPSAMPLE_ACCESSION","FILE_INFO_ID","RESULT_SCHEMA"
"1","ES778317",703269,"PUBLIC REPOSITORY"
"2","ES778318",703269,"PUBLIC REPOSITORY"
"3","ES778319",703269,"PUBLIC REPOSITORY"
"4","ES778320",703269,"PUBLIC REPOSITORY"
"5","ES778321",703269,"PUBLIC REPOSITORY"
"6","ES778322",703269,"PUBLIC REPOSITORY"
"7","ES778323",703269,"PUBLIC REPOSITORY"
"8","ES778324",703269,"PUBLIC REPOSITORY"
"9","ES778325",703269,"PUBLIC REPOSITORY"
"10","ES778326",703269,"PUBLIC REPOSITORY"
"11","ES778327",703269,"PUBLIC REPOSITORY"
"12","ES778328",703269,"PUBLIC REPOSITORY"
"13","ES778329",703269,"PUBLIC REPOSITORY"
"14","ES778330",703269,"PUBLIC REPOSITORY"
"15","ES778331",703269,"PUBLIC REPOSITORY"
"16","ES778332",703269,"PUBLIC REPOSITORY"
"17","ES778333",703269,"PUBLIC REPOSITORY"
"18","ES778334",703269,"PUBLIC REPOSITORY"
"19","ES778335",703269,"PUBLIC REPOSITORY"
"20","ES778336",703269,"PUBLIC REPOSITORY"
"21","ES778337",703269,"PUBLIC REPOSITORY"
"22","ES778338",703269,"PUBLIC REPOSITORY"
"23","ES778339",703269,"PUBLIC REPOSITORY"
"24","ES778340",703269,"PUBLIC REPOSITORY"
"25","ES778341",703269,"PUBLIC REPOSITORY"
"26","ES778342",703269,"PUBLIC REPOSITORY"
"27","ES778343",703269,"PUBLIC REPOSITORY"
"28","ES778344",703269,"PUBLIC REPOSITORY"
"29","ES778345",703269,"PUBLIC REPOSITORY"
"30","ES778346",703269,"PUBLIC REPOSITORY"
"31","ES778347",703269,"PUBLIC REPOSITORY"
"32","ES778348",703269,"PUBLIC REPOSITORY"
"33","ES778349",703269,"PUBLIC REPOSITORY"
"34","ES778350",703269,"PUBLIC REPOSITORY"
"35","ES778351",703269,"PUBLIC REPOSITORY"
"36","ES778352",703269,"PUBLIC REPOSITORY"
"37","ES778353",703269,"PUBLIC REPOSITORY"
"38","ES778354",703269,"PUBLIC REPOSITORY"
"39","ES778355",703269,"PUBLIC REPOSITORY"
"40","ES778356",703269,"PUBLIC REPOSITORY"
"41","ES778357",703269,"PUBLIC REPOSITORY"
"42","ES778358",703269,"PUBLIC REPOSITORY"
"43","ES778359",703269,"PUBLIC REPOSITORY"
"44","ES778360",703269,"PUBLIC REPOSITORY"
